"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","10","0.0-0.0","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","","","","","","","","","","","","","",""
"instructions","1","843","0.0-1.0","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","[{""page_index"":0,""viewing_time"":831}]","831","","","","","","","","","","","","",""
"","","","","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","","fullscreenexit","2","3397","fullscreenexit","","","","","","","","",""
"fullscreen","2","4178","0.0-2.0","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","","","","","","true","","","","","","","",""
"image-keyboard-response","3","5727","0.0-3.0-0.0","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","1544","","","","fullscreenfail","","","32","","","","","",""
"instructions","4","29428","0.0-4.0","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","[{""page_index"":0,""viewing_time"":13571},{""page_index"":1,""viewing_time"":2432},{""page_index"":2,""viewing_time"":7436}]","23439","","","","","","","","","","","","",""
"html-keyboard-response","5","29933","0.0-5.0-1.0","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","6","32643","0.0-5.0-2.0","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","2704","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$86<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$45<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$45","$86","1","45","86","SURE"
"html-keyboard-response","7","32917","0.0-5.0-3.0","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$86<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$45<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$45","$86","1","45","86",""
"html-keyboard-response","8","33424","0.0-5.0-1.1","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","9","36230","0.0-5.0-2.1","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","2803","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$62<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$11","$62","0","11","62","RISKY"
"html-keyboard-response","10","36494","0.0-5.0-3.1","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$62<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$11","$62","0","11","62",""
"html-keyboard-response","11","37007","0.0-5.0-1.2","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","12","41177","0.0-5.0-2.2","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","4167","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$31<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$15","$31","0","15","31","SURE"
"html-keyboard-response","13","41435","0.0-5.0-3.2","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$15<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$31<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$15","$31","0","15","31",""
"html-keyboard-response","14","41951","0.0-5.0-1.3","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","15","44455","0.0-5.0-2.3","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","2501","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$18<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$39<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$18","$39","0","18","39","SURE"
"html-keyboard-response","16","44718","0.0-5.0-3.3","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$18<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$39<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$18","$39","0","18","39",""
"html-keyboard-response","17","45232","0.0-5.0-1.4","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","18","46892","0.0-5.0-2.4","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","1657","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$10<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$40<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$10","$40","0","10","40","RISKY"
"html-keyboard-response","19","47156","0.0-5.0-3.4","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$10<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$40<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$10","$40","0","10","40",""
"html-keyboard-response","20","47667","0.0-5.0-1.5","63b6c76ff03d438cd09b8c56","bdp_rd","Tue Mar 28 2023 10:11:33 GMT-0400 (Eastern Daylight Time)","244551","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
