"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","2","0.0-0.0","63d1401242635aaffe867c4c","bdp_rd","Mon Mar 27 2023 10:53:59 GMT-0700 (Mountain Standard Time)","187422","","","","","","","","","","","","","","",""
"instructions","1","6800","0.0-1.0","63d1401242635aaffe867c4c","bdp_rd","Mon Mar 27 2023 10:53:59 GMT-0700 (Mountain Standard Time)","187422","[{""page_index"":0,""viewing_time"":6797}]","6797","","","","","","","","","","","","",""
"","","","","63d1401242635aaffe867c4c","bdp_rd","Mon Mar 27 2023 10:53:59 GMT-0700 (Mountain Standard Time)","187422","","","fullscreenenter","2","10280","fullscreenenter","","","","","","","","",""
"fullscreen","2","11266","0.0-2.0","63d1401242635aaffe867c4c","bdp_rd","Mon Mar 27 2023 10:53:59 GMT-0700 (Mountain Standard Time)","187422","","","","","","","true","","","","","","","",""
"instructions","3","36092","0.0-4.0","63d1401242635aaffe867c4c","bdp_rd","Mon Mar 27 2023 10:53:59 GMT-0700 (Mountain Standard Time)","187422","[{""page_index"":0,""viewing_time"":12441},{""page_index"":1,""viewing_time"":8160},{""page_index"":2,""viewing_time"":4224}]","24825","","","","","","","","","","","","",""
"html-keyboard-response","4","36594","0.0-5.0-1.0","63d1401242635aaffe867c4c","bdp_rd","Mon Mar 27 2023 10:53:59 GMT-0700 (Mountain Standard Time)","187422","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","5","38902","0.0-5.0-2.0","63d1401242635aaffe867c4c","bdp_rd","Mon Mar 27 2023 10:53:59 GMT-0700 (Mountain Standard Time)","187422","","2307","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$7<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$10<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$7","$10","0","7","10","SURE"
"html-keyboard-response","6","39153","0.0-5.0-3.0","63d1401242635aaffe867c4c","bdp_rd","Mon Mar 27 2023 10:53:59 GMT-0700 (Mountain Standard Time)","187422","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$7<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$10<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$7","$10","0","7","10",""
"html-keyboard-response","7","39654","0.0-5.0-1.1","63d1401242635aaffe867c4c","bdp_rd","Mon Mar 27 2023 10:53:59 GMT-0700 (Mountain Standard Time)","187422","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","8","41650","0.0-5.0-2.1","63d1401242635aaffe867c4c","bdp_rd","Mon Mar 27 2023 10:53:59 GMT-0700 (Mountain Standard Time)","187422","","1995","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$66<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$33","$66","0","33","66","RISKY"
"html-keyboard-response","9","41902","0.0-5.0-3.1","63d1401242635aaffe867c4c","bdp_rd","Mon Mar 27 2023 10:53:59 GMT-0700 (Mountain Standard Time)","187422","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$66<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$33","$66","0","33","66",""
"html-keyboard-response","10","42404","0.0-5.0-1.2","63d1401242635aaffe867c4c","bdp_rd","Mon Mar 27 2023 10:53:59 GMT-0700 (Mountain Standard Time)","187422","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","11","43979","0.0-5.0-2.2","63d1401242635aaffe867c4c","bdp_rd","Mon Mar 27 2023 10:53:59 GMT-0700 (Mountain Standard Time)","187422","","1575","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$10<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$40<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$10","$40","0","10","40","RISKY"
"html-keyboard-response","12","44231","0.0-5.0-3.2","63d1401242635aaffe867c4c","bdp_rd","Mon Mar 27 2023 10:53:59 GMT-0700 (Mountain Standard Time)","187422","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$10<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$40<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$10","$40","0","10","40",""
"html-keyboard-response","13","44733","0.0-5.0-1.3","63d1401242635aaffe867c4c","bdp_rd","Mon Mar 27 2023 10:53:59 GMT-0700 (Mountain Standard Time)","187422","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
