"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","3","0.0-0.0","63d80cb1ba40ad04c1edd4db","bdp_rd","Sun Mar 26 2023 16:03:45 GMT-0700 (Pacific Daylight Time)","277686","","","","","","","","","","","","","","",""
"instructions","1","4502","0.0-1.0","63d80cb1ba40ad04c1edd4db","bdp_rd","Sun Mar 26 2023 16:03:45 GMT-0700 (Pacific Daylight Time)","277686","[{""page_index"":0,""viewing_time"":4499}]","4499","","","","","","","","","","","","",""
"","","","","63d80cb1ba40ad04c1edd4db","bdp_rd","Sun Mar 26 2023 16:03:45 GMT-0700 (Pacific Daylight Time)","277686","","","fullscreenenter","2","6409","fullscreenenter","","","","","","","","",""
"fullscreen","2","7402","0.0-2.0","63d80cb1ba40ad04c1edd4db","bdp_rd","Sun Mar 26 2023 16:03:45 GMT-0700 (Pacific Daylight Time)","277686","","","","","","","true","","","","","","","",""
"instructions","3","126772","0.0-4.0","63d80cb1ba40ad04c1edd4db","bdp_rd","Sun Mar 26 2023 16:03:45 GMT-0700 (Pacific Daylight Time)","277686","[{""page_index"":0,""viewing_time"":63674},{""page_index"":1,""viewing_time"":46441},{""page_index"":2,""viewing_time"":9254}]","119369","","","","","","","","","","","","",""
"html-keyboard-response","4","127277","0.0-5.0-1.0","63d80cb1ba40ad04c1edd4db","bdp_rd","Sun Mar 26 2023 16:03:45 GMT-0700 (Pacific Daylight Time)","277686","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","5","129751","0.0-5.0-2.0","63d80cb1ba40ad04c1edd4db","bdp_rd","Sun Mar 26 2023 16:03:45 GMT-0700 (Pacific Daylight Time)","277686","","2473","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$37<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$20<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$20","$37","1","20","37","SURE"
"html-keyboard-response","6","130005","0.0-5.0-3.0","63d80cb1ba40ad04c1edd4db","bdp_rd","Sun Mar 26 2023 16:03:45 GMT-0700 (Pacific Daylight Time)","277686","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$37<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$20<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$20","$37","1","20","37",""
"html-keyboard-response","7","130508","0.0-5.0-1.1","63d80cb1ba40ad04c1edd4db","bdp_rd","Sun Mar 26 2023 16:03:45 GMT-0700 (Pacific Daylight Time)","277686","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","8","132561","0.0-5.0-2.1","63d80cb1ba40ad04c1edd4db","bdp_rd","Sun Mar 26 2023 16:03:45 GMT-0700 (Pacific Daylight Time)","277686","","2051","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$1<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$30<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$1","$30","0","1","30","RISKY"
"html-keyboard-response","9","132821","0.0-5.0-3.1","63d80cb1ba40ad04c1edd4db","bdp_rd","Sun Mar 26 2023 16:03:45 GMT-0700 (Pacific Daylight Time)","277686","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$1<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$30<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$1","$30","0","1","30",""
"html-keyboard-response","10","133324","0.0-5.0-1.2","63d80cb1ba40ad04c1edd4db","bdp_rd","Sun Mar 26 2023 16:03:45 GMT-0700 (Pacific Daylight Time)","277686","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","11","135471","0.0-5.0-2.2","63d80cb1ba40ad04c1edd4db","bdp_rd","Sun Mar 26 2023 16:03:45 GMT-0700 (Pacific Daylight Time)","277686","","2146","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$70<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$24<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$24","$70","1","24","70","SURE"
"html-keyboard-response","12","135723","0.0-5.0-3.2","63d80cb1ba40ad04c1edd4db","bdp_rd","Sun Mar 26 2023 16:03:45 GMT-0700 (Pacific Daylight Time)","277686","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$70<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$24<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$24","$70","1","24","70",""
"html-keyboard-response","13","136229","0.0-5.0-1.3","63d80cb1ba40ad04c1edd4db","bdp_rd","Sun Mar 26 2023 16:03:45 GMT-0700 (Pacific Daylight Time)","277686","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
