"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","3","0.0-0.0","63e857fe022e159687d56f41","bdp_rd","Mon Mar 27 2023 16:54:30 GMT-0700 (Pacific Daylight Time)","461745","","","","","","","","","","","","","","",""
"instructions","1","3206","0.0-1.0","63e857fe022e159687d56f41","bdp_rd","Mon Mar 27 2023 16:54:30 GMT-0700 (Pacific Daylight Time)","461745","[{""page_index"":0,""viewing_time"":3203}]","3203","","","","","","","","","","","","",""
"","","","","63e857fe022e159687d56f41","bdp_rd","Mon Mar 27 2023 16:54:30 GMT-0700 (Pacific Daylight Time)","461745","","","fullscreenenter","2","5789","fullscreenenter","","","","","","","","",""
"fullscreen","2","6785","0.0-2.0","63e857fe022e159687d56f41","bdp_rd","Mon Mar 27 2023 16:54:30 GMT-0700 (Pacific Daylight Time)","461745","","","","","","","true","","","","","","","",""
"instructions","3","272493","0.0-4.0","63e857fe022e159687d56f41","bdp_rd","Mon Mar 27 2023 16:54:30 GMT-0700 (Pacific Daylight Time)","461745","[{""page_index"":0,""viewing_time"":236869},{""page_index"":1,""viewing_time"":11929},{""page_index"":2,""viewing_time"":16907}]","265706","","","","","","","","","","","","",""
"html-keyboard-response","4","273012","0.0-5.0-1.0","63e857fe022e159687d56f41","bdp_rd","Mon Mar 27 2023 16:54:30 GMT-0700 (Pacific Daylight Time)","461745","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","5","279239","0.0-5.0-2.0","63e857fe022e159687d56f41","bdp_rd","Mon Mar 27 2023 16:54:30 GMT-0700 (Pacific Daylight Time)","461745","","6225","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$45<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$86<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$45","$86","0","45","86","SURE"
"html-keyboard-response","6","279505","0.0-5.0-3.0","63e857fe022e159687d56f41","bdp_rd","Mon Mar 27 2023 16:54:30 GMT-0700 (Pacific Daylight Time)","461745","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$45<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$86<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$45","$86","0","45","86",""
"html-keyboard-response","7","280007","0.0-5.0-1.1","63e857fe022e159687d56f41","bdp_rd","Mon Mar 27 2023 16:54:30 GMT-0700 (Pacific Daylight Time)","461745","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","8","285511","0.0-5.0-2.1","63e857fe022e159687d56f41","bdp_rd","Mon Mar 27 2023 16:54:30 GMT-0700 (Pacific Daylight Time)","461745","","5502","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$43<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$17<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$17","$43","1","17","43","RISKY"
"html-keyboard-response","9","285776","0.0-5.0-3.1","63e857fe022e159687d56f41","bdp_rd","Mon Mar 27 2023 16:54:30 GMT-0700 (Pacific Daylight Time)","461745","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$43<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$17<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$17","$43","1","17","43",""
"html-keyboard-response","10","286279","0.0-5.0-1.2","63e857fe022e159687d56f41","bdp_rd","Mon Mar 27 2023 16:54:30 GMT-0700 (Pacific Daylight Time)","461745","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","11","290462","0.0-5.0-2.2","63e857fe022e159687d56f41","bdp_rd","Mon Mar 27 2023 16:54:30 GMT-0700 (Pacific Daylight Time)","461745","","4182","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$10<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$10","$40","1","10","40","RISKY"
"html-keyboard-response","12","290721","0.0-5.0-3.2","63e857fe022e159687d56f41","bdp_rd","Mon Mar 27 2023 16:54:30 GMT-0700 (Pacific Daylight Time)","461745","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$40<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$10<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$10","$40","1","10","40",""
"html-keyboard-response","13","291224","0.0-5.0-1.3","63e857fe022e159687d56f41","bdp_rd","Mon Mar 27 2023 16:54:30 GMT-0700 (Pacific Daylight Time)","461745","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","14","295723","0.0-5.0-2.3","63e857fe022e159687d56f41","bdp_rd","Mon Mar 27 2023 16:54:30 GMT-0700 (Pacific Daylight Time)","461745","","4498","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$63<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$100<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$63","$100","0","63","10","RISKY"
"html-keyboard-response","15","295982","0.0-5.0-3.3","63e857fe022e159687d56f41","bdp_rd","Mon Mar 27 2023 16:54:30 GMT-0700 (Pacific Daylight Time)","461745","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$63<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$100<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$63","$100","0","63","10",""
"html-keyboard-response","16","296488","0.0-5.0-1.4","63e857fe022e159687d56f41","bdp_rd","Mon Mar 27 2023 16:54:30 GMT-0700 (Pacific Daylight Time)","461745","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
