"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","3","0.0-0.0","63ea79021f0c43def6174042","bdp_rd","Sat Mar 25 2023 19:11:06 GMT-0500 (Central Daylight Time)","130696","","","","","","","","","","","","","","",""
"instructions","1","485","0.0-1.0","63ea79021f0c43def6174042","bdp_rd","Sat Mar 25 2023 19:11:06 GMT-0500 (Central Daylight Time)","130696","[{""page_index"":0,""viewing_time"":482}]","482","","","","","","","","","","","","",""
"","","","","63ea79021f0c43def6174042","bdp_rd","Sat Mar 25 2023 19:11:06 GMT-0500 (Central Daylight Time)","130696","","","fullscreenenter","2","2489","fullscreenenter","","","","","","","","",""
"fullscreen","2","3471","0.0-2.0","63ea79021f0c43def6174042","bdp_rd","Sat Mar 25 2023 19:11:06 GMT-0500 (Central Daylight Time)","130696","","","","","","","true","","","","","","","",""
"instructions","3","22647","0.0-4.0","63ea79021f0c43def6174042","bdp_rd","Sat Mar 25 2023 19:11:06 GMT-0500 (Central Daylight Time)","130696","[{""page_index"":0,""viewing_time"":14139},{""page_index"":1,""viewing_time"":2645},{""page_index"":2,""viewing_time"":2389}]","19173","","","","","","","","","","","","",""
"html-keyboard-response","4","23155","0.0-5.0-1.0","63ea79021f0c43def6174042","bdp_rd","Sat Mar 25 2023 19:11:06 GMT-0500 (Central Daylight Time)","130696","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","5","27869","0.0-5.0-2.0","63ea79021f0c43def6174042","bdp_rd","Sat Mar 25 2023 19:11:06 GMT-0500 (Central Daylight Time)","130696","","4713","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$64<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$2","$64","1","2","64","RISKY"
"html-keyboard-response","6","28123","0.0-5.0-3.0","63ea79021f0c43def6174042","bdp_rd","Sat Mar 25 2023 19:11:06 GMT-0500 (Central Daylight Time)","130696","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$64<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$2","$64","1","2","64",""
"html-keyboard-response","7","28626","0.0-5.0-1.1","63ea79021f0c43def6174042","bdp_rd","Sat Mar 25 2023 19:11:06 GMT-0500 (Central Daylight Time)","130696","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","8","29816","0.0-5.0-2.1","63ea79021f0c43def6174042","bdp_rd","Sat Mar 25 2023 19:11:06 GMT-0500 (Central Daylight Time)","130696","","1188","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$21<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$2","$21","1","2","21","RISKY"
"html-keyboard-response","9","30070","0.0-5.0-3.1","63ea79021f0c43def6174042","bdp_rd","Sat Mar 25 2023 19:11:06 GMT-0500 (Central Daylight Time)","130696","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$21<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$2","$21","1","2","21",""
"html-keyboard-response","10","30573","0.0-5.0-1.2","63ea79021f0c43def6174042","bdp_rd","Sat Mar 25 2023 19:11:06 GMT-0500 (Central Daylight Time)","130696","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","11","32925","0.0-5.0-2.2","63ea79021f0c43def6174042","bdp_rd","Sat Mar 25 2023 19:11:06 GMT-0500 (Central Daylight Time)","130696","","2350","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$10<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$19<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$10","$19","0","10","19","RISKY"
"html-keyboard-response","12","33180","0.0-5.0-3.2","63ea79021f0c43def6174042","bdp_rd","Sat Mar 25 2023 19:11:06 GMT-0500 (Central Daylight Time)","130696","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$10<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$19<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$10","$19","0","10","19",""
"html-keyboard-response","13","33682","0.0-5.0-1.3","63ea79021f0c43def6174042","bdp_rd","Sat Mar 25 2023 19:11:06 GMT-0500 (Central Daylight Time)","130696","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
