"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","5","0.0-0.0","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","","","","","","","","","","","","","","",""
"instructions","1","2081","0.0-1.0","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","[{""page_index"":0,""viewing_time"":2075}]","2075","","","","","","","","","","","","",""
"","","","","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","","","fullscreenenter","2","3524","fullscreenenter","","","","","","","","",""
"fullscreen","2","4505","0.0-2.0","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","","","","","","","true","","","","","","","",""
"instructions","3","23381","0.0-4.0","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","[{""page_index"":0,""viewing_time"":12606},{""page_index"":1,""viewing_time"":4872},{""page_index"":2,""viewing_time"":1396}]","18874","","","","","","","","","","","","",""
"html-keyboard-response","4","23885","0.0-5.0-1.0","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","5","26354","0.0-5.0-2.0","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","","2467","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$42<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$22","$42","0","22","42","SURE"
"html-keyboard-response","6","26607","0.0-5.0-3.0","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$22<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$42<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$22","$42","0","22","42",""
"html-keyboard-response","7","27109","0.0-5.0-1.1","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","8","29893","0.0-5.0-2.1","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","","2782","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$54<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25","$54","0","25","54","SURE"
"html-keyboard-response","9","30145","0.0-5.0-3.1","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$54<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25","$54","0","25","54",""
"html-keyboard-response","10","30648","0.0-5.0-1.2","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","11","31682","0.0-5.0-2.2","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","","1032","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$62<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$11","$62","0","11","62","RISKY"
"html-keyboard-response","12","31935","0.0-5.0-3.2","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$62<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$11","$62","0","11","62",""
"html-keyboard-response","13","32437","0.0-5.0-1.3","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","14","33022","0.0-5.0-2.3","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","","583","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$80<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$20","$80","0","20","80","SURE"
"html-keyboard-response","15","33274","0.0-5.0-3.3","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$20<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$80<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$20","$80","0","20","80",""
"html-keyboard-response","16","33776","0.0-5.0-1.4","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","17","36927","0.0-5.0-2.4","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","","3149","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$89<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$28<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$28","$89","1","28","89","SURE"
"html-keyboard-response","18","37180","0.0-5.0-3.4","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$89<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$28<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$28","$89","1","28","89",""
"html-keyboard-response","19","37683","0.0-5.0-1.5","63ead6f452e11793b2f8dab8","bdp_rd","Sat Mar 25 2023 16:45:02 GMT-0700 (Pacific Daylight Time)","169807","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
