"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","9","0.0-0.0","63f791c69ca73d3460eeb2d9","bdp_rd","Sun Mar 26 2023 08:16:02 GMT-0700 (Pacific Daylight Time)","305172","","","","","","","","","","","","","","",""
"instructions","1","1853","0.0-1.0","63f791c69ca73d3460eeb2d9","bdp_rd","Sun Mar 26 2023 08:16:02 GMT-0700 (Pacific Daylight Time)","305172","[{""page_index"":0,""viewing_time"":1841}]","1842","","","","","","","","","","","","",""
"","","","","63f791c69ca73d3460eeb2d9","bdp_rd","Sun Mar 26 2023 08:16:02 GMT-0700 (Pacific Daylight Time)","305172","","","fullscreenenter","2","3869","fullscreenenter","","","","","","","","",""
"fullscreen","2","4852","0.0-2.0","63f791c69ca73d3460eeb2d9","bdp_rd","Sun Mar 26 2023 08:16:02 GMT-0700 (Pacific Daylight Time)","305172","","","","","","","true","","","","","","","",""
"instructions","3","53272","0.0-4.0","63f791c69ca73d3460eeb2d9","bdp_rd","Sun Mar 26 2023 08:16:02 GMT-0700 (Pacific Daylight Time)","305172","[{""page_index"":0,""viewing_time"":35660},{""page_index"":1,""viewing_time"":6798},{""page_index"":2,""viewing_time"":5960}]","48418","","","","","","","","","","","","",""
"html-keyboard-response","4","53777","0.0-5.0-1.0","63f791c69ca73d3460eeb2d9","bdp_rd","Sun Mar 26 2023 08:16:02 GMT-0700 (Pacific Daylight Time)","305172","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","5","55944","0.0-5.0-2.0","63f791c69ca73d3460eeb2d9","bdp_rd","Sun Mar 26 2023 08:16:02 GMT-0700 (Pacific Daylight Time)","305172","","2164","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$100<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$63<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$63","$100","1","63","10","SURE"
"html-keyboard-response","6","56198","0.0-5.0-3.0","63f791c69ca73d3460eeb2d9","bdp_rd","Sun Mar 26 2023 08:16:02 GMT-0700 (Pacific Daylight Time)","305172","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$100<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$63<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$63","$100","1","63","10",""
"html-keyboard-response","7","56700","0.0-5.0-1.1","63f791c69ca73d3460eeb2d9","bdp_rd","Sun Mar 26 2023 08:16:02 GMT-0700 (Pacific Daylight Time)","305172","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","8","60897","0.0-5.0-2.1","63f791c69ca73d3460eeb2d9","bdp_rd","Sun Mar 26 2023 08:16:02 GMT-0700 (Pacific Daylight Time)","305172","","4195","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$64<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$2","$64","1","2","64","RISKY"
"html-keyboard-response","9","61149","0.0-5.0-3.1","63f791c69ca73d3460eeb2d9","bdp_rd","Sun Mar 26 2023 08:16:02 GMT-0700 (Pacific Daylight Time)","305172","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$64<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$2","$64","1","2","64",""
"html-keyboard-response","10","61652","0.0-5.0-1.2","63f791c69ca73d3460eeb2d9","bdp_rd","Sun Mar 26 2023 08:16:02 GMT-0700 (Pacific Daylight Time)","305172","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","11","64544","0.0-5.0-2.2","63f791c69ca73d3460eeb2d9","bdp_rd","Sun Mar 26 2023 08:16:02 GMT-0700 (Pacific Daylight Time)","305172","","2891","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$81<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$39<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$39","$81","1","39","81","SURE"
"html-keyboard-response","12","64797","0.0-5.0-3.2","63f791c69ca73d3460eeb2d9","bdp_rd","Sun Mar 26 2023 08:16:02 GMT-0700 (Pacific Daylight Time)","305172","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$81<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$39<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$39","$81","1","39","81",""
"html-keyboard-response","13","65299","0.0-5.0-1.3","63f791c69ca73d3460eeb2d9","bdp_rd","Sun Mar 26 2023 08:16:02 GMT-0700 (Pacific Daylight Time)","305172","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","14","69214","0.0-5.0-2.3","63f791c69ca73d3460eeb2d9","bdp_rd","Sun Mar 26 2023 08:16:02 GMT-0700 (Pacific Daylight Time)","305172","","3913","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$38<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$16<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$16","$38","1","16","38","SURE"
"html-keyboard-response","15","69466","0.0-5.0-3.3","63f791c69ca73d3460eeb2d9","bdp_rd","Sun Mar 26 2023 08:16:02 GMT-0700 (Pacific Daylight Time)","305172","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$38<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$16<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$16","$38","1","16","38",""
"html-keyboard-response","16","69968","0.0-5.0-1.4","63f791c69ca73d3460eeb2d9","bdp_rd","Sun Mar 26 2023 08:16:02 GMT-0700 (Pacific Daylight Time)","305172","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","17","73741","0.0-5.0-2.4","63f791c69ca73d3460eeb2d9","bdp_rd","Sun Mar 26 2023 08:16:02 GMT-0700 (Pacific Daylight Time)","305172","","3770","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$6<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$13<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$6","$13","0","6","13","SURE"
