"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","3","0.0-0.0","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","","","","","","","","","","","","","",""
"instructions","1","1522","0.0-1.0","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","[{""page_index"":0,""viewing_time"":1518}]","1518","","","","","","","","","","","","",""
"","","","","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","","fullscreenenter","2","4569","fullscreenenter","","","","","","","","",""
"fullscreen","2","5545","0.0-2.0","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","","","","","","true","","","","","","","",""
"instructions","3","26491","0.0-4.0","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","[{""page_index"":0,""viewing_time"":14508},{""page_index"":1,""viewing_time"":2155},{""page_index"":2,""viewing_time"":4282}]","20945","","","","","","","","","","","","",""
"html-keyboard-response","4","26993","0.0-5.0-1.0","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","5","29114","0.0-5.0-2.0","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","2121","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$5<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$5","$50","1","5","50","RISKY"
"html-keyboard-response","6","29366","0.0-5.0-3.0","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$50<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$5<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$5","$50","1","5","50",""
"html-keyboard-response","7","29867","0.0-5.0-1.1","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","8","31419","0.0-5.0-2.1","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","1551","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$45<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$86<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$45","$86","0","45","86","SURE"
"html-keyboard-response","9","31672","0.0-5.0-3.1","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$45<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$86<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$45","$86","0","45","86",""
"html-keyboard-response","10","32173","0.0-5.0-1.2","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","11","33787","0.0-5.0-2.2","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","1613","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$54<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25","$54","0","25","54","SURE"
"html-keyboard-response","12","34039","0.0-5.0-3.2","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$54<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25","$54","0","25","54",""
"html-keyboard-response","13","34540","0.0-5.0-1.3","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","14","36861","0.0-5.0-2.3","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","2321","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$71<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$7<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$7","$71","1","7","71","RISKY"
"html-keyboard-response","15","37114","0.0-5.0-3.3","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$71<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$7<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$7","$71","1","7","71",""
"html-keyboard-response","16","37615","0.0-5.0-1.4","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","17","39604","0.0-5.0-2.4","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","1989","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$17<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$3<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$3","$17","1","3","17","SURE"
"html-keyboard-response","18","39856","0.0-5.0-3.4","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$17<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$3<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$3","$17","1","3","17",""
"html-keyboard-response","19","40358","0.0-5.0-1.5","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","20","41615","0.0-5.0-2.5","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","1257","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$38<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$16<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$16","$38","1","16","38","SURE"
"html-keyboard-response","21","41867","0.0-5.0-3.5","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$38<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$16<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$16","$38","1","16","38",""
"html-keyboard-response","22","42369","0.0-5.0-1.6","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","23","43744","0.0-5.0-2.6","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","1374","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$26<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$92<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$26","$92","0","26","92","RISKY"
"html-keyboard-response","24","43995","0.0-5.0-3.6","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$26<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$92<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$26","$92","0","26","92",""
"html-keyboard-response","25","44496","0.0-5.0-1.7","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","26","45953","0.0-5.0-2.7","6400d916e410c86255a45836","bdp_rd","Sun Mar 26 2023 09:53:59 GMT-0700 (Pacific Daylight Time)","165847","","1455","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$29<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$46<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$29","$46","0","29","46","SURE"
