"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","2","0.0-0.0","5d3bcf190e510a001b3df200","bdp_rwlrn","Wed Mar 15 2023 13:56:54 GMT-0500 (Central Daylight Time)","372097","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","5d3bcf190e510a001b3df200","bdp_rwlrn","Wed Mar 15 2023 13:56:54 GMT-0500 (Central Daylight Time)","372097","Untrustworthy,Trustworthy","blur","1","183","blurevent","1","","","","","","","","","","","","","","","",""
"","","","","5d3bcf190e510a001b3df200","bdp_rwlrn","Wed Mar 15 2023 13:56:54 GMT-0500 (Central Daylight Time)","372097","Untrustworthy,Trustworthy","focus","1","1996","focusevent","","","","","","","","","","","","","","","","",""
"instructions","1","4984","0.0-1.0","5d3bcf190e510a001b3df200","bdp_rwlrn","Wed Mar 15 2023 13:56:54 GMT-0500 (Central Daylight Time)","372097","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":4981}]","4981","","","","","","","","","","","","","",""
"","","","","5d3bcf190e510a001b3df200","bdp_rwlrn","Wed Mar 15 2023 13:56:54 GMT-0500 (Central Daylight Time)","372097","Untrustworthy,Trustworthy","fullscreenenter","2","6597","fullscreenenter","","","","","","","","","","","","","","","","",""
"fullscreen","2","7587","0.0-2.0","5d3bcf190e510a001b3df200","bdp_rwlrn","Wed Mar 15 2023 13:56:54 GMT-0500 (Central Daylight Time)","372097","Untrustworthy,Trustworthy","","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","90862","0.0-4.0","5d3bcf190e510a001b3df200","bdp_rwlrn","Wed Mar 15 2023 13:56:54 GMT-0500 (Central Daylight Time)","372097","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":12981},{""page_index"":1,""viewing_time"":8843},{""page_index"":2,""viewing_time"":49710},{""page_index"":3,""viewing_time"":4617},{""page_index"":4,""viewing_time"":5469},{""page_index"":5,""viewing_time"":1654}]","83274","","","","","","","","","","","","","",""
"html-keyboard-response","4","94258","0.0-5.0","5d3bcf190e510a001b3df200","bdp_rwlrn","Wed Mar 15 2023 13:56:54 GMT-0500 (Central Daylight Time)","372097","Untrustworthy,Trustworthy","","","","","","","3392","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"html-keyboard-response","5","95447","0.0-6.0","5d3bcf190e510a001b3df200","bdp_rwlrn","Wed Mar 15 2023 13:56:54 GMT-0500 (Central Daylight Time)","372097","Untrustworthy,Trustworthy","","","","","","","1082","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","6","98016","0.0-7.0","5d3bcf190e510a001b3df200","bdp_rwlrn","Wed Mar 15 2023 13:56:54 GMT-0500 (Central Daylight Time)","372097","Untrustworthy,Trustworthy","","","","","","","2466","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
