"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","24","0.0-0.0","6162341a644c08d5cca4b7bb","bdp_rwlrn","Sun Mar 12 2023 17:10:58 GMT-0400 (Eastern Daylight Time)","481351","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"instructions","1","3699","0.0-1.0","6162341a644c08d5cca4b7bb","bdp_rwlrn","Sun Mar 12 2023 17:10:58 GMT-0400 (Eastern Daylight Time)","481351","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":3675}]","3675","","","","","","","","","","","","","","","","","",""
"","","","","6162341a644c08d5cca4b7bb","bdp_rwlrn","Sun Mar 12 2023 17:10:58 GMT-0400 (Eastern Daylight Time)","481351","Trustworthy,Untrustworthy","","","fullscreenexit","2","5484","fullscreenexit","","","","","","","","","","","","","",""
"fullscreen","2","6268","0.0-2.0","6162341a644c08d5cca4b7bb","bdp_rwlrn","Sun Mar 12 2023 17:10:58 GMT-0400 (Eastern Daylight Time)","481351","Trustworthy,Untrustworthy","","","","","","","true","","","","","","","","","","","","",""
"image-keyboard-response","3","12378","0.0-3.0-0.0","6162341a644c08d5cca4b7bb","bdp_rwlrn","Sun Mar 12 2023 17:10:58 GMT-0400 (Eastern Daylight Time)","481351","Trustworthy,Untrustworthy","","6107","","","","fullscreenfail","","","32","","","","","","","","","","",""
"instructions","4","114985","0.0-4.0","6162341a644c08d5cca4b7bb","bdp_rwlrn","Sun Mar 12 2023 17:10:58 GMT-0400 (Eastern Daylight Time)","481351","Trustworthy,Untrustworthy","[{""page_index"":0,""viewing_time"":14265},{""page_index"":1,""viewing_time"":25020},{""page_index"":2,""viewing_time"":12111},{""page_index"":3,""viewing_time"":5340},{""page_index"":4,""viewing_time"":37832},{""page_index"":5,""viewing_time"":7786}]","102355","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","119198","0.0-5.0","6162341a644c08d5cca4b7bb","bdp_rwlrn","Sun Mar 12 2023 17:10:58 GMT-0400 (Eastern Daylight Time)","481351","Trustworthy,Untrustworthy","","4210","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"html-keyboard-response","6","121106","0.0-6.0","6162341a644c08d5cca4b7bb","bdp_rwlrn","Sun Mar 12 2023 17:10:58 GMT-0400 (Eastern Daylight Time)","481351","Trustworthy,Untrustworthy","","1802","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","7","124797","0.0-7.0","6162341a644c08d5cca4b7bb","bdp_rwlrn","Sun Mar 12 2023 17:10:58 GMT-0400 (Eastern Daylight Time)","481351","Trustworthy,Untrustworthy","","3588","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
"html-keyboard-response","8","127572","0.0-8.0","6162341a644c08d5cca4b7bb","bdp_rwlrn","Sun Mar 12 2023 17:10:58 GMT-0400 (Eastern Daylight Time)","481351","Trustworthy,Untrustworthy","","2672","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p style='color:#00FF00'>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
