"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"blur","0","0","blurevent","1","627ea14463f25dce42e73d51","bdp_rwlrn","Mon Mar 13 2023 13:47:14 GMT-0400 (Eastern Daylight Time)","453763","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","","627ea14463f25dce42e73d51","bdp_rwlrn","Mon Mar 13 2023 13:47:14 GMT-0400 (Eastern Daylight Time)","453763","Untrustworthy,Trustworthy","pavlovia","0","10","0.0-0.0","","","","","","","","","","","","","","","",""
"focus","1","5389","focusevent","","627ea14463f25dce42e73d51","bdp_rwlrn","Mon Mar 13 2023 13:47:14 GMT-0400 (Eastern Daylight Time)","453763","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","","627ea14463f25dce42e73d51","bdp_rwlrn","Mon Mar 13 2023 13:47:14 GMT-0400 (Eastern Daylight Time)","453763","Untrustworthy,Trustworthy","instructions","1","11279","0.0-1.0","[{""page_index"":0,""viewing_time"":11267}]","11267","","","","","","","","","","","","","",""
"blur","2","13255","blurevent","2","627ea14463f25dce42e73d51","bdp_rwlrn","Mon Mar 13 2023 13:47:14 GMT-0400 (Eastern Daylight Time)","453763","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"focus","2","31255","focusevent","","627ea14463f25dce42e73d51","bdp_rwlrn","Mon Mar 13 2023 13:47:14 GMT-0400 (Eastern Daylight Time)","453763","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"fullscreenexit","2","34960","fullscreenexit","","627ea14463f25dce42e73d51","bdp_rwlrn","Mon Mar 13 2023 13:47:14 GMT-0400 (Eastern Daylight Time)","453763","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","","627ea14463f25dce42e73d51","bdp_rwlrn","Mon Mar 13 2023 13:47:14 GMT-0400 (Eastern Daylight Time)","453763","Untrustworthy,Trustworthy","fullscreen","2","35704","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","","627ea14463f25dce42e73d51","bdp_rwlrn","Mon Mar 13 2023 13:47:14 GMT-0400 (Eastern Daylight Time)","453763","Untrustworthy,Trustworthy","image-keyboard-response","3","39909","0.0-3.0-0.0","","4198","","","32","","","","","","","","","","",""
"","","","","","627ea14463f25dce42e73d51","bdp_rwlrn","Mon Mar 13 2023 13:47:14 GMT-0400 (Eastern Daylight Time)","453763","Untrustworthy,Trustworthy","instructions","4","136336","0.0-4.0","[{""page_index"":0,""viewing_time"":9821},{""page_index"":1,""viewing_time"":24589},{""page_index"":2,""viewing_time"":5067},{""page_index"":3,""viewing_time"":46011},{""page_index"":4,""viewing_time"":8823},{""page_index"":5,""viewing_time"":1848}]","96159","","","","","","","","","","","","","",""
