"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"blur","0","0","blurevent","1","63210b26bd58960c97b47ddc","bdp_rwlrn","Sat Apr 08 2023 16:36:28 GMT+0100 (British Summer Time)","507383","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","","63210b26bd58960c97b47ddc","bdp_rwlrn","Sat Apr 08 2023 16:36:28 GMT+0100 (British Summer Time)","507383","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","","63210b26bd58960c97b47ddc","bdp_rwlrn","Sat Apr 08 2023 16:36:28 GMT+0100 (British Summer Time)","507383","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","","63210b26bd58960c97b47ddc","bdp_rwlrn","Sat Apr 08 2023 16:36:28 GMT+0100 (British Summer Time)","507383","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","","63210b26bd58960c97b47ddc","bdp_rwlrn","Sat Apr 08 2023 16:36:28 GMT+0100 (British Summer Time)","507383","Untrustworthy,Trustworthy","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","",""
"blur","1","6748","blurevent","2","63210b26bd58960c97b47ddc","bdp_rwlrn","Sat Apr 08 2023 16:36:28 GMT+0100 (British Summer Time)","507383","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"focus","1","9137","focusevent","","63210b26bd58960c97b47ddc","bdp_rwlrn","Sat Apr 08 2023 16:36:28 GMT+0100 (British Summer Time)","507383","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"blur","1","13360","blurevent","","63210b26bd58960c97b47ddc","bdp_rwlrn","Sat Apr 08 2023 16:36:28 GMT+0100 (British Summer Time)","507383","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"focus","1","14686","focusevent","","63210b26bd58960c97b47ddc","bdp_rwlrn","Sat Apr 08 2023 16:36:28 GMT+0100 (British Summer Time)","507383","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","","63210b26bd58960c97b47ddc","bdp_rwlrn","Sat Apr 08 2023 16:36:28 GMT+0100 (British Summer Time)","507383","Untrustworthy,Trustworthy","instructions","1","15430","0.0-1.0","[{""page_index"":0,""viewing_time"":15427}]","15428","","","","","","","","","","","","","",""
"fullscreenenter","2","18096","fullscreenenter","","63210b26bd58960c97b47ddc","bdp_rwlrn","Sat Apr 08 2023 16:36:28 GMT+0100 (British Summer Time)","507383","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","","63210b26bd58960c97b47ddc","bdp_rwlrn","Sat Apr 08 2023 16:36:28 GMT+0100 (British Summer Time)","507383","Untrustworthy,Trustworthy","fullscreen","2","19064","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","","","63210b26bd58960c97b47ddc","bdp_rwlrn","Sat Apr 08 2023 16:36:28 GMT+0100 (British Summer Time)","507383","Untrustworthy,Trustworthy","instructions","3","203486","0.0-4.0","[{""page_index"":0,""viewing_time"":56132},{""page_index"":1,""viewing_time"":69792},{""page_index"":2,""viewing_time"":5737},{""page_index"":3,""viewing_time"":8930},{""page_index"":4,""viewing_time"":40634},{""page_index"":5,""viewing_time"":3196}]","184421","","","","","","","","","","","","","",""
"","","","","","63210b26bd58960c97b47ddc","bdp_rwlrn","Sat Apr 08 2023 16:36:28 GMT+0100 (British Summer Time)","507383","Untrustworthy,Trustworthy","html-keyboard-response","4","208162","0.0-5.0","","4674","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"","","","","","63210b26bd58960c97b47ddc","bdp_rwlrn","Sat Apr 08 2023 16:36:28 GMT+0100 (British Summer Time)","507383","Untrustworthy,Trustworthy","html-keyboard-response","5","209811","0.0-6.0","","1548","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
