"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","4","0.0-0.0","63356ce6be65e7962bfc424d","bdp_rwlrn","Tue Mar 14 2023 19:51:35 GMT-0500 (Central Daylight Time)","519621","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63356ce6be65e7962bfc424d","bdp_rwlrn","Tue Mar 14 2023 19:51:35 GMT-0500 (Central Daylight Time)","519621","Untrustworthy,Trustworthy","blur","1","2783","blurevent","1","","","","","","","","","","","","","","","",""
"","","","","63356ce6be65e7962bfc424d","bdp_rwlrn","Tue Mar 14 2023 19:51:35 GMT-0500 (Central Daylight Time)","519621","Untrustworthy,Trustworthy","focus","1","7052","focusevent","","","","","","","","","","","","","","","","",""
"instructions","1","24322","0.0-1.0","63356ce6be65e7962bfc424d","bdp_rwlrn","Tue Mar 14 2023 19:51:35 GMT-0500 (Central Daylight Time)","519621","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":24316}]","24316","","","","","","","","","","","","","",""
"","","","","63356ce6be65e7962bfc424d","bdp_rwlrn","Tue Mar 14 2023 19:51:35 GMT-0500 (Central Daylight Time)","519621","Untrustworthy,Trustworthy","fullscreenenter","2","27023","fullscreenenter","","","","","","","","","","","","","","","","",""
"fullscreen","2","28004","0.0-2.0","63356ce6be65e7962bfc424d","bdp_rwlrn","Tue Mar 14 2023 19:51:35 GMT-0500 (Central Daylight Time)","519621","Untrustworthy,Trustworthy","","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","142260","0.0-4.0","63356ce6be65e7962bfc424d","bdp_rwlrn","Tue Mar 14 2023 19:51:35 GMT-0500 (Central Daylight Time)","519621","Untrustworthy,Trustworthy","","","","","","[{""page_index"":0,""viewing_time"":17758},{""page_index"":1,""viewing_time"":31468},{""page_index"":2,""viewing_time"":5689},{""page_index"":3,""viewing_time"":14854},{""page_index"":4,""viewing_time"":41368},{""page_index"":5,""viewing_time"":3118}]","114255","","","","","","","","","","","","","",""
"html-keyboard-response","4","147328","0.0-5.0","63356ce6be65e7962bfc424d","bdp_rwlrn","Tue Mar 14 2023 19:51:35 GMT-0500 (Central Daylight Time)","519621","Untrustworthy,Trustworthy","","","","","","","5066","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"html-keyboard-response","5","150346","0.0-6.0","63356ce6be65e7962bfc424d","bdp_rwlrn","Tue Mar 14 2023 19:51:35 GMT-0500 (Central Daylight Time)","519621","Untrustworthy,Trustworthy","","","","","","","2917","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","6","160166","0.0-7.0","63356ce6be65e7962bfc424d","bdp_rwlrn","Tue Mar 14 2023 19:51:35 GMT-0500 (Central Daylight Time)","519621","Untrustworthy,Trustworthy","","","","","","","9718","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
