"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"blur","0","0","blurevent","1","63b6ef9027eb90f292852ee4","bdp_rwlrn","Mon Mar 13 2023 14:39:34 GMT-0400 (Eastern Daylight Time)","510670","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","","63b6ef9027eb90f292852ee4","bdp_rwlrn","Mon Mar 13 2023 14:39:34 GMT-0400 (Eastern Daylight Time)","510670","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","","63b6ef9027eb90f292852ee4","bdp_rwlrn","Mon Mar 13 2023 14:39:34 GMT-0400 (Eastern Daylight Time)","510670","Trustworthy,Untrustworthy","pavlovia","0","4","0.0-0.0","","","","","","","","","","","","","","","",""
"","","","","","63b6ef9027eb90f292852ee4","bdp_rwlrn","Mon Mar 13 2023 14:39:34 GMT-0400 (Eastern Daylight Time)","510670","Trustworthy,Untrustworthy","instructions","1","3656","0.0-1.0","[{""page_index"":0,""viewing_time"":3651}]","3651","","","","","","","","","","","","","",""
"fullscreenenter","2","5839","fullscreenenter","","63b6ef9027eb90f292852ee4","bdp_rwlrn","Mon Mar 13 2023 14:39:34 GMT-0400 (Eastern Daylight Time)","510670","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","","63b6ef9027eb90f292852ee4","bdp_rwlrn","Mon Mar 13 2023 14:39:34 GMT-0400 (Eastern Daylight Time)","510670","Trustworthy,Untrustworthy","fullscreen","2","6821","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","","","63b6ef9027eb90f292852ee4","bdp_rwlrn","Mon Mar 13 2023 14:39:34 GMT-0400 (Eastern Daylight Time)","510670","Trustworthy,Untrustworthy","instructions","3","59708","0.0-4.0","[{""page_index"":0,""viewing_time"":6116},{""page_index"":1,""viewing_time"":11719},{""page_index"":2,""viewing_time"":8669},{""page_index"":3,""viewing_time"":6254},{""page_index"":4,""viewing_time"":14694},{""page_index"":5,""viewing_time"":5434}]","52886","","","","","","","","","","","","","",""
"","","","","","63b6ef9027eb90f292852ee4","bdp_rwlrn","Mon Mar 13 2023 14:39:34 GMT-0400 (Eastern Daylight Time)","510670","Trustworthy,Untrustworthy","html-keyboard-response","4","62937","0.0-5.0","","3225","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"","","","","","63b6ef9027eb90f292852ee4","bdp_rwlrn","Mon Mar 13 2023 14:39:34 GMT-0400 (Eastern Daylight Time)","510670","Trustworthy,Untrustworthy","html-keyboard-response","5","65120","0.0-6.0","","2074","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"","","","","","63b6ef9027eb90f292852ee4","bdp_rwlrn","Mon Mar 13 2023 14:39:34 GMT-0400 (Eastern Daylight Time)","510670","Trustworthy,Untrustworthy","html-keyboard-response","6","67959","0.0-7.0","","2734","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
"","","","","","63b6ef9027eb90f292852ee4","bdp_rwlrn","Mon Mar 13 2023 14:39:34 GMT-0400 (Eastern Daylight Time)","510670","Trustworthy,Untrustworthy","html-keyboard-response","7","69230","0.0-8.0","","1164","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p style='color:#00FF00'>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"","","","","","63b6ef9027eb90f292852ee4","bdp_rwlrn","Mon Mar 13 2023 14:39:34 GMT-0400 (Eastern Daylight Time)","510670","Trustworthy,Untrustworthy","html-keyboard-response","8","74341","0.0-9.0","","null","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/Kiwi.png'><br><strong>Kiwi Kash</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/bananas.png'><br><strong>Banana Bonanza</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/cherrie.png'><br><strong>Cherry Chances</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","",""
"","","","","","63b6ef9027eb90f292852ee4","bdp_rwlrn","Mon Mar 13 2023 14:39:34 GMT-0400 (Eastern Daylight Time)","510670","Trustworthy,Untrustworthy","instructions","9","79849","0.0-10.0","[{""page_index"":0,""viewing_time"":1518},{""page_index"":1,""viewing_time"":3987}]","5506","","","","","","","","","","","","","",""
