"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"focus","0","0","focusevent","63d1c10210ce566ce71616e8","bdp_rwlrn","Fri Mar 10 2023 11:56:50 GMT-0800 (Pacific Standard Time)","419720","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","63d1c10210ce566ce71616e8","bdp_rwlrn","Fri Mar 10 2023 11:56:50 GMT-0800 (Pacific Standard Time)","419720","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","63d1c10210ce566ce71616e8","bdp_rwlrn","Fri Mar 10 2023 11:56:50 GMT-0800 (Pacific Standard Time)","419720","Trustworthy,Untrustworthy","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","",""
"","","","","63d1c10210ce566ce71616e8","bdp_rwlrn","Fri Mar 10 2023 11:56:50 GMT-0800 (Pacific Standard Time)","419720","Trustworthy,Untrustworthy","instructions","1","5464","0.0-1.0","[{""page_index"":0,""viewing_time"":5461}]","5461","","","","","","","","","","","","","",""
"fullscreenenter","2","7465","fullscreenenter","63d1c10210ce566ce71616e8","bdp_rwlrn","Fri Mar 10 2023 11:56:50 GMT-0800 (Pacific Standard Time)","419720","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","63d1c10210ce566ce71616e8","bdp_rwlrn","Fri Mar 10 2023 11:56:50 GMT-0800 (Pacific Standard Time)","419720","Trustworthy,Untrustworthy","fullscreen","2","8446","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","","63d1c10210ce566ce71616e8","bdp_rwlrn","Fri Mar 10 2023 11:56:50 GMT-0800 (Pacific Standard Time)","419720","Trustworthy,Untrustworthy","instructions","3","84420","0.0-4.0","[{""page_index"":0,""viewing_time"":13391},{""page_index"":1,""viewing_time"":10377},{""page_index"":2,""viewing_time"":16573},{""page_index"":3,""viewing_time"":8077},{""page_index"":4,""viewing_time"":18909},{""page_index"":5,""viewing_time"":8646}]","75973","","","","","","","","","","","","","",""
"","","","","63d1c10210ce566ce71616e8","bdp_rwlrn","Fri Mar 10 2023 11:56:50 GMT-0800 (Pacific Standard Time)","419720","Trustworthy,Untrustworthy","html-keyboard-response","4","91115","0.0-5.0","","6693","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"","","","","63d1c10210ce566ce71616e8","bdp_rwlrn","Fri Mar 10 2023 11:56:50 GMT-0800 (Pacific Standard Time)","419720","Trustworthy,Untrustworthy","html-keyboard-response","5","94752","0.0-6.0","","3526","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"","","","","63d1c10210ce566ce71616e8","bdp_rwlrn","Fri Mar 10 2023 11:56:50 GMT-0800 (Pacific Standard Time)","419720","Trustworthy,Untrustworthy","html-keyboard-response","6","98904","0.0-7.0","","4040","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
