"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"focus","0","0","focusevent","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","1","","","","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","",""
"focus","1","9536","focusevent","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"blur","1","13919","blurevent","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","2","","","","","","","","","","","","","","","","","","","",""
"focus","1","23604","focusevent","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","","instructions","1","27951","0.0-1.0","[{""page_index"":0,""viewing_time"":27948}]","27948","","","","","","","","","","","","","",""
"fullscreenenter","2","31253","fullscreenenter","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","","fullscreen","2","32246","0.0-2.0","","","true","","","","","","","","","","","","",""
"blur","3","74131","blurevent","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","3","","","","","","","","","","","","","","","","","","","",""
"focus","3","76077","focusevent","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"fullscreenexit","3","76637","fullscreenexit","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"blur","3","77780","blurevent","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"focus","3","87218","focusevent","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"blur","3","89222","blurevent","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"focus","3","104360","focusevent","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","","instructions","3","162629","0.0-4.0","[{""page_index"":0,""viewing_time"":12592},{""page_index"":1,""viewing_time"":16174},{""page_index"":2,""viewing_time"":4937},{""page_index"":3,""viewing_time"":66171},{""page_index"":4,""viewing_time"":16299},{""page_index"":5,""viewing_time"":11475},{""page_index"":4,""viewing_time"":1897},{""page_index"":5,""viewing_time"":838}]","130383","","","","","","","","","","","","","",""
"","","","","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","","html-keyboard-response","4","169294","0.0-5.0","","6663","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"","","","","63ea79021f0c43def6174042","bdp_rwlrn","Mon Mar 13 2023 23:16:45 GMT-0500 (Central Daylight Time)","491865","Trustworthy,Untrustworthy","","html-keyboard-response","5","171152","0.0-6.0","","1754","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
