"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"focus","0","0","focusevent","63f3a7e45f338798fd025d99","bdp_rwlrn","Wed Mar 15 2023 14:30:37 GMT-0500 (Central Daylight Time)","382881","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","63f3a7e45f338798fd025d99","bdp_rwlrn","Wed Mar 15 2023 14:30:37 GMT-0500 (Central Daylight Time)","382881","Untrustworthy,Trustworthy","pavlovia","0","1","0.0-0.0","","","","","","","","","","","","","","","",""
"","","","","63f3a7e45f338798fd025d99","bdp_rwlrn","Wed Mar 15 2023 14:30:37 GMT-0500 (Central Daylight Time)","382881","Untrustworthy,Trustworthy","instructions","1","7439","0.0-1.0","[{""page_index"":0,""viewing_time"":7437}]","7437","","","","","","","","","","","","","",""
"fullscreenexit","2","15884","fullscreenexit","63f3a7e45f338798fd025d99","bdp_rwlrn","Wed Mar 15 2023 14:30:37 GMT-0500 (Central Daylight Time)","382881","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","63f3a7e45f338798fd025d99","bdp_rwlrn","Wed Mar 15 2023 14:30:37 GMT-0500 (Central Daylight Time)","382881","Untrustworthy,Trustworthy","fullscreen","2","16688","0.0-2.0","","","true","","","","","","","","","","","","",""
"","","","fullscreenfail","63f3a7e45f338798fd025d99","bdp_rwlrn","Wed Mar 15 2023 14:30:37 GMT-0500 (Central Daylight Time)","382881","Untrustworthy,Trustworthy","image-keyboard-response","3","22303","0.0-3.0-0.0","","5612","","","32","","","","","","","","","","",""
"","","","","63f3a7e45f338798fd025d99","bdp_rwlrn","Wed Mar 15 2023 14:30:37 GMT-0500 (Central Daylight Time)","382881","Untrustworthy,Trustworthy","instructions","4","78925","0.0-4.0","[{""page_index"":0,""viewing_time"":6252},{""page_index"":1,""viewing_time"":11229},{""page_index"":2,""viewing_time"":1352},{""page_index"":3,""viewing_time"":5035},{""page_index"":4,""viewing_time"":19388},{""page_index"":5,""viewing_time"":13115}]","56371","","","","","","","","","","","","","",""
"","","","","63f3a7e45f338798fd025d99","bdp_rwlrn","Wed Mar 15 2023 14:30:37 GMT-0500 (Central Daylight Time)","382881","Untrustworthy,Trustworthy","html-keyboard-response","5","86013","0.0-5.0","","7087","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"","","","","63f3a7e45f338798fd025d99","bdp_rwlrn","Wed Mar 15 2023 14:30:37 GMT-0500 (Central Daylight Time)","382881","Untrustworthy,Trustworthy","html-keyboard-response","6","88137","0.0-6.0","","2019","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"","","","","63f3a7e45f338798fd025d99","bdp_rwlrn","Wed Mar 15 2023 14:30:37 GMT-0500 (Central Daylight Time)","382881","Untrustworthy,Trustworthy","html-keyboard-response","7","91247","0.0-7.0","","3006","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","C","","","","","","","","","","",""
