"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"pavlovia","0","6","0.0-0.0","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","",""
"","","","","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","focus","1","4130","focusevent","","","","","","","","","","","","","","","",""
"instructions","1","9764","0.0-1.0","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","","[{""page_index"":0,""viewing_time"":9755}]","9756","","","","","","","","","","","","","",""
"","","","","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","fullscreenenter","2","14562","fullscreenenter","","","","","","","","","","","","","","","",""
"fullscreen","2","15437","0.0-2.0","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","","","","true","","","","","","","","","","","","",""
"instructions","3","82572","0.0-4.0","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","","[{""page_index"":0,""viewing_time"":13076},{""page_index"":1,""viewing_time"":10785},{""page_index"":2,""viewing_time"":10888},{""page_index"":3,""viewing_time"":6005},{""page_index"":4,""viewing_time"":16051},{""page_index"":5,""viewing_time"":10329}]","67134","","","","","","","","","","","","","",""
"html-keyboard-response","4","90921","0.0-5.0","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","","","8347","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","","","",""
"html-keyboard-response","5","93050","0.0-6.0","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","","","1997","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>1) What is the maximum number of points you can choose to bet on a lottery?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#00FF00'>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The maximum number of points you can choose to bet on a lottery is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","6","100192","0.0-7.0","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","","","7040","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p>b) Double what you bet</p><p>c) Quadruple what you bet</p>","B","","","","","","","","","","",""
"html-keyboard-response","7","101384","0.0-8.0","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","","","1090","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p><strong>2) How many points can you win each round?</strong></p><p>a) 10 points</p><p style='color:#00FF00'>b) Double what you bet</p><p>c) Quadruple what you bet</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>You can win double the amount of points you bet.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","","",""
"html-keyboard-response","8","106486","0.0-9.0","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","","","null","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 1 of 5</small></div><div class='instruxDiv'><p>Thank you for completing the quiz<p>These are the actual lotteries you will be playing in the next block:<p><div class='tc' align='center'><img class='introPic' src='Fruit/watermelon.png'><br><strong>Watermelon Win$</strong></div><div class='bl' align='center'><img class='introPic' src='Fruit/apple.png'><br><strong>Awesome Apples</strong></div><div class='br' align='center'><img class='introPic' src='Fruit/mixed-berries2.png'><br><strong>Berry Bla$t</strong></div></div><p>Across <strong>66 rounds</strong> you will play each lottery <strong>22 times</strong> (in random order).<p style='align:center; color:white'><font <em>Press SPACEBAR to continue</em></p>","null","","","","","","","","","","",""
"instructions","9","127360","0.0-10.0","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","","[{""page_index"":0,""viewing_time"":14203},{""page_index"":1,""viewing_time"":6670}]","20873","","","","","","","","","","","","","",""
"html-keyboard-response","10","130962","0.0-11.0-1.0","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","decision","","3501","","<div class='trialDiv'><img src='Fruit/apple.png'><br><font class='baseline'><strong>Awesome Apples</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","1","Awesome Apples","Fruit/apple.png","Won","0.8,0.2","10","0.8","5","1","",""
"html-keyboard-response","11","131214","0.0-11.0-2.0","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","decisionFB","","null","","<div class='trialDiv'><img src='Fruit/apple.png'><br><font class='baseline'><strong>Awesome Apples</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","1","Awesome Apples","Fruit/apple.png","Won","0.8,0.2","10","0.8","3","1","",""
"html-keyboard-response","12","132215","0.0-11.0-3.0","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","feedback","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/apple.png'><br><font class='baseline'><strong>Awesome Apples</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>4</strong></font></div>","null","1","Awesome Apples","Fruit/apple.png","Won","0.8,0.2","10","0.8","7","1","",""
"html-keyboard-response","13","133879","0.0-11.0-1.1","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","decision","","1663","","<div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","1","1","Berry Bla$t","Fruit/mixed-berries2.png","Won","0.65,0.2","8","0.65","12","2","",""
"html-keyboard-response","14","134132","0.0-11.0-2.1","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","decisionFB","","null","","<div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L1.png' class='respPic'></div></div>","null","1","Berry Bla$t","Fruit/mixed-berries2.png","Won","0.65,0.2","8","0.65","11","2","",""
"html-keyboard-response","15","135133","0.0-11.0-3.1","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","feedback","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/mixed-berries2.png'><br><font class='baseline'><strong>Berry Bla$t</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 1</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>2</strong></font></div>","null","1","Berry Bla$t","Fruit/mixed-berries2.png","Won","0.65,0.2","8","0.65","13","2","",""
"html-keyboard-response","16","137015","0.0-11.0-1.2","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","decision","","1880","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","3","1","Watermelon Win$","Fruit/watermelon.png","Lost","0.2,0.65","10","0.2","18","3","",""
"html-keyboard-response","17","137267","0.0-11.0-2.2","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","decisionFB","","null","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L3.png' class='respPic'></div></div>","null","1","Watermelon Win$","Fruit/watermelon.png","Lost","0.2,0.65","10","0.2","15","3","",""
"html-keyboard-response","18","138269","0.0-11.0-3.2","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","feedback","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 3</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","1","Watermelon Win$","Fruit/watermelon.png","Lost","0.2,0.65","10","0.2","15","3","",""
"html-keyboard-response","19","141418","0.0-11.0-1.3","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","decision","","3149","","<div class='trialDiv'><img src='Fruit/apple.png'><br><font class='baseline'><strong>Awesome Apples</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","2","Awesome Apples","Fruit/apple.png","Won","0.8,0.2","10","0.8","20","4","",""
"html-keyboard-response","20","141671","0.0-11.0-2.3","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","decisionFB","","null","","<div class='trialDiv'><img src='Fruit/apple.png'><br><font class='baseline'><strong>Awesome Apples</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","2","Awesome Apples","Fruit/apple.png","Won","0.8,0.2","10","0.8","15","4","",""
"html-keyboard-response","21","142673","0.0-11.0-3.3","63f791692fa22034babcdda1","bdp_rwlrn","Tue Mar 14 2023 13:52:57 GMT-0400 (Eastern Daylight Time)","409446","Trustworthy,Untrustworthy","","","","feedback","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/apple.png'><br><font class='baseline'><strong>Awesome Apples</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 5</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>10</strong></font></div>","null","2","Awesome Apples","Fruit/apple.png","Won","0.8,0.2","10","0.8","25","4","",""
