"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","2","0.0-0.0","5722c95274e7ff0011a6f011","bdp_sd","Sun Mar 26 2023 21:34:05 GMT-0600 (Mountain Daylight Time)","127976","","","","","","","","","","","","","","","","",""
"instructions","1","2009","0.0-1.0","5722c95274e7ff0011a6f011","bdp_sd","Sun Mar 26 2023 21:34:05 GMT-0600 (Mountain Daylight Time)","127976","[{""page_index"":0,""viewing_time"":2007}]","2007","","","","","","","","","","","","","","",""
"survey-text","2","52001","0.0-2.0","5722c95274e7ff0011a6f011","bdp_sd","Sun Mar 26 2023 21:34:05 GMT-0600 (Mountain Daylight Time)","127976","","49992","{""Q0"":""Gary L"",""Q1"":""Saad K"",""Q2"":""Xavier R"",""Q3"":""Julie R"",""Q4"":""Dragan M""}","","","","","","","","","","","","","",""
"","","","","5722c95274e7ff0011a6f011","bdp_sd","Sun Mar 26 2023 21:34:05 GMT-0600 (Mountain Daylight Time)","127976","","","","fullscreenenter","3","53364","fullscreenenter","","","","","","","","","",""
"fullscreen","3","54348","0.0-3.0","5722c95274e7ff0011a6f011","bdp_sd","Sun Mar 26 2023 21:34:05 GMT-0600 (Mountain Daylight Time)","127976","","","","","","","","true","","","","","","","","",""
"instructions","4","77984","0.0-5.0","5722c95274e7ff0011a6f011","bdp_sd","Sun Mar 26 2023 21:34:05 GMT-0600 (Mountain Daylight Time)","127976","[{""page_index"":0,""viewing_time"":10094},{""page_index"":1,""viewing_time"":13300},{""page_index"":2,""viewing_time"":241}]","23635","","","","","","","","","","","","","","",""
"html-keyboard-response","5","78485","0.0-6.0-1.0","5722c95274e7ff0011a6f011","bdp_sd","Sun Mar 26 2023 21:34:05 GMT-0600 (Mountain Daylight Time)","127976","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","81529","0.0-6.0-2.0","5722c95274e7ff0011a6f011","bdp_sd","Sun Mar 26 2023 21:34:05 GMT-0600 (Mountain Daylight Time)","127976","","3043","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>Julie R</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$69<br>for<br>yourself","$85<br>for<br>4","0","69","85","4","OTHER"
"html-keyboard-response","7","81781","0.0-6.0-3.0","5722c95274e7ff0011a6f011","bdp_sd","Sun Mar 26 2023 21:34:05 GMT-0600 (Mountain Daylight Time)","127976","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$85<br>for<br>Julie R</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$69<br>for<br>yourself","$85<br>for<br>4","0","69","85","4",""
"html-keyboard-response","8","82282","0.0-6.0-1.1","5722c95274e7ff0011a6f011","bdp_sd","Sun Mar 26 2023 21:34:05 GMT-0600 (Mountain Daylight Time)","127976","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
