"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","3","0.0-0.0","5766d2f7fdff7a0001c1285b","bdp_sd","Sun Apr 09 2023 15:57:55 GMT-0700 (Pacific Daylight Time)","158113","","","","","","","","","","","","","","","","",""
"instructions","1","3231","0.0-1.0","5766d2f7fdff7a0001c1285b","bdp_sd","Sun Apr 09 2023 15:57:55 GMT-0700 (Pacific Daylight Time)","158113","[{""page_index"":0,""viewing_time"":3228}]","3228","","","","","","","","","","","","","","",""
"survey-text","2","45415","0.0-2.0","5766d2f7fdff7a0001c1285b","bdp_sd","Sun Apr 09 2023 15:57:55 GMT-0700 (Pacific Daylight Time)","158113","","42182","{""Q0"":""alex s"",""Q1"":""lynnette f"",""Q2"":""jacky r"",""Q3"":""irma g"",""Q4"":""shelly b""}","","","","","","","","","","","","","",""
"","","","","5766d2f7fdff7a0001c1285b","bdp_sd","Sun Apr 09 2023 15:57:55 GMT-0700 (Pacific Daylight Time)","158113","","","","fullscreenenter","3","46533","fullscreenenter","","","","","","","","","",""
"fullscreen","3","47535","0.0-3.0","5766d2f7fdff7a0001c1285b","bdp_sd","Sun Apr 09 2023 15:57:55 GMT-0700 (Pacific Daylight Time)","158113","","","","","","","","true","","","","","","","","",""
"instructions","4","106857","0.0-5.0","5766d2f7fdff7a0001c1285b","bdp_sd","Sun Apr 09 2023 15:57:55 GMT-0700 (Pacific Daylight Time)","158113","[{""page_index"":0,""viewing_time"":11294},{""page_index"":1,""viewing_time"":4157},{""page_index"":2,""viewing_time"":42979},{""page_index"":1,""viewing_time"":28},{""page_index"":2,""viewing_time"":863}]","59321","","","","","","","","","","","","","","",""
"html-keyboard-response","5","107361","0.0-6.0-1.0","5766d2f7fdff7a0001c1285b","bdp_sd","Sun Apr 09 2023 15:57:55 GMT-0700 (Pacific Daylight Time)","158113","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","110807","0.0-6.0-2.0","5766d2f7fdff7a0001c1285b","bdp_sd","Sun Apr 09 2023 15:57:55 GMT-0700 (Pacific Daylight Time)","158113","","3445","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>lynnette f</div></div><div class='cr'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$15<br>for<br>yourself","$35<br>for<br>2","1","15","35","2","SELF"
"html-keyboard-response","7","111064","0.0-6.0-3.0","5766d2f7fdff7a0001c1285b","bdp_sd","Sun Apr 09 2023 15:57:55 GMT-0700 (Pacific Daylight Time)","158113","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>lynnette f</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$15<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$15<br>for<br>yourself","$35<br>for<br>2","1","15","35","2",""
"html-keyboard-response","8","111572","0.0-6.0-1.1","5766d2f7fdff7a0001c1285b","bdp_sd","Sun Apr 09 2023 15:57:55 GMT-0700 (Pacific Daylight Time)","158113","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","9","113102","0.0-6.0-2.1","5766d2f7fdff7a0001c1285b","bdp_sd","Sun Apr 09 2023 15:57:55 GMT-0700 (Pacific Daylight Time)","158113","","1529","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>jacky r</div></div><div class='cr'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$54<br>for<br>yourself","$80<br>for<br>3","1","54","80","3","SELF"
"html-keyboard-response","10","113361","0.0-6.0-3.1","5766d2f7fdff7a0001c1285b","bdp_sd","Sun Apr 09 2023 15:57:55 GMT-0700 (Pacific Daylight Time)","158113","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>jacky r</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$54<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$54<br>for<br>yourself","$80<br>for<br>3","1","54","80","3",""
