"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","numBlurs","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","2","0.0-0.0","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","","","","","","","","","","","","","","",""
"","","","","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","blur","1","2601","blurevent","1","","","","","","","","","","","","",""
"","","","","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","focus","1","10085","focusevent","","","","","","","","","","","","","",""
"","","","","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","blur","1","14944","blurevent","","","","","","","","","","","","","",""
"","","","","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","focus","1","17133","focusevent","","","","","","","","","","","","","",""
"instructions","1","194010","0.0-1.0","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","","","[{""page_index"":0,""viewing_time"":194008}]","194008","","","","","","","","","","",""
"survey-text","2","286585","0.0-2.0","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","","","","92574","{""Q0"":""lucero m"",""Q1"":""diesel t"",""Q2"":""shay g"",""Q3"":""alissa b"",""Q4"":""brandi b""}","","","","","","","","","",""
"","","","","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","fullscreenenter","3","294196","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","3","295185","0.0-3.0","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","","","","","","true","","","","","","","","",""
"instructions","4","332032","0.0-5.0","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","","","[{""page_index"":0,""viewing_time"":27350},{""page_index"":1,""viewing_time"":8225},{""page_index"":2,""viewing_time"":1271}]","36846","","","","","","","","","","",""
"image-keyboard-response","5","334577","0.0-6.0-0.0-0.0","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","blurwarn","1","","2543","","","","49","","","","","","",""
"html-keyboard-response","6","335329","0.0-6.0-1.0","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","FIX","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","7","338729","0.0-6.0-2.0","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","offer","","","3399","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>shay g</div></div><div class='cr'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$24<br>for<br>yourself","$35<br>for<br>3","1","24","35","3","SELF"
"html-keyboard-response","8","338981","0.0-6.0-3.0","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","offerFB","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>shay g</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$24<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$24<br>for<br>yourself","$35<br>for<br>3","1","24","35","3",""
"html-keyboard-response","9","339483","0.0-6.0-1.1","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","FIX","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","10","341977","0.0-6.0-2.1","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","offer","","","2493","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$47<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>brandi b</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$47<br>for<br>yourself","$50<br>for<br>5","0","47","50","5","OTHER"
"html-keyboard-response","11","342229","0.0-6.0-3.1","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","offerFB","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$47<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>for<br>brandi b</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$47<br>for<br>yourself","$50<br>for<br>5","0","47","50","5",""
"html-keyboard-response","12","342731","0.0-6.0-1.2","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","FIX","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","13","345577","0.0-6.0-2.2","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","offer","","","2845","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>alissa b</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$40<br>for<br>yourself","$55<br>for<br>4","0","40","55","4","OTHER"
"html-keyboard-response","14","345829","0.0-6.0-3.2","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","offerFB","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$55<br>for<br>alissa b</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$40<br>for<br>yourself","$55<br>for<br>4","0","40","55","4",""
"html-keyboard-response","15","346330","0.0-6.0-1.3","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","FIX","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","16","350392","0.0-6.0-2.3","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","offer","","","4061","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$28<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>brandi b</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$28<br>for<br>yourself","$30<br>for<br>5","0","28","30","5","SELF"
"html-keyboard-response","17","350644","0.0-6.0-3.3","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","offerFB","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$28<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>brandi b</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$28<br>for<br>yourself","$30<br>for<br>5","0","28","30","5",""
"html-keyboard-response","18","351145","0.0-6.0-1.4","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","FIX","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","19","357560","0.0-6.0-2.4","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","offer","","","6414","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>shay g</div></div><div class='cr'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$27<br>for<br>yourself","$50<br>for<br>3","1","27","50","3","OTHER"
"html-keyboard-response","20","357811","0.0-6.0-3.4","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","offerFB","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$50<br>for<br>shay g</font></div></div><div class='cr'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$27<br>for<br>yourself","$50<br>for<br>3","1","27","50","3",""
"html-keyboard-response","21","358313","0.0-6.0-1.5","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","FIX","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","22","362168","0.0-6.0-2.5","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","offer","","","3855","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>for<br>alissa b</div></div><div class='cr'><div class='vertical-center'>$69<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$69<br>for<br>yourself","$85<br>for<br>4","1","69","85","4","OTHER"
"html-keyboard-response","23","362419","0.0-6.0-3.5","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","offerFB","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$85<br>for<br>alissa b</font></div></div><div class='cr'><div class='vertical-center'>$69<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$69<br>for<br>yourself","$85<br>for<br>4","1","69","85","4",""
"html-keyboard-response","24","362921","0.0-6.0-1.6","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","FIX","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","25","366153","0.0-6.0-2.6","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","offer","","","3231","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>alissa b</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br>for<br>yourself","$50<br>for<br>4","0","34","50","4","OTHER"
"html-keyboard-response","26","366405","0.0-6.0-3.6","5bf0cb0411439b000168edda","bdp_sd","Sun Mar 26 2023 23:54:18 GMT-0400 (Eastern Daylight Time)","534253","","","","offerFB","","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>for<br>alissa b</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br>for<br>yourself","$50<br>for<br>4","0","34","50","4",""
