"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","6","0.0-0.0","5d5a48a67ca41f0001e97f8b","bdp_sd","Sat Mar 25 2023 19:56:58 GMT-0400 (Eastern Daylight Time)","282701","","","","","","","","","","","","","","","","",""
"instructions","1","25801","0.0-1.0","5d5a48a67ca41f0001e97f8b","bdp_sd","Sat Mar 25 2023 19:56:58 GMT-0400 (Eastern Daylight Time)","282701","[{""page_index"":0,""viewing_time"":25794}]","25795","","","","","","","","","","","","","","",""
"survey-text","2","125121","0.0-2.0","5d5a48a67ca41f0001e97f8b","bdp_sd","Sat Mar 25 2023 19:56:58 GMT-0400 (Eastern Daylight Time)","282701","","99317","{""Q0"":""Dakota B"",""Q1"":""Darren P"",""Q2"":""Cara K"",""Q3"":""Samm K "",""Q4"":""Genesis K""}","","","","","","","","","","","","","",""
"","","","","5d5a48a67ca41f0001e97f8b","bdp_sd","Sat Mar 25 2023 19:56:58 GMT-0400 (Eastern Daylight Time)","282701","","","","fullscreenenter","3","127003","fullscreenenter","","","","","","","","","",""
"fullscreen","3","127974","0.0-3.0","5d5a48a67ca41f0001e97f8b","bdp_sd","Sat Mar 25 2023 19:56:58 GMT-0400 (Eastern Daylight Time)","282701","","","","","","","","true","","","","","","","","",""
"instructions","4","215431","0.0-5.0","5d5a48a67ca41f0001e97f8b","bdp_sd","Sat Mar 25 2023 19:56:58 GMT-0400 (Eastern Daylight Time)","282701","[{""page_index"":0,""viewing_time"":74254},{""page_index"":1,""viewing_time"":11126},{""page_index"":2,""viewing_time"":2075}]","87455","","","","","","","","","","","","","","",""
"html-keyboard-response","5","215940","0.0-6.0-1.0","5d5a48a67ca41f0001e97f8b","bdp_sd","Sat Mar 25 2023 19:56:58 GMT-0400 (Eastern Daylight Time)","282701","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","217704","0.0-6.0-2.0","5d5a48a67ca41f0001e97f8b","bdp_sd","Sat Mar 25 2023 19:56:58 GMT-0400 (Eastern Daylight Time)","282701","","1762","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Cara K</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br>for<br>yourself","$80<br>for<br>3","0","54","80","3","SELF"
"html-keyboard-response","7","217964","0.0-6.0-3.0","5d5a48a67ca41f0001e97f8b","bdp_sd","Sat Mar 25 2023 19:56:58 GMT-0400 (Eastern Daylight Time)","282701","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$54<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Cara K</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br>for<br>yourself","$80<br>for<br>3","0","54","80","3",""
"html-keyboard-response","8","218472","0.0-6.0-1.1","5d5a48a67ca41f0001e97f8b","bdp_sd","Sat Mar 25 2023 19:56:58 GMT-0400 (Eastern Daylight Time)","282701","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","9","219991","0.0-6.0-2.1","5d5a48a67ca41f0001e97f8b","bdp_sd","Sat Mar 25 2023 19:56:58 GMT-0400 (Eastern Daylight Time)","282701","","1517","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>Genesis K</div></div><div class='cr'><div class='vertical-center'>$47<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$47<br>for<br>yourself","$50<br>for<br>5","1","47","50","5","SELF"
"html-keyboard-response","10","220244","0.0-6.0-3.1","5d5a48a67ca41f0001e97f8b","bdp_sd","Sat Mar 25 2023 19:56:58 GMT-0400 (Eastern Daylight Time)","282701","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>Genesis K</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$47<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$47<br>for<br>yourself","$50<br>for<br>5","1","47","50","5",""
"html-keyboard-response","11","220751","0.0-6.0-1.2","5d5a48a67ca41f0001e97f8b","bdp_sd","Sat Mar 25 2023 19:56:58 GMT-0400 (Eastern Daylight Time)","282701","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
