"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","2","0.0-0.0","5dd03c5486c8861300974102","bdp_sd","Sun Mar 26 2023 07:43:48 GMT-0400 (Eastern Daylight Time)","192771","","","","","","","","","","","","","","","","",""
"instructions","1","2547","0.0-1.0","5dd03c5486c8861300974102","bdp_sd","Sun Mar 26 2023 07:43:48 GMT-0400 (Eastern Daylight Time)","192771","[{""page_index"":0,""viewing_time"":2544}]","2544","","","","","","","","","","","","","","",""
"survey-text","2","71345","0.0-2.0","5dd03c5486c8861300974102","bdp_sd","Sun Mar 26 2023 07:43:48 GMT-0400 (Eastern Daylight Time)","192771","","68798","{""Q0"":""ww"",""Q1"":""bk"",""Q2"":""rj"",""Q3"":""ty"",""Q4"":""mc""}","","","","","","","","","","","","","",""
"","","","","5dd03c5486c8861300974102","bdp_sd","Sun Mar 26 2023 07:43:48 GMT-0400 (Eastern Daylight Time)","192771","","","","fullscreenenter","3","73100","fullscreenenter","","","","","","","","","",""
"fullscreen","3","74086","0.0-3.0","5dd03c5486c8861300974102","bdp_sd","Sun Mar 26 2023 07:43:48 GMT-0400 (Eastern Daylight Time)","192771","","","","","","","","true","","","","","","","","",""
"instructions","4","85136","0.0-5.0","5dd03c5486c8861300974102","bdp_sd","Sun Mar 26 2023 07:43:48 GMT-0400 (Eastern Daylight Time)","192771","[{""page_index"":0,""viewing_time"":5214},{""page_index"":1,""viewing_time"":3114},{""page_index"":2,""viewing_time"":2721}]","11049","","","","","","","","","","","","","","",""
"html-keyboard-response","5","85638","0.0-6.0-1.0","5dd03c5486c8861300974102","bdp_sd","Sun Mar 26 2023 07:43:48 GMT-0400 (Eastern Daylight Time)","192771","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","92441","0.0-6.0-2.0","5dd03c5486c8861300974102","bdp_sd","Sun Mar 26 2023 07:43:48 GMT-0400 (Eastern Daylight Time)","192771","","6802","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>rj</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br>for<br>yourself","$60<br>for<br>3","0","25","60","3","OTHER"
"html-keyboard-response","7","92693","0.0-6.0-3.0","5dd03c5486c8861300974102","bdp_sd","Sun Mar 26 2023 07:43:48 GMT-0400 (Eastern Daylight Time)","192771","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$60<br>for<br>rj</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br>for<br>yourself","$60<br>for<br>3","0","25","60","3",""
"html-keyboard-response","8","93194","0.0-6.0-1.1","5dd03c5486c8861300974102","bdp_sd","Sun Mar 26 2023 07:43:48 GMT-0400 (Eastern Daylight Time)","192771","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
