"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","3","0.0-0.0","5df5b9f661721940c46c3cd3","bdp_sd","Sun Mar 26 2023 02:17:43 GMT-0400 (Eastern Daylight Time)","214684","","","","","","","","","","","","","","","","",""
"instructions","1","1856","0.0-1.0","5df5b9f661721940c46c3cd3","bdp_sd","Sun Mar 26 2023 02:17:43 GMT-0400 (Eastern Daylight Time)","214684","[{""page_index"":0,""viewing_time"":1852}]","1853","","","","","","","","","","","","","","",""
"survey-text","2","120208","0.0-2.0","5df5b9f661721940c46c3cd3","bdp_sd","Sun Mar 26 2023 02:17:43 GMT-0400 (Eastern Daylight Time)","214684","","118351","{""Q0"":""Jordan S"",""Q1"":""Kim S"",""Q2"":""Hope S"",""Q3"":""Tania Z"",""Q4"":""Rachael M""}","","","","","","","","","","","","","",""
"","","","","5df5b9f661721940c46c3cd3","bdp_sd","Sun Mar 26 2023 02:17:43 GMT-0400 (Eastern Daylight Time)","214684","","","","fullscreenenter","3","121741","fullscreenenter","","","","","","","","","",""
"fullscreen","3","122716","0.0-3.0","5df5b9f661721940c46c3cd3","bdp_sd","Sun Mar 26 2023 02:17:43 GMT-0400 (Eastern Daylight Time)","214684","","","","","","","","true","","","","","","","","",""
"instructions","4","154973","0.0-5.0","5df5b9f661721940c46c3cd3","bdp_sd","Sun Mar 26 2023 02:17:43 GMT-0400 (Eastern Daylight Time)","214684","[{""page_index"":0,""viewing_time"":5442},{""page_index"":1,""viewing_time"":19907},{""page_index"":2,""viewing_time"":6906}]","32255","","","","","","","","","","","","","","",""
"html-keyboard-response","5","155490","0.0-6.0-1.0","5df5b9f661721940c46c3cd3","bdp_sd","Sun Mar 26 2023 02:17:43 GMT-0400 (Eastern Daylight Time)","214684","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","157799","0.0-6.0-2.0","5df5b9f661721940c46c3cd3","bdp_sd","Sun Mar 26 2023 02:17:43 GMT-0400 (Eastern Daylight Time)","214684","","2306","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$69<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>Tania Z</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$69<br>for<br>yourself","$85<br>for<br>4","0","69","85","4","SELF"
"html-keyboard-response","7","158055","0.0-6.0-3.0","5df5b9f661721940c46c3cd3","bdp_sd","Sun Mar 26 2023 02:17:43 GMT-0400 (Eastern Daylight Time)","214684","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$69<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>Tania Z</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$69<br>for<br>yourself","$85<br>for<br>4","0","69","85","4",""
"html-keyboard-response","8","158565","0.0-6.0-1.1","5df5b9f661721940c46c3cd3","bdp_sd","Sun Mar 26 2023 02:17:43 GMT-0400 (Eastern Daylight Time)","214684","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
