"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"blur","0","0","blurevent","1","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","","","","","","","","","","","","","","","","",""
"","","","","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","pavlovia","0","8","0.0-0.0","","","","","","","","","","","","",""
"focus","1","1819","focusevent","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","","","","","","","","","","","","","","","","",""
"","","","","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","instructions","1","2961","0.0-1.0","[{""page_index"":0,""viewing_time"":2951}]","2952","","","","","","","","","","",""
"","","","","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","survey-text","2","76482","0.0-2.0","","73520","{""Q0"":""BEN S"",""Q1"":""GAIA S"",""Q2"":""PEDRO S"",""Q3"":""JULIO S "",""Q4"":""ALEX J""}","","","","","","","","","",""
"fullscreenenter","3","78334","fullscreenenter","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","","","","","","","","","","","","","","","","",""
"","","","","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","fullscreen","3","79309","0.0-3.0","","","","true","","","","","","","","",""
"","","","","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","instructions","4","90164","0.0-5.0","[{""page_index"":0,""viewing_time"":7635},{""page_index"":1,""viewing_time"":1903},{""page_index"":2,""viewing_time"":1315}]","10854","","","","","","","","","","",""
"","","","blurwarn","1","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","image-keyboard-response","5","104855","0.0-6.0-0.0-0.0","","14688","","","","49","","","","","","",""
"","","","FIX","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","6","105608","0.0-6.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","","5f19fbbb7767270c32464eb5","bdp_sd","Sun Mar 26 2023 12:06:40 GMT-0400 (Eastern Daylight Time)","154903","html-keyboard-response","7","108313","0.0-6.0-2.0","","2702","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>GAIA S</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$11<br>for<br>yourself","$30<br>for<br>2","0","11","30","2","OTHER"
