"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","2","0.0-0.0","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","","","","","","","","","","","","","","","",""
"instructions","1","3766","0.0-1.0","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","[{""page_index"":0,""viewing_time"":3763}]","3763","","","","","","","","","","","","","","",""
"survey-text","2","138592","0.0-2.0","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","134825","{""Q0"":""Alicia L"",""Q1"":""Virginia G"",""Q2"":""Daniel S"",""Q3"":""Finely W"",""Q4"":""Jupiter B""}","","","","","","","","","","","","","",""
"","","","","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","","","fullscreenenter","3","139969","fullscreenenter","","","","","","","","","",""
"","","","","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","","","fullscreenenter","3","139969","fullscreenenter","","","","","","","","","",""
"fullscreen","3","140917","0.0-3.0","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","","","","","","","true","","","","","","","","",""
"instructions","4","186131","0.0-5.0","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","[{""page_index"":0,""viewing_time"":11281},{""page_index"":1,""viewing_time"":22909},{""page_index"":2,""viewing_time"":11022}]","45212","","","","","","","","","","","","","","",""
"html-keyboard-response","5","186632","0.0-6.0-1.0","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","191538","0.0-6.0-2.0","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","4905","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>Jupiter B</div></div><div class='cr'><div class='vertical-center'>$28<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$28<br>for<br>yourself","$30<br>for<br>5","1","28","30","5","SELF"
"html-keyboard-response","7","191791","0.0-6.0-3.0","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>Jupiter B</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$28<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$28<br>for<br>yourself","$30<br>for<br>5","1","28","30","5",""
"html-keyboard-response","8","192292","0.0-6.0-1.1","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","9","194660","0.0-6.0-2.1","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","2366","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>Daniel S</div></div><div class='cr'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$54<br>for<br>yourself","$80<br>for<br>3","1","54","80","3","SELF"
"html-keyboard-response","10","194912","0.0-6.0-3.1","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>Daniel S</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$54<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$54<br>for<br>yourself","$80<br>for<br>3","1","54","80","3",""
"html-keyboard-response","11","195414","0.0-6.0-1.2","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","12","199127","0.0-6.0-2.2","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","3712","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>Daniel S</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$24<br>for<br>yourself","$35<br>for<br>3","0","24","35","3","SELF"
"html-keyboard-response","13","199380","0.0-6.0-3.2","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$24<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>Daniel S</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$24<br>for<br>yourself","$35<br>for<br>3","0","24","35","3",""
"html-keyboard-response","14","199881","0.0-6.0-1.3","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","15","202417","0.0-6.0-2.3","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","2535","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Virginia G</div></div><div class='cr'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$15<br>for<br>yourself","$35<br>for<br>2","1","15","35","2","OTHER"
"html-keyboard-response","16","202669","0.0-6.0-3.3","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$35<br>for<br>Virginia G</font></div></div><div class='cr'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$15<br>for<br>yourself","$35<br>for<br>2","1","15","35","2",""
"html-keyboard-response","17","203172","0.0-6.0-1.4","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","18","204668","0.0-6.0-2.4","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","1496","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>Daniel S</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$41<br>for<br>yourself","$75<br>for<br>3","0","41","75","3","SELF"
"html-keyboard-response","19","204920","0.0-6.0-3.4","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$41<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>Daniel S</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$41<br>for<br>yourself","$75<br>for<br>3","0","41","75","3",""
"html-keyboard-response","20","205422","0.0-6.0-1.5","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","21","207102","0.0-6.0-2.5","5f9873550513db147c9d2958","bdp_sd","Sat Mar 25 2023 22:02:53 GMT-0400 (Eastern Daylight Time)","261409","","1679","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>Finely W</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br>for<br>yourself","$30<br>for<br>4","1","25","30","4","SELF"
