"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","numBlurs","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"focus","0","0","focusevent","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","","","","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","pavlovia","0","3","0.0-0.0","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","instructions","1","945","0.0-1.0","[{""page_index"":0,""viewing_time"":942}]","942","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","survey-text","2","31856","0.0-2.0","","30907","{""Q0"":""ML"",""Q1"":""MD"",""Q2"":""BR"",""Q3"":""MN"",""Q4"":""OL""}","","","","","","","","","","",""
"blur","3","33183","blurevent","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","","","","","","","","1","","","","","","","","","",""
"focus","3","33195","focusevent","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","","","","","","","","","","","","","","","","","",""
"fullscreenexit","3","33236","fullscreenexit","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","","","","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","fullscreen","3","33959","0.0-3.0","","","","","true","","","","","","","","",""
"","","","fullscreenfail","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","image-keyboard-response","4","34629","0.0-4.0-0.0","","664","","","","","32","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","instructions","5","40704","0.0-5.0","[{""page_index"":0,""viewing_time"":3388},{""page_index"":1,""viewing_time"":1349},{""page_index"":2,""viewing_time"":1081}]","5818","","","","","","","","","","","",""
"","","","blurwarn","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","image-keyboard-response","6","42279","0.0-6.0-0.0-0.0","","1571","","1","","","49","","","","","","",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","7","43041","0.0-6.0-1.0","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","8","45588","0.0-6.0-2.0","","2541","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>MN</div></div><div class='cr'><div class='vertical-center'>$40<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$40<br>for<br>yourself","$55<br>for<br>4","1","40","55","4","OTHER"
"","","","offerFB","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","9","45846","0.0-6.0-3.0","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$55<br>for<br>MN</font></div></div><div class='cr'><div class='vertical-center'>$40<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$40<br>for<br>yourself","$55<br>for<br>4","1","40","55","4",""
"","","","FIX","6005fd9c8bbd67931607e518","bdp_sd","Sun Mar 26 2023 09:29:03 GMT-0700 (Pacific Daylight Time)","94845","html-keyboard-response","10","46354","0.0-6.0-1.1","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
