"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","7","0.0-0.0","60aeef267e494909058ef34e","bdp_sd","Wed Mar 29 2023 11:48:01 GMT-0700 (Pacific Daylight Time)","220171","","","","","","","","","","","","","","","","",""
"instructions","1","12107","0.0-1.0","60aeef267e494909058ef34e","bdp_sd","Wed Mar 29 2023 11:48:01 GMT-0700 (Pacific Daylight Time)","220171","[{""page_index"":0,""viewing_time"":12099}]","12099","","","","","","","","","","","","","","",""
"survey-text","2","91976","0.0-2.0","60aeef267e494909058ef34e","bdp_sd","Wed Mar 29 2023 11:48:01 GMT-0700 (Pacific Daylight Time)","220171","","79866","{""Q0"":""Jack S"",""Q1"":""Abby S"",""Q2"":""Serena S"",""Q3"":""Hadley P"",""Q4"":""Josh M""}","","","","","","","","","","","","","",""
"","","","","60aeef267e494909058ef34e","bdp_sd","Wed Mar 29 2023 11:48:01 GMT-0700 (Pacific Daylight Time)","220171","","","","fullscreenenter","3","93670","fullscreenenter","","","","","","","","","",""
"fullscreen","3","94660","0.0-3.0","60aeef267e494909058ef34e","bdp_sd","Wed Mar 29 2023 11:48:01 GMT-0700 (Pacific Daylight Time)","220171","","","","","","","","true","","","","","","","","",""
"instructions","4","121194","0.0-5.0","60aeef267e494909058ef34e","bdp_sd","Wed Mar 29 2023 11:48:01 GMT-0700 (Pacific Daylight Time)","220171","[{""page_index"":0,""viewing_time"":4998},{""page_index"":1,""viewing_time"":15294},{""page_index"":2,""viewing_time"":6241}]","26533","","","","","","","","","","","","","","",""
"html-keyboard-response","5","121701","0.0-6.0-1.0","60aeef267e494909058ef34e","bdp_sd","Wed Mar 29 2023 11:48:01 GMT-0700 (Pacific Daylight Time)","220171","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","123377","0.0-6.0-2.0","60aeef267e494909058ef34e","bdp_sd","Wed Mar 29 2023 11:48:01 GMT-0700 (Pacific Daylight Time)","220171","","1674","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>for<br>Hadley P</div></div><div class='cr'><div class='vertical-center'>$69<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$69<br>for<br>yourself","$85<br>for<br>4","1","69","85","4","SELF"
"html-keyboard-response","7","123633","0.0-6.0-3.0","60aeef267e494909058ef34e","bdp_sd","Wed Mar 29 2023 11:48:01 GMT-0700 (Pacific Daylight Time)","220171","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>for<br>Hadley P</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$69<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$69<br>for<br>yourself","$85<br>for<br>4","1","69","85","4",""
"html-keyboard-response","8","124138","0.0-6.0-1.1","60aeef267e494909058ef34e","bdp_sd","Wed Mar 29 2023 11:48:01 GMT-0700 (Pacific Daylight Time)","220171","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
