"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","3","0.0-0.0","61038afee6aa0fcfbf968e56","bdp_sd","Tue Mar 28 2023 00:12:13 GMT-0400 (Eastern Daylight Time)","400480","","","","","","","","","","","","","","","","",""
"instructions","1","4914","0.0-1.0","61038afee6aa0fcfbf968e56","bdp_sd","Tue Mar 28 2023 00:12:13 GMT-0400 (Eastern Daylight Time)","400480","[{""page_index"":0,""viewing_time"":4911}]","4911","","","","","","","","","","","","","","",""
"survey-text","2","202880","0.0-2.0","61038afee6aa0fcfbf968e56","bdp_sd","Tue Mar 28 2023 00:12:13 GMT-0400 (Eastern Daylight Time)","400480","","197964","{""Q0"":""Carlo T"",""Q1"":""Marianna P"",""Q2"":""Elaine W"",""Q3"":""Veester M"",""Q4"":""Debra M""}","","","","","","","","","","","","","",""
"","","","","61038afee6aa0fcfbf968e56","bdp_sd","Tue Mar 28 2023 00:12:13 GMT-0400 (Eastern Daylight Time)","400480","","","","fullscreenenter","3","204688","fullscreenenter","","","","","","","","","",""
"fullscreen","3","205672","0.0-3.0","61038afee6aa0fcfbf968e56","bdp_sd","Tue Mar 28 2023 00:12:13 GMT-0400 (Eastern Daylight Time)","400480","","","","","","","","true","","","","","","","","",""
"instructions","4","272888","0.0-5.0","61038afee6aa0fcfbf968e56","bdp_sd","Tue Mar 28 2023 00:12:13 GMT-0400 (Eastern Daylight Time)","400480","[{""page_index"":0,""viewing_time"":14738},{""page_index"":1,""viewing_time"":14196},{""page_index"":2,""viewing_time"":38281}]","67215","","","","","","","","","","","","","","",""
"html-keyboard-response","5","273390","0.0-6.0-1.0","61038afee6aa0fcfbf968e56","bdp_sd","Tue Mar 28 2023 00:12:13 GMT-0400 (Eastern Daylight Time)","400480","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","281047","0.0-6.0-2.0","61038afee6aa0fcfbf968e56","bdp_sd","Tue Mar 28 2023 00:12:13 GMT-0400 (Eastern Daylight Time)","400480","","7656","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>Veester M</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br>for<br>yourself","$30<br>for<br>4","1","25","30","4","SELF"
"html-keyboard-response","7","281300","0.0-6.0-3.0","61038afee6aa0fcfbf968e56","bdp_sd","Tue Mar 28 2023 00:12:13 GMT-0400 (Eastern Daylight Time)","400480","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>Veester M</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br>for<br>yourself","$30<br>for<br>4","1","25","30","4",""
"html-keyboard-response","8","281803","0.0-6.0-1.1","61038afee6aa0fcfbf968e56","bdp_sd","Tue Mar 28 2023 00:12:13 GMT-0400 (Eastern Daylight Time)","400480","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
