"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","1","0.0-0.0","610940bbdb7795c3be364375","bdp_sd","Mon Mar 27 2023 09:18:19 GMT-0500 (Central Daylight Time)","182008","","","","","","","","","","","","","","","","",""
"instructions","1","2269","0.0-1.0","610940bbdb7795c3be364375","bdp_sd","Mon Mar 27 2023 09:18:19 GMT-0500 (Central Daylight Time)","182008","[{""page_index"":0,""viewing_time"":2268}]","2268","","","","","","","","","","","","","","",""
"survey-text","2","68313","0.0-2.0","610940bbdb7795c3be364375","bdp_sd","Mon Mar 27 2023 09:18:19 GMT-0500 (Central Daylight Time)","182008","","66042","{""Q0"":""Rylie"",""Q1"":""Bobby"",""Q2"":""Ashley"",""Q3"":""Shayna"",""Q4"":""Timmy""}","","","","","","","","","","","","","",""
"","","","","610940bbdb7795c3be364375","bdp_sd","Mon Mar 27 2023 09:18:19 GMT-0500 (Central Daylight Time)","182008","","","","fullscreenenter","3","69925","fullscreenenter","","","","","","","","","",""
"fullscreen","3","70914","0.0-3.0","610940bbdb7795c3be364375","bdp_sd","Mon Mar 27 2023 09:18:19 GMT-0500 (Central Daylight Time)","182008","","","","","","","","true","","","","","","","","",""
"instructions","4","92781","0.0-5.0","610940bbdb7795c3be364375","bdp_sd","Mon Mar 27 2023 09:18:19 GMT-0500 (Central Daylight Time)","182008","[{""page_index"":0,""viewing_time"":4874},{""page_index"":1,""viewing_time"":11584},{""page_index"":2,""viewing_time"":5408}]","21866","","","","","","","","","","","","","","",""
"html-keyboard-response","5","93283","0.0-6.0-1.0","610940bbdb7795c3be364375","bdp_sd","Mon Mar 27 2023 09:18:19 GMT-0500 (Central Daylight Time)","182008","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","98077","0.0-6.0-2.0","610940bbdb7795c3be364375","bdp_sd","Mon Mar 27 2023 09:18:19 GMT-0500 (Central Daylight Time)","182008","","4792","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>Ashley</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$14<br>for<br>yourself","$25<br>for<br>3","0","14","25","3","OTHER"
"html-keyboard-response","7","98329","0.0-6.0-3.0","610940bbdb7795c3be364375","bdp_sd","Mon Mar 27 2023 09:18:19 GMT-0500 (Central Daylight Time)","182008","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>Ashley</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$14<br>for<br>yourself","$25<br>for<br>3","0","14","25","3",""
"html-keyboard-response","8","98830","0.0-6.0-1.1","610940bbdb7795c3be364375","bdp_sd","Mon Mar 27 2023 09:18:19 GMT-0500 (Central Daylight Time)","182008","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","9","102701","0.0-6.0-2.1","610940bbdb7795c3be364375","bdp_sd","Mon Mar 27 2023 09:18:19 GMT-0500 (Central Daylight Time)","182008","","3871","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>Timmy</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br>for<br>yourself","$60<br>for<br>5","0","54","60","5","SELF"
"html-keyboard-response","10","102952","0.0-6.0-3.1","610940bbdb7795c3be364375","bdp_sd","Mon Mar 27 2023 09:18:19 GMT-0500 (Central Daylight Time)","182008","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$54<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>Timmy</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br>for<br>yourself","$60<br>for<br>5","0","54","60","5",""
"html-keyboard-response","11","103454","0.0-6.0-1.2","610940bbdb7795c3be364375","bdp_sd","Mon Mar 27 2023 09:18:19 GMT-0500 (Central Daylight Time)","182008","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
