"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","3","0.0-0.0","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","","","","","","","","","","","","","","","",""
"instructions","1","4582","0.0-1.0","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","[{""page_index"":0,""viewing_time"":4578}]","4578","","","","","","","","","","","","","","",""
"survey-text","2","90862","0.0-2.0","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","86278","{""Q0"":""James R"",""Q1"":""Andrew L"",""Q2"":""Dayton De"",""Q3"":""Michael K"",""Q4"":""Daniel K""}","","","","","","","","","","","","","",""
"","","","","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","","","fullscreenenter","3","91942","fullscreenenter","","","","","","","","","",""
"fullscreen","3","92931","0.0-3.0","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","","","","","","","true","","","","","","","","",""
"instructions","4","129731","0.0-5.0","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","[{""page_index"":0,""viewing_time"":4484},{""page_index"":1,""viewing_time"":24654},{""page_index"":2,""viewing_time"":7660}]","36798","","","","","","","","","","","","","","",""
"html-keyboard-response","5","130235","0.0-6.0-1.0","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","135006","0.0-6.0-2.0","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","4770","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$67<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>Daniel K</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$67<br>for<br>yourself","$75<br>for<br>5","0","67","75","5","OTHER"
"html-keyboard-response","7","135258","0.0-6.0-3.0","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$67<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$75<br>for<br>Daniel K</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$67<br>for<br>yourself","$75<br>for<br>5","0","67","75","5",""
"html-keyboard-response","8","135761","0.0-6.0-1.1","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","9","138890","0.0-6.0-2.1","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","3128","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>Dayton De</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$27<br>for<br>yourself","$50<br>for<br>3","0","27","50","3","OTHER"
"html-keyboard-response","10","139143","0.0-6.0-3.1","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>for<br>Dayton De</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$27<br>for<br>yourself","$50<br>for<br>3","0","27","50","3",""
"html-keyboard-response","11","139645","0.0-6.0-1.2","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","12","143524","0.0-6.0-2.2","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","3877","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>James R</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$31<br>for<br>yourself","$85<br>for<br>1","0","31","85","1","OTHER"
"html-keyboard-response","13","143777","0.0-6.0-3.2","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$85<br>for<br>James R</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$31<br>for<br>yourself","$85<br>for<br>1","0","31","85","1",""
"html-keyboard-response","14","144279","0.0-6.0-1.3","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","15","145962","0.0-6.0-2.3","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","1681","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Dayton De</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br>for<br>yourself","$80<br>for<br>3","0","54","80","3","SELF"
"html-keyboard-response","16","146214","0.0-6.0-3.3","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$54<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Dayton De</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br>for<br>yourself","$80<br>for<br>3","0","54","80","3",""
"html-keyboard-response","17","146716","0.0-6.0-1.4","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","18","147884","0.0-6.0-2.4","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","1168","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>Daniel K</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br>for<br>yourself","$60<br>for<br>5","0","54","60","5","SELF"
"html-keyboard-response","19","148137","0.0-6.0-3.4","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$54<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>Daniel K</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br>for<br>yourself","$60<br>for<br>5","0","54","60","5",""
"html-keyboard-response","20","148638","0.0-6.0-1.5","628419137c4c3ded72e4874d","bdp_sd","Mon Mar 27 2023 15:29:00 GMT-0700 (Pacific Daylight Time)","262080","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
