"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","16","0.0-0.0","63153455849b153d56dd81db","bdp_sd","Thu Mar 30 2023 15:34:32 GMT-0700 (Pacific Daylight Time)","234589","","","","","","","","","","","","","","","","",""
"instructions","1","4612","0.0-1.0","63153455849b153d56dd81db","bdp_sd","Thu Mar 30 2023 15:34:32 GMT-0700 (Pacific Daylight Time)","234589","[{""page_index"":0,""viewing_time"":4593}]","4594","","","","","","","","","","","","","","",""
"survey-text","2","114478","0.0-2.0","63153455849b153d56dd81db","bdp_sd","Thu Mar 30 2023 15:34:32 GMT-0700 (Pacific Daylight Time)","234589","","109863","{""Q0"":""Martha G"",""Q1"":""Mary O"",""Q2"":""Josaiah"",""Q3"":""Jaime"",""Q4"":""Anthony""}","","","","","","","","","","","","","",""
"","","","","63153455849b153d56dd81db","bdp_sd","Thu Mar 30 2023 15:34:32 GMT-0700 (Pacific Daylight Time)","234589","","","","fullscreenenter","3","116570","fullscreenenter","","","","","","","","","",""
"fullscreen","3","117558","0.0-3.0","63153455849b153d56dd81db","bdp_sd","Thu Mar 30 2023 15:34:32 GMT-0700 (Pacific Daylight Time)","234589","","","","","","","","true","","","","","","","","",""
"instructions","4","145899","0.0-5.0","63153455849b153d56dd81db","bdp_sd","Thu Mar 30 2023 15:34:32 GMT-0700 (Pacific Daylight Time)","234589","[{""page_index"":0,""viewing_time"":3746},{""page_index"":1,""viewing_time"":22057},{""page_index"":2,""viewing_time"":2536}]","28340","","","","","","","","","","","","","","",""
"html-keyboard-response","5","146406","0.0-6.0-1.0","63153455849b153d56dd81db","bdp_sd","Thu Mar 30 2023 15:34:32 GMT-0700 (Pacific Daylight Time)","234589","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","147985","0.0-6.0-2.0","63153455849b153d56dd81db","bdp_sd","Thu Mar 30 2023 15:34:32 GMT-0700 (Pacific Daylight Time)","234589","","1574","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Mary O</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$33<br>for<br>yourself","$80<br>for<br>2","0","33","80","2","OTHER"
"html-keyboard-response","7","148250","0.0-6.0-3.0","63153455849b153d56dd81db","bdp_sd","Thu Mar 30 2023 15:34:32 GMT-0700 (Pacific Daylight Time)","234589","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>Mary O</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$33<br>for<br>yourself","$80<br>for<br>2","0","33","80","2",""
"html-keyboard-response","8","148767","0.0-6.0-1.1","63153455849b153d56dd81db","bdp_sd","Thu Mar 30 2023 15:34:32 GMT-0700 (Pacific Daylight Time)","234589","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","9","150002","0.0-6.0-2.1","63153455849b153d56dd81db","bdp_sd","Thu Mar 30 2023 15:34:32 GMT-0700 (Pacific Daylight Time)","234589","","1232","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>Josaiah</div></div><div class='cr'><div class='vertical-center'>$14<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$14<br>for<br>yourself","$25<br>for<br>3","1","14","25","3","OTHER"
"html-keyboard-response","10","150266","0.0-6.0-3.1","63153455849b153d56dd81db","bdp_sd","Thu Mar 30 2023 15:34:32 GMT-0700 (Pacific Daylight Time)","234589","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>Josaiah</font></div></div><div class='cr'><div class='vertical-center'>$14<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$14<br>for<br>yourself","$25<br>for<br>3","1","14","25","3",""
"html-keyboard-response","11","150772","0.0-6.0-1.2","63153455849b153d56dd81db","bdp_sd","Thu Mar 30 2023 15:34:32 GMT-0700 (Pacific Daylight Time)","234589","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","12","153553","0.0-6.0-2.2","63153455849b153d56dd81db","bdp_sd","Thu Mar 30 2023 15:34:32 GMT-0700 (Pacific Daylight Time)","234589","","2779","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>Josaiah</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25<br>for<br>yourself","$60<br>for<br>3","0","25","60","3","SELF"
"html-keyboard-response","13","153817","0.0-6.0-3.2","63153455849b153d56dd81db","bdp_sd","Thu Mar 30 2023 15:34:32 GMT-0700 (Pacific Daylight Time)","234589","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$25<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>Josaiah</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25<br>for<br>yourself","$60<br>for<br>3","0","25","60","3",""
"html-keyboard-response","14","154329","0.0-6.0-1.3","63153455849b153d56dd81db","bdp_sd","Thu Mar 30 2023 15:34:32 GMT-0700 (Pacific Daylight Time)","234589","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","15","155362","0.0-6.0-2.3","63153455849b153d56dd81db","bdp_sd","Thu Mar 30 2023 15:34:32 GMT-0700 (Pacific Daylight Time)","234589","","1030","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>Jaime</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$40<br>for<br>yourself","$55<br>for<br>4","0","40","55","4","OTHER"
