"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","2","0.0-0.0","63210b26bd58960c97b47ddc","bdp_sd","Thu Apr 13 2023 11:21:38 GMT+0100 (British Summer Time)","329894","","","","","","","","","","","","","","","","",""
"instructions","1","8841","0.0-1.0","63210b26bd58960c97b47ddc","bdp_sd","Thu Apr 13 2023 11:21:38 GMT+0100 (British Summer Time)","329894","[{""page_index"":0,""viewing_time"":8839}]","8839","","","","","","","","","","","","","","",""
"survey-text","2","90064","0.0-2.0","63210b26bd58960c97b47ddc","bdp_sd","Thu Apr 13 2023 11:21:38 GMT+0100 (British Summer Time)","329894","","81223","{""Q0"":""Steven D"",""Q1"":""Joseph C"",""Q2"":""Ashley H"",""Q3"":""Thomas N"",""Q4"":""Lisa N""}","","","","","","","","","","","","","",""
"","","","","63210b26bd58960c97b47ddc","bdp_sd","Thu Apr 13 2023 11:21:38 GMT+0100 (British Summer Time)","329894","","","","fullscreenenter","3","94019","fullscreenenter","","","","","","","","","",""
"fullscreen","3","95008","0.0-3.0","63210b26bd58960c97b47ddc","bdp_sd","Thu Apr 13 2023 11:21:38 GMT+0100 (British Summer Time)","329894","","","","","","","","true","","","","","","","","",""
"instructions","4","257141","0.0-5.0","63210b26bd58960c97b47ddc","bdp_sd","Thu Apr 13 2023 11:21:38 GMT+0100 (British Summer Time)","329894","[{""page_index"":0,""viewing_time"":6475},{""page_index"":1,""viewing_time"":94045},{""page_index"":2,""viewing_time"":61611}]","162132","","","","","","","","","","","","","","",""
"html-keyboard-response","5","257643","0.0-6.0-1.0","63210b26bd58960c97b47ddc","bdp_sd","Thu Apr 13 2023 11:21:38 GMT+0100 (British Summer Time)","329894","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","259645","0.0-6.0-2.0","63210b26bd58960c97b47ddc","bdp_sd","Thu Apr 13 2023 11:21:38 GMT+0100 (British Summer Time)","329894","","2002","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$78<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Lisa N</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$78<br>for<br>yourself","$80<br>for<br>5","0","78","80","5","SELF"
"html-keyboard-response","7","259896","0.0-6.0-3.0","63210b26bd58960c97b47ddc","bdp_sd","Thu Apr 13 2023 11:21:38 GMT+0100 (British Summer Time)","329894","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$78<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Lisa N</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$78<br>for<br>yourself","$80<br>for<br>5","0","78","80","5",""
"html-keyboard-response","8","260398","0.0-6.0-1.1","63210b26bd58960c97b47ddc","bdp_sd","Thu Apr 13 2023 11:21:38 GMT+0100 (British Summer Time)","329894","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
