"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","3","0.0-0.0","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","","","","","","","","","","","","","","","",""
"instructions","1","1177","0.0-1.0","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","[{""page_index"":0,""viewing_time"":1173}]","1173","","","","","","","","","","","","","","",""
"survey-text","2","38855","0.0-2.0","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","37677","{""Q0"":""val o"",""Q1"":""dennis o"",""Q2"":""roy g"",""Q3"":""daniel b"",""Q4"":""chris t""}","","","","","","","","","","","","","",""
"","","","","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","","","fullscreenenter","3","41767","fullscreenenter","","","","","","","","","",""
"fullscreen","3","42758","0.0-3.0","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","","","","","","","true","","","","","","","","",""
"instructions","4","74605","0.0-5.0","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","[{""page_index"":0,""viewing_time"":12408},{""page_index"":1,""viewing_time"":10994},{""page_index"":2,""viewing_time"":8444}]","31846","","","","","","","","","","","","","","",""
"html-keyboard-response","5","75108","0.0-6.0-1.0","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","78122","0.0-6.0-2.0","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","3013","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>daniel b</div></div><div class='cr'><div class='vertical-center'>$19<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$19<br>for<br>yourself","$25<br>for<br>4","1","19","25","4","SELF"
"html-keyboard-response","7","78376","0.0-6.0-3.0","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>daniel b</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$19<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$19<br>for<br>yourself","$25<br>for<br>4","1","19","25","4",""
"html-keyboard-response","8","78879","0.0-6.0-1.1","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","9","82490","0.0-6.0-2.1","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","3610","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>dennis o</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$11<br>for<br>yourself","$30<br>for<br>2","0","11","30","2","OTHER"
"html-keyboard-response","10","82743","0.0-6.0-3.1","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$30<br>for<br>dennis o</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$11<br>for<br>yourself","$30<br>for<br>2","0","11","30","2",""
"html-keyboard-response","11","83246","0.0-6.0-1.2","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","12","85824","0.0-6.0-2.2","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","2577","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>chris t</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br>for<br>yourself","$55<br>for<br>5","0","54","55","5","SELF"
"html-keyboard-response","13","86079","0.0-6.0-3.2","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$54<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>chris t</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br>for<br>yourself","$55<br>for<br>5","0","54","55","5",""
"html-keyboard-response","14","86580","0.0-6.0-1.3","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","15","89893","0.0-6.0-2.3","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","3312","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>chris t</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$80<br>for<br>yourself","$85<br>for<br>5","0","80","85","5","SELF"
"html-keyboard-response","16","90153","0.0-6.0-3.3","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>chris t</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$80<br>for<br>yourself","$85<br>for<br>5","0","80","85","5",""
"html-keyboard-response","17","90655","0.0-6.0-1.4","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","18","92642","0.0-6.0-2.4","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","1987","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>chris t</div></div><div class='cr'><div class='vertical-center'>$67<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$67<br>for<br>yourself","$75<br>for<br>5","1","67","75","5","SELF"
"html-keyboard-response","19","92894","0.0-6.0-3.4","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>chris t</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$67<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$67<br>for<br>yourself","$75<br>for<br>5","1","67","75","5",""
"html-keyboard-response","20","93396","0.0-6.0-1.5","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","21","95929","0.0-6.0-2.5","63cff34d33a9948e3b0b28d6","bdp_sd","Wed Mar 29 2023 03:26:46 GMT-0500 (Central Daylight Time)","156679","","2533","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>roy g</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$27<br>for<br>yourself","$50<br>for<br>3","0","27","50","3","SELF"
