"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","2","0.0-0.0","63d2bc12a843f8466a8f83e0","bdp_sd","Sun Apr 09 2023 21:11:44 GMT-0400 (Eastern Daylight Time)","188450","","","","","","","","","","","","","","","","",""
"instructions","1","3262","0.0-1.0","63d2bc12a843f8466a8f83e0","bdp_sd","Sun Apr 09 2023 21:11:44 GMT-0400 (Eastern Daylight Time)","188450","[{""page_index"":0,""viewing_time"":3259}]","3259","","","","","","","","","","","","","","",""
"survey-text","2","77615","0.0-2.0","63d2bc12a843f8466a8f83e0","bdp_sd","Sun Apr 09 2023 21:11:44 GMT-0400 (Eastern Daylight Time)","188450","","74352","{""Q0"":""Adam D"",""Q1"":""Zigmas C"",""Q2"":""Thomas D"",""Q3"":""Cesar C"",""Q4"":""Arlete H""}","","","","","","","","","","","","","",""
"","","","","63d2bc12a843f8466a8f83e0","bdp_sd","Sun Apr 09 2023 21:11:44 GMT-0400 (Eastern Daylight Time)","188450","","","","fullscreenenter","3","79234","fullscreenenter","","","","","","","","","",""
"fullscreen","3","80224","0.0-3.0","63d2bc12a843f8466a8f83e0","bdp_sd","Sun Apr 09 2023 21:11:44 GMT-0400 (Eastern Daylight Time)","188450","","","","","","","","true","","","","","","","","",""
"instructions","4","121793","0.0-5.0","63d2bc12a843f8466a8f83e0","bdp_sd","Sun Apr 09 2023 21:11:44 GMT-0400 (Eastern Daylight Time)","188450","[{""page_index"":0,""viewing_time"":12775},{""page_index"":1,""viewing_time"":16493},{""page_index"":2,""viewing_time"":12300}]","41568","","","","","","","","","","","","","","",""
"html-keyboard-response","5","122295","0.0-6.0-1.0","63d2bc12a843f8466a8f83e0","bdp_sd","Sun Apr 09 2023 21:11:44 GMT-0400 (Eastern Daylight Time)","188450","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","125854","0.0-6.0-2.0","63d2bc12a843f8466a8f83e0","bdp_sd","Sun Apr 09 2023 21:11:44 GMT-0400 (Eastern Daylight Time)","188450","","3559","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>Thomas D</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$24<br>for<br>yourself","$35<br>for<br>3","0","24","35","3","OTHER"
"html-keyboard-response","7","126106","0.0-6.0-3.0","63d2bc12a843f8466a8f83e0","bdp_sd","Sun Apr 09 2023 21:11:44 GMT-0400 (Eastern Daylight Time)","188450","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$35<br>for<br>Thomas D</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$24<br>for<br>yourself","$35<br>for<br>3","0","24","35","3",""
"html-keyboard-response","8","126608","0.0-6.0-1.1","63d2bc12a843f8466a8f83e0","bdp_sd","Sun Apr 09 2023 21:11:44 GMT-0400 (Eastern Daylight Time)","188450","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","9","128489","0.0-6.0-2.1","63d2bc12a843f8466a8f83e0","bdp_sd","Sun Apr 09 2023 21:11:44 GMT-0400 (Eastern Daylight Time)","188450","","1881","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>Cesar C</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br>for<br>yourself","$50<br>for<br>4","0","34","50","4","OTHER"
"html-keyboard-response","10","128740","0.0-6.0-3.1","63d2bc12a843f8466a8f83e0","bdp_sd","Sun Apr 09 2023 21:11:44 GMT-0400 (Eastern Daylight Time)","188450","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>for<br>Cesar C</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br>for<br>yourself","$50<br>for<br>4","0","34","50","4",""
"html-keyboard-response","11","129241","0.0-6.0-1.2","63d2bc12a843f8466a8f83e0","bdp_sd","Sun Apr 09 2023 21:11:44 GMT-0400 (Eastern Daylight Time)","188450","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","12","131977","0.0-6.0-2.2","63d2bc12a843f8466a8f83e0","bdp_sd","Sun Apr 09 2023 21:11:44 GMT-0400 (Eastern Daylight Time)","188450","","2735","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>Cesar C</div></div><div class='cr'><div class='vertical-center'>$40<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$40<br>for<br>yourself","$55<br>for<br>4","1","40","55","4","OTHER"
