"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"focus","0","0","focusevent","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","","","","","","","","","","","","","","","","","",""
"","","","","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","pavlovia","0","1","0.0-0.0","","","","","","","","","","","","","",""
"","","","","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","instructions","1","2665","0.0-1.0","[{""page_index"":0,""viewing_time"":2663}]","2663","","","","","","","","","","","",""
"blur","2","35328","blurevent","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","","","","","","","1","","","","","","","","","","",""
"focus","2","36483","focusevent","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","","","","","","","","","","","","","","","","","",""
"","","","","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","survey-text","2","89890","0.0-2.0","","87223","","{""Q0"":""Vanessa T"",""Q1"":""Tony G"",""Q2"":""Nick A"",""Q3"":""Sam S"",""Q4"":""Lauren L""}","","","","","","","","","",""
"fullscreenexit","3","92037","fullscreenexit","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","","","","","","","","","","","","","","","","","",""
"","","","","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","fullscreen","3","92830","0.0-3.0","","","","","true","","","","","","","","",""
"","","","fullscreenfail","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","image-keyboard-response","4","94320","0.0-4.0-0.0","","1489","","","","","32","","","","","","",""
"","","","","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","instructions","5","145040","0.0-5.0","[{""page_index"":0,""viewing_time"":5656},{""page_index"":1,""viewing_time"":10688},{""page_index"":2,""viewing_time"":34120}]","50464","","","","","","","","","","","",""
"","","","blurwarn","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","image-keyboard-response","6","153999","0.0-6.0-0.0-0.0","","8958","1","","","","49","","","","","","",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","7","154754","0.0-6.0-1.0","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","8","158151","0.0-6.0-2.0","","3395","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>Sam S</div></div><div class='cr'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$34<br>for<br>yourself","$50<br>for<br>4","1","34","50","4","OTHER"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","9","158403","0.0-6.0-3.0","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$50<br>for<br>Sam S</font></div></div><div class='cr'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$34<br>for<br>yourself","$50<br>for<br>4","1","34","50","4",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","10","158905","0.0-6.0-1.1","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","11","160848","0.0-6.0-2.1","","1941","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>Nick A</div></div><div class='cr'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$27<br>for<br>yourself","$50<br>for<br>3","1","27","50","3","OTHER"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","12","161106","0.0-6.0-3.1","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$50<br>for<br>Nick A</font></div></div><div class='cr'><div class='vertical-center'>$27<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$27<br>for<br>yourself","$50<br>for<br>3","1","27","50","3",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","13","161610","0.0-6.0-1.2","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","14","163656","0.0-6.0-2.2","","2045","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>Tony G</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$15<br>for<br>yourself","$35<br>for<br>2","0","15","35","2","OTHER"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","15","163922","0.0-6.0-3.2","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$35<br>for<br>Tony G</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$15<br>for<br>yourself","$35<br>for<br>2","0","15","35","2",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","16","164427","0.0-6.0-1.3","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","17","167407","0.0-6.0-2.3","","2979","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>Nick A</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$41<br>for<br>yourself","$75<br>for<br>3","0","41","75","3","OTHER"
"","","","offerFB","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","18","167664","0.0-6.0-3.3","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$75<br>for<br>Nick A</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$41<br>for<br>yourself","$75<br>for<br>3","0","41","75","3",""
"","","","FIX","63d404f4eaf69448ef9e09e6","bdp_sd","Tue Mar 28 2023 20:30:23 GMT-0700 (Pacific Daylight Time)","234155","html-keyboard-response","19","168167","0.0-6.0-1.4","","null","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
