"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","2","0.0-0.0","63e5be4daa8fac2e51d4fe91","bdp_sd","Tue Mar 28 2023 20:30:30 GMT-0400 (Eastern Daylight Time)","158216","","","","","","","","","","","","","","","","",""
"instructions","1","2299","0.0-1.0","63e5be4daa8fac2e51d4fe91","bdp_sd","Tue Mar 28 2023 20:30:30 GMT-0400 (Eastern Daylight Time)","158216","[{""page_index"":0,""viewing_time"":2295}]","2296","","","","","","","","","","","","","","",""
"survey-text","2","70505","0.0-2.0","63e5be4daa8fac2e51d4fe91","bdp_sd","Tue Mar 28 2023 20:30:30 GMT-0400 (Eastern Daylight Time)","158216","","68204","{""Q0"":""Daniel N"",""Q1"":""Matthew G"",""Q2"":""Jay P"",""Q3"":""Krish P"",""Q4"":""Ian C""}","","","","","","","","","","","","","",""
"","","","","63e5be4daa8fac2e51d4fe91","bdp_sd","Tue Mar 28 2023 20:30:30 GMT-0400 (Eastern Daylight Time)","158216","","","","fullscreenenter","3","71852","fullscreenenter","","","","","","","","","",""
"fullscreen","3","72844","0.0-3.0","63e5be4daa8fac2e51d4fe91","bdp_sd","Tue Mar 28 2023 20:30:30 GMT-0400 (Eastern Daylight Time)","158216","","","","","","","","true","","","","","","","","",""
"instructions","4","84751","0.0-5.0","63e5be4daa8fac2e51d4fe91","bdp_sd","Tue Mar 28 2023 20:30:30 GMT-0400 (Eastern Daylight Time)","158216","[{""page_index"":0,""viewing_time"":5312},{""page_index"":1,""viewing_time"":4849},{""page_index"":2,""viewing_time"":1745}]","11906","","","","","","","","","","","","","","",""
"html-keyboard-response","5","85254","0.0-6.0-1.0","63e5be4daa8fac2e51d4fe91","bdp_sd","Tue Mar 28 2023 20:30:30 GMT-0400 (Eastern Daylight Time)","158216","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","90881","0.0-6.0-2.0","63e5be4daa8fac2e51d4fe91","bdp_sd","Tue Mar 28 2023 20:30:30 GMT-0400 (Eastern Daylight Time)","158216","","5626","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$78<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Ian C</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$78<br>for<br>yourself","$80<br>for<br>5","0","78","80","5","SELF"
"html-keyboard-response","7","91135","0.0-6.0-3.0","63e5be4daa8fac2e51d4fe91","bdp_sd","Tue Mar 28 2023 20:30:30 GMT-0400 (Eastern Daylight Time)","158216","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$78<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Ian C</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$78<br>for<br>yourself","$80<br>for<br>5","0","78","80","5",""
"html-keyboard-response","8","91636","0.0-6.0-1.1","63e5be4daa8fac2e51d4fe91","bdp_sd","Tue Mar 28 2023 20:30:30 GMT-0400 (Eastern Daylight Time)","158216","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
