"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","3","0.0-0.0","63f3a6b6d4c4d564638f38ca","bdp_sd","Sun Mar 26 2023 12:48:39 GMT-0500 (Central Daylight Time)","200933","","","","","","","","","","","","","","","","",""
"instructions","1","2286","0.0-1.0","63f3a6b6d4c4d564638f38ca","bdp_sd","Sun Mar 26 2023 12:48:39 GMT-0500 (Central Daylight Time)","200933","[{""page_index"":0,""viewing_time"":2283}]","2283","","","","","","","","","","","","","","",""
"survey-text","2","94075","0.0-2.0","63f3a6b6d4c4d564638f38ca","bdp_sd","Sun Mar 26 2023 12:48:39 GMT-0500 (Central Daylight Time)","200933","","91788","{""Q0"":""Brad F"",""Q1"":""Sarah M"",""Q2"":""Kara S"",""Q3"":""Harry F"",""Q4"":""Helen B""}","","","","","","","","","","","","","",""
"","","","","63f3a6b6d4c4d564638f38ca","bdp_sd","Sun Mar 26 2023 12:48:39 GMT-0500 (Central Daylight Time)","200933","","","","fullscreenenter","3","96047","fullscreenenter","","","","","","","","","",""
"fullscreen","3","97028","0.0-3.0","63f3a6b6d4c4d564638f38ca","bdp_sd","Sun Mar 26 2023 12:48:39 GMT-0500 (Central Daylight Time)","200933","","","","","","","","true","","","","","","","","",""
"instructions","4","129491","0.0-5.0","63f3a6b6d4c4d564638f38ca","bdp_sd","Sun Mar 26 2023 12:48:39 GMT-0500 (Central Daylight Time)","200933","[{""page_index"":0,""viewing_time"":10253},{""page_index"":1,""viewing_time"":15112},{""page_index"":2,""viewing_time"":7096}]","32461","","","","","","","","","","","","","","",""
"html-keyboard-response","5","129993","0.0-6.0-1.0","63f3a6b6d4c4d564638f38ca","bdp_sd","Sun Mar 26 2023 12:48:39 GMT-0500 (Central Daylight Time)","200933","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","133044","0.0-6.0-2.0","63f3a6b6d4c4d564638f38ca","bdp_sd","Sun Mar 26 2023 12:48:39 GMT-0500 (Central Daylight Time)","200933","","3048","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>Helen B</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br>for<br>yourself","$55<br>for<br>5","0","54","55","5","SELF"
"html-keyboard-response","7","133297","0.0-6.0-3.0","63f3a6b6d4c4d564638f38ca","bdp_sd","Sun Mar 26 2023 12:48:39 GMT-0500 (Central Daylight Time)","200933","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$54<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>Helen B</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br>for<br>yourself","$55<br>for<br>5","0","54","55","5",""
"html-keyboard-response","8","133800","0.0-6.0-1.1","63f3a6b6d4c4d564638f38ca","bdp_sd","Sun Mar 26 2023 12:48:39 GMT-0500 (Central Daylight Time)","200933","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","9","136851","0.0-6.0-2.1","63f3a6b6d4c4d564638f38ca","bdp_sd","Sun Mar 26 2023 12:48:39 GMT-0500 (Central Daylight Time)","200933","","3051","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>Kara S</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$24<br>for<br>yourself","$35<br>for<br>3","0","24","35","3","OTHER"
"html-keyboard-response","10","137102","0.0-6.0-3.1","63f3a6b6d4c4d564638f38ca","bdp_sd","Sun Mar 26 2023 12:48:39 GMT-0500 (Central Daylight Time)","200933","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$35<br>for<br>Kara S</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$24<br>for<br>yourself","$35<br>for<br>3","0","24","35","3",""
"html-keyboard-response","11","137604","0.0-6.0-1.2","63f3a6b6d4c4d564638f38ca","bdp_sd","Sun Mar 26 2023 12:48:39 GMT-0500 (Central Daylight Time)","200933","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
