"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","3","0.0-0.0","6400e07f37c248e81cbc9d41","bdp_sd","Sat Mar 25 2023 23:22:18 GMT-0400 (Eastern Daylight Time)","151910","","","","","","","","","","","","","","","","",""
"instructions","1","1007","0.0-1.0","6400e07f37c248e81cbc9d41","bdp_sd","Sat Mar 25 2023 23:22:18 GMT-0400 (Eastern Daylight Time)","151910","[{""page_index"":0,""viewing_time"":1004}]","1004","","","","","","","","","","","","","","",""
"survey-text","2","74568","0.0-2.0","6400e07f37c248e81cbc9d41","bdp_sd","Sat Mar 25 2023 23:22:18 GMT-0400 (Eastern Daylight Time)","151910","","73559","{""Q0"":""Catherine O"",""Q1"":""Katrina C"",""Q2"":""Christine F"",""Q3"":""Josey P"",""Q4"":""Nichole M""}","","","","","","","","","","","","","",""
"","","","","6400e07f37c248e81cbc9d41","bdp_sd","Sat Mar 25 2023 23:22:18 GMT-0400 (Eastern Daylight Time)","151910","","","","fullscreenenter","3","76380","fullscreenenter","","","","","","","","","",""
"fullscreen","3","77377","0.0-3.0","6400e07f37c248e81cbc9d41","bdp_sd","Sat Mar 25 2023 23:22:18 GMT-0400 (Eastern Daylight Time)","151910","","","","","","","","true","","","","","","","","",""
"instructions","4","91764","0.0-5.0","6400e07f37c248e81cbc9d41","bdp_sd","Sat Mar 25 2023 23:22:18 GMT-0400 (Eastern Daylight Time)","151910","[{""page_index"":0,""viewing_time"":5942},{""page_index"":1,""viewing_time"":3003},{""page_index"":2,""viewing_time"":5438}]","14384","","","","","","","","","","","","","","",""
"html-keyboard-response","5","92268","0.0-6.0-1.0","6400e07f37c248e81cbc9d41","bdp_sd","Sat Mar 25 2023 23:22:18 GMT-0400 (Eastern Daylight Time)","151910","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","94143","0.0-6.0-2.0","6400e07f37c248e81cbc9d41","bdp_sd","Sat Mar 25 2023 23:22:18 GMT-0400 (Eastern Daylight Time)","151910","","1873","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$47<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$50<br>for<br>Nichole M</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$47<br>for<br>yourself","$50<br>for<br>5","0","47","50","5","OTHER"
"html-keyboard-response","7","94397","0.0-6.0-3.0","6400e07f37c248e81cbc9d41","bdp_sd","Sat Mar 25 2023 23:22:18 GMT-0400 (Eastern Daylight Time)","151910","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$47<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>for<br>Nichole M</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$47<br>for<br>yourself","$50<br>for<br>5","0","47","50","5",""
"html-keyboard-response","8","94899","0.0-6.0-1.1","6400e07f37c248e81cbc9d41","bdp_sd","Sat Mar 25 2023 23:22:18 GMT-0400 (Eastern Daylight Time)","151910","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","9","96180","0.0-6.0-2.1","6400e07f37c248e81cbc9d41","bdp_sd","Sat Mar 25 2023 23:22:18 GMT-0400 (Eastern Daylight Time)","151910","","1278","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$78<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Nichole M</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$78<br>for<br>yourself","$80<br>for<br>5","0","78","80","5","OTHER"
"html-keyboard-response","10","96432","0.0-6.0-3.1","6400e07f37c248e81cbc9d41","bdp_sd","Sat Mar 25 2023 23:22:18 GMT-0400 (Eastern Daylight Time)","151910","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$78<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>Nichole M</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$78<br>for<br>yourself","$80<br>for<br>5","0","78","80","5",""
"html-keyboard-response","11","96935","0.0-6.0-1.2","6400e07f37c248e81cbc9d41","bdp_sd","Sat Mar 25 2023 23:22:18 GMT-0400 (Eastern Daylight Time)","151910","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","12","98299","0.0-6.0-2.2","6400e07f37c248e81cbc9d41","bdp_sd","Sat Mar 25 2023 23:22:18 GMT-0400 (Eastern Daylight Time)","151910","","1361","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>for<br>Catherine O</div></div><div class='cr'><div class='vertical-center'>$20<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$20<br>for<br>yourself","$55<br>for<br>1","1","20","55","1","OTHER"
"html-keyboard-response","13","98551","0.0-6.0-3.2","6400e07f37c248e81cbc9d41","bdp_sd","Sat Mar 25 2023 23:22:18 GMT-0400 (Eastern Daylight Time)","151910","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$55<br>for<br>Catherine O</font></div></div><div class='cr'><div class='vertical-center'>$20<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$20<br>for<br>yourself","$55<br>for<br>1","1","20","55","1",""
"html-keyboard-response","14","99054","0.0-6.0-1.3","6400e07f37c248e81cbc9d41","bdp_sd","Sat Mar 25 2023 23:22:18 GMT-0400 (Eastern Daylight Time)","151910","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
