"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","11","0.0-0.0","6400ed09421b2727c2f7c553","bdp_sd","Sat Mar 25 2023 22:15:42 GMT-0400 (Eastern Daylight Time)","272900","","","","","","","","","","","","","","","","",""
"instructions","1","2718","0.0-1.0","6400ed09421b2727c2f7c553","bdp_sd","Sat Mar 25 2023 22:15:42 GMT-0400 (Eastern Daylight Time)","272900","[{""page_index"":0,""viewing_time"":2705}]","2706","","","","","","","","","","","","","","",""
"survey-text","2","120990","0.0-2.0","6400ed09421b2727c2f7c553","bdp_sd","Sat Mar 25 2023 22:15:42 GMT-0400 (Eastern Daylight Time)","272900","","118271","{""Q0"":""Anders M"",""Q1"":""Nora C"",""Q2"":""Manuel E"",""Q3"":""Seth C"",""Q4"":""Sam C""}","","","","","","","","","","","","","",""
"","","","","6400ed09421b2727c2f7c553","bdp_sd","Sat Mar 25 2023 22:15:42 GMT-0400 (Eastern Daylight Time)","272900","","","","fullscreenenter","3","122951","fullscreenenter","","","","","","","","","",""
"fullscreen","3","123916","0.0-3.0","6400ed09421b2727c2f7c553","bdp_sd","Sat Mar 25 2023 22:15:42 GMT-0400 (Eastern Daylight Time)","272900","","","","","","","","true","","","","","","","","",""
"instructions","4","165552","0.0-5.0","6400ed09421b2727c2f7c553","bdp_sd","Sat Mar 25 2023 22:15:42 GMT-0400 (Eastern Daylight Time)","272900","[{""page_index"":0,""viewing_time"":11338},{""page_index"":1,""viewing_time"":22130},{""page_index"":2,""viewing_time"":8166}]","41634","","","","","","","","","","","","","","",""
"html-keyboard-response","5","166058","0.0-6.0-1.0","6400ed09421b2727c2f7c553","bdp_sd","Sat Mar 25 2023 22:15:42 GMT-0400 (Eastern Daylight Time)","272900","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","173110","0.0-6.0-2.0","6400ed09421b2727c2f7c553","bdp_sd","Sat Mar 25 2023 22:15:42 GMT-0400 (Eastern Daylight Time)","272900","","7050","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Sam C</div></div><div class='cr'><div class='vertical-center'>$34<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br>for<br>yourself","$35<br>for<br>5","1","34","35","5","SELF"
"html-keyboard-response","7","173366","0.0-6.0-3.0","6400ed09421b2727c2f7c553","bdp_sd","Sat Mar 25 2023 22:15:42 GMT-0400 (Eastern Daylight Time)","272900","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Sam C</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$34<br>for<br>yourself</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br>for<br>yourself","$35<br>for<br>5","1","34","35","5",""
"html-keyboard-response","8","173868","0.0-6.0-1.1","6400ed09421b2727c2f7c553","bdp_sd","Sat Mar 25 2023 22:15:42 GMT-0400 (Eastern Daylight Time)","272900","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","9","178709","0.0-6.0-2.1","6400ed09421b2727c2f7c553","bdp_sd","Sat Mar 25 2023 22:15:42 GMT-0400 (Eastern Daylight Time)","272900","","4839","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$30<br>for<br>Nora C</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$11<br>for<br>yourself","$30<br>for<br>2","0","11","30","2","OTHER"
"html-keyboard-response","10","178962","0.0-6.0-3.1","6400ed09421b2727c2f7c553","bdp_sd","Sat Mar 25 2023 22:15:42 GMT-0400 (Eastern Daylight Time)","272900","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$11<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$30<br>for<br>Nora C</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$11<br>for<br>yourself","$30<br>for<br>2","0","11","30","2",""
"html-keyboard-response","11","179465","0.0-6.0-1.2","6400ed09421b2727c2f7c553","bdp_sd","Sat Mar 25 2023 22:15:42 GMT-0400 (Eastern Daylight Time)","272900","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","12","182277","0.0-6.0-2.2","6400ed09421b2727c2f7c553","bdp_sd","Sat Mar 25 2023 22:15:42 GMT-0400 (Eastern Daylight Time)","272900","","2810","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$67<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>Sam C</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$67<br>for<br>yourself","$75<br>for<br>5","0","67","75","5","SELF"
"html-keyboard-response","13","182532","0.0-6.0-3.2","6400ed09421b2727c2f7c553","bdp_sd","Sat Mar 25 2023 22:15:42 GMT-0400 (Eastern Daylight Time)","272900","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$67<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$75<br>for<br>Sam C</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$67<br>for<br>yourself","$75<br>for<br>5","0","67","75","5",""
"html-keyboard-response","14","183034","0.0-6.0-1.3","6400ed09421b2727c2f7c553","bdp_sd","Sat Mar 25 2023 22:15:42 GMT-0400 (Eastern Daylight Time)","272900","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","15","188463","0.0-6.0-2.3","6400ed09421b2727c2f7c553","bdp_sd","Sat Mar 25 2023 22:15:42 GMT-0400 (Eastern Daylight Time)","272900","","5427","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>Seth C</div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$55<br>for<br>yourself","$75<br>for<br>4","1","55","75","4","OTHER"
"html-keyboard-response","16","188719","0.0-6.0-3.3","6400ed09421b2727c2f7c553","bdp_sd","Sat Mar 25 2023 22:15:42 GMT-0400 (Eastern Daylight Time)","272900","","null","","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$75<br>for<br>Seth C</font></div></div><div class='cr'><div class='vertical-center'>$55<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$55<br>for<br>yourself","$75<br>for<br>4","1","55","75","4",""
