"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","numBlurs","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","2","0.0-0.0","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","","","","","","","","","","","","","","","","",""
"instructions","1","1552","0.0-1.0","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","[{""page_index"":0,""viewing_time"":1550}]","1550","","","","","","","","","","","","","","","",""
"","","","","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","","blur","2","58357","blurevent","1","","","","","","","","","","",""
"","","","","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","","focus","2","58914","focusevent","","","","","","","","","","","",""
"survey-text","2","60817","0.0-2.0","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","59263","","","","","","{""Q0"":""Corey B"",""Q1"":""Medina B"",""Q2"":""Barry J"",""Q3"":""Stephanie D"",""Q4"":""Rachel W""}","","","","","","","","","",""
"","","","","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","","fullscreenenter","3","62520","fullscreenenter","","","","","","","","","","","",""
"fullscreen","3","63500","0.0-3.0","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","","","","","","","","true","","","","","","","","",""
"instructions","4","80123","0.0-5.0","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","[{""page_index"":0,""viewing_time"":7489},{""page_index"":1,""viewing_time"":6389},{""page_index"":2,""viewing_time"":2745}]","16623","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","89167","0.0-6.0-0.0-0.0","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","9043","","","","blurwarn","1","","","","49","","","","","","",""
"html-keyboard-response","6","89918","0.0-6.0-1.0","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","7","93831","0.0-6.0-2.0","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","3912","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$80<br>for<br>Medina B</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$33<br>for<br>yourself","$80<br>for<br>2","0","33","80","2","OTHER"
"html-keyboard-response","8","94084","0.0-6.0-3.0","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>Medina B</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$33<br>for<br>yourself","$80<br>for<br>2","0","33","80","2",""
"html-keyboard-response","9","94586","0.0-6.0-1.1","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","10","97899","0.0-6.0-2.1","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","3312","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$60<br>for<br>Barry J</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br>for<br>yourself","$60<br>for<br>3","0","25","60","3","OTHER"
"html-keyboard-response","11","98152","0.0-6.0-3.1","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$60<br>for<br>Barry J</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br>for<br>yourself","$60<br>for<br>3","0","25","60","3",""
"html-keyboard-response","12","98653","0.0-6.0-1.2","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","13","101580","0.0-6.0-2.2","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","2926","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>for<br>Barry J</div></div><div class='cr'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$41<br>for<br>yourself","$75<br>for<br>3","1","41","75","3","OTHER"
"html-keyboard-response","14","101832","0.0-6.0-3.2","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$75<br>for<br>Barry J</font></div></div><div class='cr'><div class='vertical-center'>$41<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$41<br>for<br>yourself","$75<br>for<br>3","1","41","75","3",""
"html-keyboard-response","15","102333","0.0-6.0-1.3","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","16","105489","0.0-6.0-2.3","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","3155","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>Barry J</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$24<br>for<br>yourself","$35<br>for<br>3","0","24","35","3","SELF"
"html-keyboard-response","17","105741","0.0-6.0-3.3","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$24<br>for<br>yourself</font></div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>Barry J</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$24<br>for<br>yourself","$35<br>for<br>3","0","24","35","3",""
"html-keyboard-response","18","106243","0.0-6.0-1.4","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","19","107503","0.0-6.0-2.4","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","1260","","","","offer","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>for<br>Barry J</div></div><div class='cr'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br>for<br>yourself","$80<br>for<br>3","1","54","80","3","OTHER"
"html-keyboard-response","20","107755","0.0-6.0-3.4","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","null","","","","offerFB","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>for<br>Barry J</font></div></div><div class='cr'><div class='vertical-center'>$54<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br>for<br>yourself","$80<br>for<br>3","1","54","80","3",""
"html-keyboard-response","21","108256","0.0-6.0-1.5","640415971520c41606ca4389","bdp_sd","Sat Mar 25 2023 22:48:33 GMT-0400 (Eastern Daylight Time)","167088","","null","","","","FIX","","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
