"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","responses","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"focus","0","0","focusevent","lempert4","bdp_sd","Fri Feb 24 2023 10:16:54 GMT-0500 (Eastern Standard Time)","405185","","","","","","","","","","","","","","","","",""
"","","","","lempert4","bdp_sd","Fri Feb 24 2023 10:16:54 GMT-0500 (Eastern Standard Time)","405185","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","",""
"","","","","lempert4","bdp_sd","Fri Feb 24 2023 10:16:54 GMT-0500 (Eastern Standard Time)","405185","instructions","1","5317","0.0-1.0","[{""page_index"":0,""viewing_time"":5315}]","5315","","","","","","","","","","",""
"","","","","lempert4","bdp_sd","Fri Feb 24 2023 10:16:54 GMT-0500 (Eastern Standard Time)","405185","survey-text","2","233127","0.0-2.0","","227806","{""Q0"":""Lauren D"",""Q1"":""Jane R"",""Q2"":""Ben M"",""Q3"":""Alex R"",""Q4"":""Angela M""}","","","","","","","","","",""
"fullscreenexit","3","236542","fullscreenexit","lempert4","bdp_sd","Fri Feb 24 2023 10:16:54 GMT-0500 (Eastern Standard Time)","405185","","","","","","","","","","","","","","","","",""
"","","","","lempert4","bdp_sd","Fri Feb 24 2023 10:16:54 GMT-0500 (Eastern Standard Time)","405185","fullscreen","3","237531","0.0-3.0","","","","true","","","","","","","","",""
"","","","fullscreenfail","lempert4","bdp_sd","Fri Feb 24 2023 10:16:54 GMT-0500 (Eastern Standard Time)","405185","image-keyboard-response","4","239802","0.0-4.0-0.0","","2268","","","","32","","","","","","",""
"","","","","lempert4","bdp_sd","Fri Feb 24 2023 10:16:54 GMT-0500 (Eastern Standard Time)","405185","instructions","5","278698","0.0-5.0","[{""page_index"":0,""viewing_time"":6687},{""page_index"":1,""viewing_time"":22223},{""page_index"":2,""viewing_time"":9731}]","38641","","","","","","","","","","",""
"","","","FIX","lempert4","bdp_sd","Fri Feb 24 2023 10:16:54 GMT-0500 (Eastern Standard Time)","405185","html-keyboard-response","6","279202","0.0-6.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","lempert4","bdp_sd","Fri Feb 24 2023 10:16:54 GMT-0500 (Eastern Standard Time)","405185","html-keyboard-response","7","282227","0.0-6.0-2.0","","3024","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$35<br>for<br>Jane R</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$15<br>for<br>yourself","$35<br>for<br>2","0","15","35","2","OTHER"
"","","","offer","lempert4","bdp_sd","Fri Feb 24 2023 10:16:54 GMT-0500 (Eastern Standard Time)","405185","html-keyboard-response","8","282482","0.0-6.0-3.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$35<br>for<br>Jane R</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$15<br>for<br>yourself","$35<br>for<br>2","0","15","35","2",""
"","","","FIX","lempert4","bdp_sd","Fri Feb 24 2023 10:16:54 GMT-0500 (Eastern Standard Time)","405185","html-keyboard-response","9","282985","0.0-6.0-1.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","lempert4","bdp_sd","Fri Feb 24 2023 10:16:54 GMT-0500 (Eastern Standard Time)","405185","html-keyboard-response","10","286289","0.0-6.0-2.1","","3303","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>for<br>Ben M</div></div><div class='cr'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$24<br>for<br>yourself","$35<br>for<br>3","1","24","35","3","OTHER"
"","","","offer","lempert4","bdp_sd","Fri Feb 24 2023 10:16:54 GMT-0500 (Eastern Standard Time)","405185","html-keyboard-response","11","286543","0.0-6.0-3.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$35<br>for<br>Ben M</font></div></div><div class='cr'><div class='vertical-center'>$24<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$24<br>for<br>yourself","$35<br>for<br>3","1","24","35","3",""
"","","","FIX","lempert4","bdp_sd","Fri Feb 24 2023 10:16:54 GMT-0500 (Eastern Standard Time)","405185","html-keyboard-response","12","287048","0.0-6.0-1.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","lempert4","bdp_sd","Fri Feb 24 2023 10:16:54 GMT-0500 (Eastern Standard Time)","405185","html-keyboard-response","13","292629","0.0-6.0-2.2","","5581","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>for<br>Angela M</div></div><div class='cr'><div class='vertical-center'>$47<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$47<br>for<br>yourself","$50<br>for<br>5","1","47","50","5","OTHER"
