"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","responses","event","trial","time","trialtype","success","stimulus","key_press","selfOffer","otherOffer","otherLeft","selfAmt","otherAmt","otherDist","chosen"
"pavlovia","0","4","0.0-0.0","sconelab3","bdp_sd","Wed Feb 22 2023 13:33:51 GMT-0500 (Eastern Standard Time)","169185","","","","","","","","","","","","","","","","",""
"instructions","1","3243","0.0-1.0","sconelab3","bdp_sd","Wed Feb 22 2023 13:33:51 GMT-0500 (Eastern Standard Time)","169185","[{""page_index"":0,""viewing_time"":3238}]","3239","","","","","","","","","","","","","","",""
"survey-text","2","55287","0.0-2.0","sconelab3","bdp_sd","Wed Feb 22 2023 13:33:51 GMT-0500 (Eastern Standard Time)","169185","","52043","{""Q0"":""CV"",""Q1"":""JV"",""Q2"":""GB"",""Q3"":""VF"",""Q4"":""JM""}","","","","","","","","","","","","","",""
"","","","","sconelab3","bdp_sd","Wed Feb 22 2023 13:33:51 GMT-0500 (Eastern Standard Time)","169185","","","","fullscreenenter","3","56590","fullscreenenter","","","","","","","","","",""
"fullscreen","3","57585","0.0-3.0","sconelab3","bdp_sd","Wed Feb 22 2023 13:33:51 GMT-0500 (Eastern Standard Time)","169185","","","","","","","","true","","","","","","","","",""
"instructions","4","94289","0.0-5.0","sconelab3","bdp_sd","Wed Feb 22 2023 13:33:51 GMT-0500 (Eastern Standard Time)","169185","[{""page_index"":0,""viewing_time"":8441},{""page_index"":1,""viewing_time"":3337},{""page_index"":0,""viewing_time"":11377},{""page_index"":1,""viewing_time"":9731},{""page_index"":2,""viewing_time"":3814}]","36701","","","","","","","","","","","","","","",""
"html-keyboard-response","5","94792","0.0-6.0-1.0","sconelab3","bdp_sd","Wed Feb 22 2023 13:33:51 GMT-0500 (Eastern Standard Time)","169185","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","6","98282","0.0-6.0-2.0","sconelab3","bdp_sd","Wed Feb 22 2023 13:33:51 GMT-0500 (Eastern Standard Time)","169185","","3487","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>for<br>VF</div></div><div class='cr'><div class='vertical-center'>$69<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$69<br>for<br>yourself","$85<br>for<br>4","1","69","85","4","OTHER"
"html-keyboard-response","7","98545","0.0-6.0-3.0","sconelab3","bdp_sd","Wed Feb 22 2023 13:33:51 GMT-0500 (Eastern Standard Time)","169185","","null","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$85<br>for<br>VF</font></div></div><div class='cr'><div class='vertical-center'>$69<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$69<br>for<br>yourself","$85<br>for<br>4","1","69","85","4",""
"html-keyboard-response","8","99056","0.0-6.0-1.1","sconelab3","bdp_sd","Wed Feb 22 2023 13:33:51 GMT-0500 (Eastern Standard Time)","169185","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","9","101409","0.0-6.0-2.1","sconelab3","bdp_sd","Wed Feb 22 2023 13:33:51 GMT-0500 (Eastern Standard Time)","169185","","2350","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'>$85<br>for<br>CV</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$31<br>for<br>yourself","$85<br>for<br>1","0","31","85","1","OTHER"
"html-keyboard-response","10","101670","0.0-6.0-3.1","sconelab3","bdp_sd","Wed Feb 22 2023 13:33:51 GMT-0500 (Eastern Standard Time)","169185","","null","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br>for<br>yourself</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$85<br>for<br>CV</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$31<br>for<br>yourself","$85<br>for<br>1","0","31","85","1",""
"html-keyboard-response","11","102176","0.0-6.0-1.2","sconelab3","bdp_sd","Wed Feb 22 2023 13:33:51 GMT-0500 (Eastern Standard Time)","169185","","null","","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","12","105135","0.0-6.0-2.2","sconelab3","bdp_sd","Wed Feb 22 2023 13:33:51 GMT-0500 (Eastern Standard Time)","169185","","2956","","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>for<br>GB</div></div><div class='cr'><div class='vertical-center'>$14<br>for<br>yourself</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$14<br>for<br>yourself","$25<br>for<br>3","1","14","25","3","OTHER"
