"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","2","0.0-0.0","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","","","","","","","","","","","","","","",""
"instructions","1","14119","0.0-1.0","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","[{""page_index"":0,""viewing_time"":14117}]","14117","","","","","","","","","","","","","",""
"","","","","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","","fullscreenenter","2","16195","fullscreenenter","","","","","","","","","",""
"fullscreen","2","17189","0.0-2.0","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","","","","","","true","","","","","","","","",""
"instructions","3","158149","0.0-4.0","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","[{""page_index"":0,""viewing_time"":8903},{""page_index"":1,""viewing_time"":130396},{""page_index"":2,""viewing_time"":1659}]","140958","","","","","","","","","","","","","",""
"html-keyboard-response","4","158653","0.0-5.0-1.0","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","159816","0.0-5.0-2.0","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","1160","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$49<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$49<br><br>now","$60<br>in<br>6 weeks","1","49","60","6","THEN"
"html-keyboard-response","6","160069","0.0-5.0-3.0","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$60<br>in<br>6 weeks</font></div></div><div class='cr'><div class='vertical-center'>$49<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$49<br><br>now","$60<br>in<br>6 weeks","1","49","60","6",""
"html-keyboard-response","7","160571","0.0-5.0-1.1","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","161367","0.0-5.0-2.1","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","795","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>2 weeks</div></div><div class='cr'><div class='vertical-center'>$15<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$15<br><br>now","$35<br>in<br>2 weeks","1","15","35","2","THEN"
"html-keyboard-response","9","161620","0.0-5.0-3.1","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$35<br>in<br>2 weeks</font></div></div><div class='cr'><div class='vertical-center'>$15<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$15<br><br>now","$35<br>in<br>2 weeks","1","15","35","2",""
"html-keyboard-response","10","162122","0.0-5.0-1.2","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","11","162772","0.0-5.0-2.2","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","649","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br><br>now</div></div><div class='cr'><div class='vertical-center'>$85<br>in<br>1 week</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$31<br><br>now","$85<br>in<br>1 week","0","31","85","1","THEN"
"html-keyboard-response","12","163023","0.0-5.0-3.2","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$31<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$85<br>in<br>1 week</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$31<br><br>now","$85<br>in<br>1 week","0","31","85","1",""
"html-keyboard-response","13","163526","0.0-5.0-1.3","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","14","164304","0.0-5.0-2.3","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","777","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$34<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$34<br><br>now","$35<br>in<br>12 weeks","1","34","35","12","THEN"
"html-keyboard-response","15","164557","0.0-5.0-3.3","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$35<br>in<br>12 weeks</font></div></div><div class='cr'><div class='vertical-center'>$34<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$34<br><br>now","$35<br>in<br>12 weeks","1","34","35","12",""
"html-keyboard-response","16","165058","0.0-5.0-1.4","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","17","166141","0.0-5.0-2.4","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","1082","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'>$30<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br><br>now","$30<br>in<br>6 weeks","0","25","30","6","THEN"
"html-keyboard-response","18","166394","0.0-5.0-3.4","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$30<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br><br>now","$30<br>in<br>6 weeks","0","25","30","6",""
"html-keyboard-response","19","166896","0.0-5.0-1.5","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","20","167788","0.0-5.0-2.5","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","890","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$19<br><br>now","$25<br>in<br>6 weeks","0","19","25","6","THEN"
"html-keyboard-response","21","168041","0.0-5.0-3.5","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$19<br><br>now","$25<br>in<br>6 weeks","0","19","25","6",""
"html-keyboard-response","22","168544","0.0-5.0-1.6","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","23","169275","0.0-5.0-2.6","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","729","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br><br>now</div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$27<br><br>now","$50<br>in<br>3 weeks","0","27","50","3","THEN"
"html-keyboard-response","24","169527","0.0-5.0-3.6","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>in<br>3 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$27<br><br>now","$50<br>in<br>3 weeks","0","27","50","3",""
"html-keyboard-response","25","170029","0.0-5.0-1.7","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","26","171098","0.0-5.0-2.7","570fa921f895a7000f38ca6f","bdp_td","Tue Mar 28 2023 23:24:38 GMT-0400 (Eastern Daylight Time)","207886","","1067","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br><br>now</div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br><br>now","$55<br>in<br>12 weeks","0","54","55","12","NOW"
