"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"focus","0","0","focusevent","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","","","","","","","","","","","","","","","","",""
"","","","","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","",""
"blur","1","4019","blurevent","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","","","","","1","","","","","","","","","","","",""
"focus","1","230000","focusevent","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","","","","","","","","","","","","","","","","",""
"","","","","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","instructions","1","231660","0.0-1.0","","[{""page_index"":0,""viewing_time"":231657}]","231657","","","","","","","","","",""
"fullscreenexit","2","233650","fullscreenexit","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","","","","","","","","","","","","","","","","",""
"","","","","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","fullscreen","2","234449","0.0-2.0","","","","true","","","","","","","","",""
"","","","fullscreenfail","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","image-keyboard-response","3","235829","0.0-3.0-0.0","","","1378","","","32","","","","","","",""
"","","","","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","instructions","4","256972","0.0-4.0","","[{""page_index"":0,""viewing_time"":7005},{""page_index"":1,""viewing_time"":7648},{""page_index"":2,""viewing_time"":6240}]","20893","","","","","","","","","",""
"","","","blurwarn","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","image-keyboard-response","5","265905","0.0-5.0-0.0-0.0","1","","8932","","","49","","","","","","",""
"","","","FIX","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","6","266677","0.0-5.0-1.0","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","7","269304","0.0-5.0-2.0","","","2626","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$22<br><br>now","$25<br>in<br>12 weeks","0","22","25","12","NOW"
"","","","offerFB","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","8","269555","0.0-5.0-3.0","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$22<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$22<br><br>now","$25<br>in<br>12 weeks","0","22","25","12",""
"","","","FIX","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","9","270062","0.0-5.0-1.1","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","10","272130","0.0-5.0-2.1","","","2068","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>2 weeks</div></div><div class='cr'><div class='vertical-center'>$15<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$15<br><br>now","$35<br>in<br>2 weeks","1","15","35","2","THEN"
"","","","offerFB","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","11","272387","0.0-5.0-3.1","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$35<br>in<br>2 weeks</font></div></div><div class='cr'><div class='vertical-center'>$15<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$15<br><br>now","$35<br>in<br>2 weeks","1","15","35","2",""
"","","","FIX","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","12","272894","0.0-5.0-1.2","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","5bb94dea3ea7ed00017cb109","bdp_td","Sat Mar 25 2023 19:39:02 GMT-0400 (Eastern Daylight Time)","339119","html-keyboard-response","13","274076","0.0-5.0-2.2","","","1182","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$25<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br><br>now","$30<br>in<br>6 weeks","1","25","30","6","NOW"
