"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","2","0.0-0.0","5bfb5784a66aa500019dabef","bdp_td","Sun Apr 09 2023 18:43:31 GMT-0500 (Central Daylight Time)","93615","","","","","","","","","","","","","","","",""
"instructions","1","2402","0.0-1.0","5bfb5784a66aa500019dabef","bdp_td","Sun Apr 09 2023 18:43:31 GMT-0500 (Central Daylight Time)","93615","[{""page_index"":0,""viewing_time"":2400}]","2400","","","","","","","","","","","","","",""
"","","","","5bfb5784a66aa500019dabef","bdp_td","Sun Apr 09 2023 18:43:31 GMT-0500 (Central Daylight Time)","93615","","","fullscreenenter","2","6024","fullscreenenter","","","","","","","","","",""
"fullscreen","2","7011","0.0-2.0","5bfb5784a66aa500019dabef","bdp_td","Sun Apr 09 2023 18:43:31 GMT-0500 (Central Daylight Time)","93615","","","","","","","true","","","","","","","","",""
"instructions","3","40131","0.0-4.0","5bfb5784a66aa500019dabef","bdp_td","Sun Apr 09 2023 18:43:31 GMT-0500 (Central Daylight Time)","93615","[{""page_index"":0,""viewing_time"":13927},{""page_index"":1,""viewing_time"":12720},{""page_index"":2,""viewing_time"":6472}]","33119","","","","","","","","","","","","","",""
"html-keyboard-response","4","40632","0.0-5.0-1.0","5bfb5784a66aa500019dabef","bdp_td","Sun Apr 09 2023 18:43:31 GMT-0500 (Central Daylight Time)","93615","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","42483","0.0-5.0-2.0","5bfb5784a66aa500019dabef","bdp_td","Sun Apr 09 2023 18:43:31 GMT-0500 (Central Daylight Time)","93615","","1851","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$14<br><br>now","$25<br>in<br>3 weeks","0","14","25","3","THEN"
"html-keyboard-response","6","42736","0.0-5.0-3.0","5bfb5784a66aa500019dabef","bdp_td","Sun Apr 09 2023 18:43:31 GMT-0500 (Central Daylight Time)","93615","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br>in<br>3 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$14<br><br>now","$25<br>in<br>3 weeks","0","14","25","3",""
"html-keyboard-response","7","43237","0.0-5.0-1.1","5bfb5784a66aa500019dabef","bdp_td","Sun Apr 09 2023 18:43:31 GMT-0500 (Central Daylight Time)","93615","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","44619","0.0-5.0-2.1","5bfb5784a66aa500019dabef","bdp_td","Sun Apr 09 2023 18:43:31 GMT-0500 (Central Daylight Time)","93615","","1381","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br><br>now</div></div><div class='cr'><div class='vertical-center'>$75<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$41<br><br>now","$75<br>in<br>3 weeks","0","41","75","3","THEN"
"html-keyboard-response","9","44870","0.0-5.0-3.1","5bfb5784a66aa500019dabef","bdp_td","Sun Apr 09 2023 18:43:31 GMT-0500 (Central Daylight Time)","93615","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$41<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$75<br>in<br>3 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$41<br><br>now","$75<br>in<br>3 weeks","0","41","75","3",""
"html-keyboard-response","10","45371","0.0-5.0-1.2","5bfb5784a66aa500019dabef","bdp_td","Sun Apr 09 2023 18:43:31 GMT-0500 (Central Daylight Time)","93615","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","11","46386","0.0-5.0-2.2","5bfb5784a66aa500019dabef","bdp_td","Sun Apr 09 2023 18:43:31 GMT-0500 (Central Daylight Time)","93615","","1015","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$15<br><br>now</div></div><div class='cr'><div class='vertical-center'>$35<br>in<br>2 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$15<br><br>now","$35<br>in<br>2 weeks","0","15","35","2","THEN"
