"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","4","0.0-0.0","5c3161130cfe9a00012f71ff","bdp_td","Fri Mar 24 2023 23:16:03 GMT-0400 (Eastern Daylight Time)","103550","","","","","","","","","","","","","","","",""
"instructions","1","2484","0.0-1.0","5c3161130cfe9a00012f71ff","bdp_td","Fri Mar 24 2023 23:16:03 GMT-0400 (Eastern Daylight Time)","103550","[{""page_index"":0,""viewing_time"":2480}]","2480","","","","","","","","","","","","","",""
"","","","","5c3161130cfe9a00012f71ff","bdp_td","Fri Mar 24 2023 23:16:03 GMT-0400 (Eastern Daylight Time)","103550","","","fullscreenenter","2","4924","fullscreenenter","","","","","","","","","",""
"fullscreen","2","5906","0.0-2.0","5c3161130cfe9a00012f71ff","bdp_td","Fri Mar 24 2023 23:16:03 GMT-0400 (Eastern Daylight Time)","103550","","","","","","","true","","","","","","","","",""
"instructions","3","23635","0.0-4.0","5c3161130cfe9a00012f71ff","bdp_td","Fri Mar 24 2023 23:16:03 GMT-0400 (Eastern Daylight Time)","103550","[{""page_index"":0,""viewing_time"":13974},{""page_index"":1,""viewing_time"":2282},{""page_index"":2,""viewing_time"":1470}]","17726","","","","","","","","","","","","","",""
"html-keyboard-response","4","24139","0.0-5.0-1.0","5c3161130cfe9a00012f71ff","bdp_td","Fri Mar 24 2023 23:16:03 GMT-0400 (Eastern Daylight Time)","103550","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","28246","0.0-5.0-2.0","5c3161130cfe9a00012f71ff","bdp_td","Fri Mar 24 2023 23:16:03 GMT-0400 (Eastern Daylight Time)","103550","","4105","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$41<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$41<br><br>now","$75<br>in<br>3 weeks","1","41","75","3","THEN"
"html-keyboard-response","6","28501","0.0-5.0-3.0","5c3161130cfe9a00012f71ff","bdp_td","Fri Mar 24 2023 23:16:03 GMT-0400 (Eastern Daylight Time)","103550","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$75<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$41<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$41<br><br>now","$75<br>in<br>3 weeks","1","41","75","3",""
"html-keyboard-response","7","29003","0.0-5.0-1.1","5c3161130cfe9a00012f71ff","bdp_td","Fri Mar 24 2023 23:16:03 GMT-0400 (Eastern Daylight Time)","103550","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","33712","0.0-5.0-2.1","5c3161130cfe9a00012f71ff","bdp_td","Fri Mar 24 2023 23:16:03 GMT-0400 (Eastern Daylight Time)","103550","","4706","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$19<br><br>now","$25<br>in<br>6 weeks","0","19","25","6","THEN"
