"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","8","0.0-0.0","5ec0d47ecf12be4ea2754516","bdp_td","Sun Mar 26 2023 23:17:06 GMT-0500 (Central Daylight Time)","188781","","","","","","","","","","","","","","","",""
"instructions","1","37684","0.0-1.0","5ec0d47ecf12be4ea2754516","bdp_td","Sun Mar 26 2023 23:17:06 GMT-0500 (Central Daylight Time)","188781","[{""page_index"":0,""viewing_time"":37675}]","37675","","","","","","","","","","","","","",""
"","","","","5ec0d47ecf12be4ea2754516","bdp_td","Sun Mar 26 2023 23:17:06 GMT-0500 (Central Daylight Time)","188781","","","fullscreenenter","2","40232","fullscreenenter","","","","","","","","","",""
"fullscreen","2","41223","0.0-2.0","5ec0d47ecf12be4ea2754516","bdp_td","Sun Mar 26 2023 23:17:06 GMT-0500 (Central Daylight Time)","188781","","","","","","","true","","","","","","","","",""
"instructions","3","117602","0.0-4.0","5ec0d47ecf12be4ea2754516","bdp_td","Sun Mar 26 2023 23:17:06 GMT-0500 (Central Daylight Time)","188781","[{""page_index"":0,""viewing_time"":10452},{""page_index"":1,""viewing_time"":40123},{""page_index"":2,""viewing_time"":21712},{""page_index"":1,""viewing_time"":3702},{""page_index"":2,""viewing_time"":387}]","76377","","","","","","","","","","","","","",""
"html-keyboard-response","4","118105","0.0-5.0-1.0","5ec0d47ecf12be4ea2754516","bdp_td","Sun Mar 26 2023 23:17:06 GMT-0500 (Central Daylight Time)","188781","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","121469","0.0-5.0-2.0","5ec0d47ecf12be4ea2754516","bdp_td","Sun Mar 26 2023 23:17:06 GMT-0500 (Central Daylight Time)","188781","","3362","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$69<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$69<br><br>now","$85<br>in<br>6 weeks","1","69","85","6","NOW"
"html-keyboard-response","6","121723","0.0-5.0-3.0","5ec0d47ecf12be4ea2754516","bdp_td","Sun Mar 26 2023 23:17:06 GMT-0500 (Central Daylight Time)","188781","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$69<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$69<br><br>now","$85<br>in<br>6 weeks","1","69","85","6",""
"html-keyboard-response","7","122227","0.0-5.0-1.1","5ec0d47ecf12be4ea2754516","bdp_td","Sun Mar 26 2023 23:17:06 GMT-0500 (Central Daylight Time)","188781","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","125321","0.0-5.0-2.1","5ec0d47ecf12be4ea2754516","bdp_td","Sun Mar 26 2023 23:17:06 GMT-0500 (Central Daylight Time)","188781","","3092","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br><br>now</div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>1 week</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$20<br><br>now","$55<br>in<br>1 week","0","20","55","1","NOW"
"html-keyboard-response","9","125574","0.0-5.0-3.1","5ec0d47ecf12be4ea2754516","bdp_td","Sun Mar 26 2023 23:17:06 GMT-0500 (Central Daylight Time)","188781","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$20<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>1 week</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$20<br><br>now","$55<br>in<br>1 week","0","20","55","1",""
"html-keyboard-response","10","126077","0.0-5.0-1.2","5ec0d47ecf12be4ea2754516","bdp_td","Sun Mar 26 2023 23:17:06 GMT-0500 (Central Daylight Time)","188781","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","11","127678","0.0-5.0-2.2","5ec0d47ecf12be4ea2754516","bdp_td","Sun Mar 26 2023 23:17:06 GMT-0500 (Central Daylight Time)","188781","","1599","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$47<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$47<br><br>now","$50<br>in<br>12 weeks","1","47","50","12","NOW"
"html-keyboard-response","12","127931","0.0-5.0-3.2","5ec0d47ecf12be4ea2754516","bdp_td","Sun Mar 26 2023 23:17:06 GMT-0500 (Central Daylight Time)","188781","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$47<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$47<br><br>now","$50<br>in<br>12 weeks","1","47","50","12",""
