"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","10","0.0-0.0","5ede9b80b8a141131edabbe1","bdp_td","Wed Mar 29 2023 19:54:28 GMT-0700 (Pacific Daylight Time)","112010","","","","","","","","","","","","","","","",""
"instructions","1","2469","0.0-1.0","5ede9b80b8a141131edabbe1","bdp_td","Wed Mar 29 2023 19:54:28 GMT-0700 (Pacific Daylight Time)","112010","[{""page_index"":0,""viewing_time"":2457}]","2458","","","","","","","","","","","","","",""
"","","","","5ede9b80b8a141131edabbe1","bdp_td","Wed Mar 29 2023 19:54:28 GMT-0700 (Pacific Daylight Time)","112010","","","fullscreenenter","2","5789","fullscreenenter","","","","","","","","","",""
"fullscreen","2","6748","0.0-2.0","5ede9b80b8a141131edabbe1","bdp_td","Wed Mar 29 2023 19:54:28 GMT-0700 (Pacific Daylight Time)","112010","","","","","","","true","","","","","","","","",""
"instructions","3","50239","0.0-4.0","5ede9b80b8a141131edabbe1","bdp_td","Wed Mar 29 2023 19:54:28 GMT-0700 (Pacific Daylight Time)","112010","[{""page_index"":0,""viewing_time"":8743},{""page_index"":1,""viewing_time"":28420},{""page_index"":2,""viewing_time"":6324}]","43488","","","","","","","","","","","","","",""
"html-keyboard-response","4","50748","0.0-5.0-1.0","5ede9b80b8a141131edabbe1","bdp_td","Wed Mar 29 2023 19:54:28 GMT-0700 (Pacific Daylight Time)","112010","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","52172","0.0-5.0-2.0","5ede9b80b8a141131edabbe1","bdp_td","Wed Mar 29 2023 19:54:28 GMT-0700 (Pacific Daylight Time)","112010","","1419","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$47<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$47<br><br>now","$50<br>in<br>12 weeks","1","47","50","12","NOW"
"html-keyboard-response","6","52456","0.0-5.0-3.0","5ede9b80b8a141131edabbe1","bdp_td","Wed Mar 29 2023 19:54:28 GMT-0700 (Pacific Daylight Time)","112010","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$47<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$47<br><br>now","$50<br>in<br>12 weeks","1","47","50","12",""
"html-keyboard-response","7","52961","0.0-5.0-1.1","5ede9b80b8a141131edabbe1","bdp_td","Wed Mar 29 2023 19:54:28 GMT-0700 (Pacific Daylight Time)","112010","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","54710","0.0-5.0-2.1","5ede9b80b8a141131edabbe1","bdp_td","Wed Mar 29 2023 19:54:28 GMT-0700 (Pacific Daylight Time)","112010","","1745","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$41<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$41<br><br>now","$75<br>in<br>3 weeks","1","41","75","3","THEN"
"html-keyboard-response","9","54965","0.0-5.0-3.1","5ede9b80b8a141131edabbe1","bdp_td","Wed Mar 29 2023 19:54:28 GMT-0700 (Pacific Daylight Time)","112010","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$75<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$41<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$41<br><br>now","$75<br>in<br>3 weeks","1","41","75","3",""
"html-keyboard-response","10","55469","0.0-5.0-1.2","5ede9b80b8a141131edabbe1","bdp_td","Wed Mar 29 2023 19:54:28 GMT-0700 (Pacific Daylight Time)","112010","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","11","56678","0.0-5.0-2.2","5ede9b80b8a141131edabbe1","bdp_td","Wed Mar 29 2023 19:54:28 GMT-0700 (Pacific Daylight Time)","112010","","1205","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$80<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$80<br><br>now","$85<br>in<br>12 weeks","1","80","85","12","NOW"
"html-keyboard-response","12","56933","0.0-5.0-3.2","5ede9b80b8a141131edabbe1","bdp_td","Wed Mar 29 2023 19:54:28 GMT-0700 (Pacific Daylight Time)","112010","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$80<br><br>now","$85<br>in<br>12 weeks","1","80","85","12",""
"html-keyboard-response","13","57437","0.0-5.0-1.3","5ede9b80b8a141131edabbe1","bdp_td","Wed Mar 29 2023 19:54:28 GMT-0700 (Pacific Daylight Time)","112010","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
