"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","2","0.0-0.0","608590825d295c858cbe7fa9","bdp_td","Sun Mar 26 2023 15:03:54 GMT-0700 (Pacific Daylight Time)","93361","","","","","","","","","","","","","","","",""
"instructions","1","1315","0.0-1.0","608590825d295c858cbe7fa9","bdp_td","Sun Mar 26 2023 15:03:54 GMT-0700 (Pacific Daylight Time)","93361","[{""page_index"":0,""viewing_time"":1312}]","1312","","","","","","","","","","","","","",""
"","","","","608590825d295c858cbe7fa9","bdp_td","Sun Mar 26 2023 15:03:54 GMT-0700 (Pacific Daylight Time)","93361","","","fullscreenenter","2","3143","fullscreenenter","","","","","","","","","",""
"fullscreen","2","4143","0.0-2.0","608590825d295c858cbe7fa9","bdp_td","Sun Mar 26 2023 15:03:54 GMT-0700 (Pacific Daylight Time)","93361","","","","","","","true","","","","","","","","",""
"instructions","3","22876","0.0-4.0","608590825d295c858cbe7fa9","bdp_td","Sun Mar 26 2023 15:03:54 GMT-0700 (Pacific Daylight Time)","93361","[{""page_index"":0,""viewing_time"":6116},{""page_index"":1,""viewing_time"":6745},{""page_index"":2,""viewing_time"":5872}]","18733","","","","","","","","","","","","","",""
"html-keyboard-response","4","23382","0.0-5.0-1.0","608590825d295c858cbe7fa9","bdp_td","Sun Mar 26 2023 15:03:54 GMT-0700 (Pacific Daylight Time)","93361","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","26293","0.0-5.0-2.0","608590825d295c858cbe7fa9","bdp_td","Sun Mar 26 2023 15:03:54 GMT-0700 (Pacific Daylight Time)","93361","","2910","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6","NOW"
"html-keyboard-response","6","26551","0.0-5.0-3.0","608590825d295c858cbe7fa9","bdp_td","Sun Mar 26 2023 15:03:54 GMT-0700 (Pacific Daylight Time)","93361","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$34<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6",""
"html-keyboard-response","7","27056","0.0-5.0-1.1","608590825d295c858cbe7fa9","bdp_td","Sun Mar 26 2023 15:03:54 GMT-0700 (Pacific Daylight Time)","93361","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","28487","0.0-5.0-2.1","608590825d295c858cbe7fa9","bdp_td","Sun Mar 26 2023 15:03:54 GMT-0700 (Pacific Daylight Time)","93361","","1431","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br><br>now</div></div><div class='cr'><div class='vertical-center'>$80<br>in<br>2 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$33<br><br>now","$80<br>in<br>2 weeks","0","33","80","2","THEN"
"html-keyboard-response","9","28741","0.0-5.0-3.1","608590825d295c858cbe7fa9","bdp_td","Sun Mar 26 2023 15:03:54 GMT-0700 (Pacific Daylight Time)","93361","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$33<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br>in<br>2 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$33<br><br>now","$80<br>in<br>2 weeks","0","33","80","2",""
"html-keyboard-response","10","29248","0.0-5.0-1.2","608590825d295c858cbe7fa9","bdp_td","Sun Mar 26 2023 15:03:54 GMT-0700 (Pacific Daylight Time)","93361","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","11","32452","0.0-5.0-2.2","608590825d295c858cbe7fa9","bdp_td","Sun Mar 26 2023 15:03:54 GMT-0700 (Pacific Daylight Time)","93361","","3203","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$49<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$49<br><br>now","$60<br>in<br>6 weeks","1","49","60","6","THEN"
"html-keyboard-response","12","32710","0.0-5.0-3.2","608590825d295c858cbe7fa9","bdp_td","Sun Mar 26 2023 15:03:54 GMT-0700 (Pacific Daylight Time)","93361","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$60<br>in<br>6 weeks</font></div></div><div class='cr'><div class='vertical-center'>$49<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$49<br><br>now","$60<br>in<br>6 weeks","1","49","60","6",""
"html-keyboard-response","13","33214","0.0-5.0-1.3","608590825d295c858cbe7fa9","bdp_td","Sun Mar 26 2023 15:03:54 GMT-0700 (Pacific Daylight Time)","93361","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","14","34769","0.0-5.0-2.3","608590825d295c858cbe7fa9","bdp_td","Sun Mar 26 2023 15:03:54 GMT-0700 (Pacific Daylight Time)","93361","","1554","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$25<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$25<br><br>now","$30<br>in<br>6 weeks","1","25","30","6","NOW"
"html-keyboard-response","15","35033","0.0-5.0-3.3","608590825d295c858cbe7fa9","bdp_td","Sun Mar 26 2023 15:03:54 GMT-0700 (Pacific Daylight Time)","93361","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$25<br><br>now","$30<br>in<br>6 weeks","1","25","30","6",""
"html-keyboard-response","16","35545","0.0-5.0-1.4","608590825d295c858cbe7fa9","bdp_td","Sun Mar 26 2023 15:03:54 GMT-0700 (Pacific Daylight Time)","93361","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
