"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","2","0.0-0.0","60fcd2b146529d02f1566012","bdp_td","Fri Mar 24 2023 23:16:48 GMT-0700 (Pacific Daylight Time)","103870","","","","","","","","","","","","","","","",""
"instructions","1","3616","0.0-1.0","60fcd2b146529d02f1566012","bdp_td","Fri Mar 24 2023 23:16:48 GMT-0700 (Pacific Daylight Time)","103870","[{""page_index"":0,""viewing_time"":3614}]","3614","","","","","","","","","","","","","",""
"","","","","60fcd2b146529d02f1566012","bdp_td","Fri Mar 24 2023 23:16:48 GMT-0700 (Pacific Daylight Time)","103870","","","fullscreenenter","2","6092","fullscreenenter","","","","","","","","","",""
"fullscreen","2","7062","0.0-2.0","60fcd2b146529d02f1566012","bdp_td","Fri Mar 24 2023 23:16:48 GMT-0700 (Pacific Daylight Time)","103870","","","","","","","true","","","","","","","","",""
"instructions","3","28012","0.0-4.0","60fcd2b146529d02f1566012","bdp_td","Fri Mar 24 2023 23:16:48 GMT-0700 (Pacific Daylight Time)","103870","[{""page_index"":0,""viewing_time"":5945},{""page_index"":1,""viewing_time"":10323},{""page_index"":2,""viewing_time"":4681}]","20949","","","","","","","","","","","","","",""
"html-keyboard-response","4","28515","0.0-5.0-1.0","60fcd2b146529d02f1566012","bdp_td","Fri Mar 24 2023 23:16:48 GMT-0700 (Pacific Daylight Time)","103870","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","30725","0.0-5.0-2.0","60fcd2b146529d02f1566012","bdp_td","Fri Mar 24 2023 23:16:48 GMT-0700 (Pacific Daylight Time)","103870","","2207","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$19<br><br>now","$25<br>in<br>6 weeks","0","19","25","6","THEN"
"html-keyboard-response","6","30978","0.0-5.0-3.0","60fcd2b146529d02f1566012","bdp_td","Fri Mar 24 2023 23:16:48 GMT-0700 (Pacific Daylight Time)","103870","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$25<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$19<br><br>now","$25<br>in<br>6 weeks","0","19","25","6",""
"html-keyboard-response","7","31481","0.0-5.0-1.1","60fcd2b146529d02f1566012","bdp_td","Fri Mar 24 2023 23:16:48 GMT-0700 (Pacific Daylight Time)","103870","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","33032","0.0-5.0-2.1","60fcd2b146529d02f1566012","bdp_td","Fri Mar 24 2023 23:16:48 GMT-0700 (Pacific Daylight Time)","103870","","1549","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$78<br><br>now</div></div><div class='cr'><div class='vertical-center'>$80<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$78<br><br>now","$80<br>in<br>12 weeks","0","78","80","12","NOW"
