"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","8","0.0-0.0","610063614e6ba35532307dda","bdp_td","Mon Mar 27 2023 14:45:10 GMT-0400 (Eastern Daylight Time)","125595","","","","","","","","","","","","","","","",""
"instructions","1","1845","0.0-1.0","610063614e6ba35532307dda","bdp_td","Mon Mar 27 2023 14:45:10 GMT-0400 (Eastern Daylight Time)","125595","[{""page_index"":0,""viewing_time"":1836}]","1836","","","","","","","","","","","","","",""
"","","","","610063614e6ba35532307dda","bdp_td","Mon Mar 27 2023 14:45:10 GMT-0400 (Eastern Daylight Time)","125595","","","fullscreenenter","2","4692","fullscreenenter","","","","","","","","","",""
"fullscreen","2","5686","0.0-2.0","610063614e6ba35532307dda","bdp_td","Mon Mar 27 2023 14:45:10 GMT-0400 (Eastern Daylight Time)","125595","","","","","","","true","","","","","","","","",""
"instructions","3","39723","0.0-4.0","610063614e6ba35532307dda","bdp_td","Mon Mar 27 2023 14:45:10 GMT-0400 (Eastern Daylight Time)","125595","[{""page_index"":0,""viewing_time"":22633},{""page_index"":1,""viewing_time"":5734},{""page_index"":2,""viewing_time"":5667}]","34034","","","","","","","","","","","","","",""
"html-keyboard-response","4","40225","0.0-5.0-1.0","610063614e6ba35532307dda","bdp_td","Mon Mar 27 2023 14:45:10 GMT-0400 (Eastern Daylight Time)","125595","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","44313","0.0-5.0-2.0","610063614e6ba35532307dda","bdp_td","Mon Mar 27 2023 14:45:10 GMT-0400 (Eastern Daylight Time)","125595","","4087","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>1 week</div></div><div class='cr'><div class='vertical-center'>$20<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$20<br><br>now","$55<br>in<br>1 week","1","20","55","1","THEN"
"html-keyboard-response","6","44566","0.0-5.0-3.0","610063614e6ba35532307dda","bdp_td","Mon Mar 27 2023 14:45:10 GMT-0400 (Eastern Daylight Time)","125595","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$55<br>in<br>1 week</font></div></div><div class='cr'><div class='vertical-center'>$20<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$20<br><br>now","$55<br>in<br>1 week","1","20","55","1",""
"html-keyboard-response","7","45071","0.0-5.0-1.1","610063614e6ba35532307dda","bdp_td","Mon Mar 27 2023 14:45:10 GMT-0400 (Eastern Daylight Time)","125595","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","46287","0.0-5.0-2.1","610063614e6ba35532307dda","bdp_td","Mon Mar 27 2023 14:45:10 GMT-0400 (Eastern Daylight Time)","125595","","1214","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$47<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$47<br><br>now","$50<br>in<br>12 weeks","1","47","50","12","NOW"
