"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","4","0.0-0.0","6108027a71236aa28a407666","bdp_td","Mon Mar 27 2023 20:50:02 GMT-0400 (Eastern Daylight Time)","147521","","","","","","","","","","","","","","","",""
"instructions","1","2747","0.0-1.0","6108027a71236aa28a407666","bdp_td","Mon Mar 27 2023 20:50:02 GMT-0400 (Eastern Daylight Time)","147521","[{""page_index"":0,""viewing_time"":2743}]","2743","","","","","","","","","","","","","",""
"","","","","6108027a71236aa28a407666","bdp_td","Mon Mar 27 2023 20:50:02 GMT-0400 (Eastern Daylight Time)","147521","","","fullscreenenter","2","3889","fullscreenenter","","","","","","","","","",""
"fullscreen","2","4889","0.0-2.0","6108027a71236aa28a407666","bdp_td","Mon Mar 27 2023 20:50:02 GMT-0400 (Eastern Daylight Time)","147521","","","","","","","true","","","","","","","","",""
"instructions","3","57997","0.0-4.0","6108027a71236aa28a407666","bdp_td","Mon Mar 27 2023 20:50:02 GMT-0400 (Eastern Daylight Time)","147521","[{""page_index"":0,""viewing_time"":47714},{""page_index"":1,""viewing_time"":3997},{""page_index"":2,""viewing_time"":1395}]","53106","","","","","","","","","","","","","",""
"html-keyboard-response","4","58508","0.0-5.0-1.0","6108027a71236aa28a407666","bdp_td","Mon Mar 27 2023 20:50:02 GMT-0400 (Eastern Daylight Time)","147521","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","61835","0.0-5.0-2.0","6108027a71236aa28a407666","bdp_td","Mon Mar 27 2023 20:50:02 GMT-0400 (Eastern Daylight Time)","147521","","3324","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$78<br><br>now</div></div><div class='cr'><div class='vertical-center'>$80<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$78<br><br>now","$80<br>in<br>12 weeks","0","78","80","12","THEN"
"html-keyboard-response","6","62097","0.0-5.0-3.0","6108027a71236aa28a407666","bdp_td","Mon Mar 27 2023 20:50:02 GMT-0400 (Eastern Daylight Time)","147521","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$78<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br>in<br>12 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$78<br><br>now","$80<br>in<br>12 weeks","0","78","80","12",""
"html-keyboard-response","7","62610","0.0-5.0-1.1","6108027a71236aa28a407666","bdp_td","Mon Mar 27 2023 20:50:02 GMT-0400 (Eastern Daylight Time)","147521","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","63770","0.0-5.0-2.1","6108027a71236aa28a407666","bdp_td","Mon Mar 27 2023 20:50:02 GMT-0400 (Eastern Daylight Time)","147521","","1159","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br><br>now</div></div><div class='cr'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$80<br><br>now","$85<br>in<br>12 weeks","0","80","85","12","THEN"
