"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","2","0.0-0.0","62951043176ada9a9de2faa4","bdp_td","Sun Mar 26 2023 20:11:49 GMT-0600 (Mountain Daylight Time)","97967","","","","","","","","","","","","","","","",""
"instructions","1","1667","0.0-1.0","62951043176ada9a9de2faa4","bdp_td","Sun Mar 26 2023 20:11:49 GMT-0600 (Mountain Daylight Time)","97967","[{""page_index"":0,""viewing_time"":1664}]","1664","","","","","","","","","","","","","",""
"","","","","62951043176ada9a9de2faa4","bdp_td","Sun Mar 26 2023 20:11:49 GMT-0600 (Mountain Daylight Time)","97967","","","fullscreenenter","2","4717","fullscreenenter","","","","","","","","","",""
"fullscreen","2","5723","0.0-2.0","62951043176ada9a9de2faa4","bdp_td","Sun Mar 26 2023 20:11:49 GMT-0600 (Mountain Daylight Time)","97967","","","","","","","true","","","","","","","","",""
"instructions","3","12308","0.0-4.0","62951043176ada9a9de2faa4","bdp_td","Sun Mar 26 2023 20:11:49 GMT-0600 (Mountain Daylight Time)","97967","[{""page_index"":0,""viewing_time"":3005},{""page_index"":1,""viewing_time"":2273},{""page_index"":2,""viewing_time"":1304}]","6583","","","","","","","","","","","","","",""
"html-keyboard-response","4","12812","0.0-5.0-1.0","62951043176ada9a9de2faa4","bdp_td","Sun Mar 26 2023 20:11:49 GMT-0600 (Mountain Daylight Time)","97967","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","15503","0.0-5.0-2.0","62951043176ada9a9de2faa4","bdp_td","Sun Mar 26 2023 20:11:49 GMT-0600 (Mountain Daylight Time)","97967","","2689","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$78<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$78<br><br>now","$80<br>in<br>12 weeks","1","78","80","12","THEN"
"html-keyboard-response","6","15763","0.0-5.0-3.0","62951043176ada9a9de2faa4","bdp_td","Sun Mar 26 2023 20:11:49 GMT-0600 (Mountain Daylight Time)","97967","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$80<br>in<br>12 weeks</font></div></div><div class='cr'><div class='vertical-center'>$78<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$78<br><br>now","$80<br>in<br>12 weeks","1","78","80","12",""
"html-keyboard-response","7","16275","0.0-5.0-1.1","62951043176ada9a9de2faa4","bdp_td","Sun Mar 26 2023 20:11:49 GMT-0600 (Mountain Daylight Time)","97967","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","18766","0.0-5.0-2.1","62951043176ada9a9de2faa4","bdp_td","Sun Mar 26 2023 20:11:49 GMT-0600 (Mountain Daylight Time)","97967","","2490","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$14<br><br>now","$25<br>in<br>3 weeks","0","14","25","3","THEN"
