"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","4","0.0-0.0","62acc04d0a7788636b0e9915","bdp_td","Sun Apr 16 2023 11:02:17 GMT-0400 (Eastern Daylight Time)","136039","","","","","","","","","","","","","","","",""
"instructions","1","2305","0.0-1.0","62acc04d0a7788636b0e9915","bdp_td","Sun Apr 16 2023 11:02:17 GMT-0400 (Eastern Daylight Time)","136039","[{""page_index"":0,""viewing_time"":2300}]","2300","","","","","","","","","","","","","",""
"","","","","62acc04d0a7788636b0e9915","bdp_td","Sun Apr 16 2023 11:02:17 GMT-0400 (Eastern Daylight Time)","136039","","","fullscreenenter","2","5895","fullscreenenter","","","","","","","","","",""
"fullscreen","2","6887","0.0-2.0","62acc04d0a7788636b0e9915","bdp_td","Sun Apr 16 2023 11:02:17 GMT-0400 (Eastern Daylight Time)","136039","","","","","","","true","","","","","","","","",""
"instructions","3","45533","0.0-4.0","62acc04d0a7788636b0e9915","bdp_td","Sun Apr 16 2023 11:02:17 GMT-0400 (Eastern Daylight Time)","136039","[{""page_index"":0,""viewing_time"":24778},{""page_index"":1,""viewing_time"":10636},{""page_index"":2,""viewing_time"":3231}]","38645","","","","","","","","","","","","","",""
"html-keyboard-response","4","46036","0.0-5.0-1.0","62acc04d0a7788636b0e9915","bdp_td","Sun Apr 16 2023 11:02:17 GMT-0400 (Eastern Daylight Time)","136039","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","49389","0.0-5.0-2.0","62acc04d0a7788636b0e9915","bdp_td","Sun Apr 16 2023 11:02:17 GMT-0400 (Eastern Daylight Time)","136039","","3351","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br><br>now</div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br><br>now","$55<br>in<br>12 weeks","0","54","55","12","NOW"
"html-keyboard-response","6","49640","0.0-5.0-3.0","62acc04d0a7788636b0e9915","bdp_td","Sun Apr 16 2023 11:02:17 GMT-0400 (Eastern Daylight Time)","136039","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$54<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br><br>now","$55<br>in<br>12 weeks","0","54","55","12",""
"html-keyboard-response","7","50142","0.0-5.0-1.1","62acc04d0a7788636b0e9915","bdp_td","Sun Apr 16 2023 11:02:17 GMT-0400 (Eastern Daylight Time)","136039","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","55353","0.0-5.0-2.1","62acc04d0a7788636b0e9915","bdp_td","Sun Apr 16 2023 11:02:17 GMT-0400 (Eastern Daylight Time)","136039","","5211","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br><br>now</div></div><div class='cr'><div class='vertical-center'>$80<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br><br>now","$80<br>in<br>3 weeks","0","54","80","3","NOW"
