"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","29","0.0-0.0","62dc4a5fef307ee53c61afcc","bdp_td","Tue Mar 28 2023 21:06:30 GMT-0800 (Alaska Daylight Time)","120151","","","","","","","","","","","","","","","",""
"instructions","1","12272","0.0-1.0","62dc4a5fef307ee53c61afcc","bdp_td","Tue Mar 28 2023 21:06:30 GMT-0800 (Alaska Daylight Time)","120151","[{""page_index"":0,""viewing_time"":12240}]","12241","","","","","","","","","","","","","",""
"","","","","62dc4a5fef307ee53c61afcc","bdp_td","Tue Mar 28 2023 21:06:30 GMT-0800 (Alaska Daylight Time)","120151","","","fullscreenenter","2","16485","fullscreenenter","","","","","","","","","",""
"fullscreen","2","17473","0.0-2.0","62dc4a5fef307ee53c61afcc","bdp_td","Tue Mar 28 2023 21:06:30 GMT-0800 (Alaska Daylight Time)","120151","","","","","","","true","","","","","","","","",""
"instructions","3","38492","0.0-4.0","62dc4a5fef307ee53c61afcc","bdp_td","Tue Mar 28 2023 21:06:30 GMT-0800 (Alaska Daylight Time)","120151","[{""page_index"":0,""viewing_time"":14921},{""page_index"":1,""viewing_time"":3755},{""page_index"":2,""viewing_time"":2327}]","21003","","","","","","","","","","","","","",""
"html-keyboard-response","4","39001","0.0-5.0-1.0","62dc4a5fef307ee53c61afcc","bdp_td","Tue Mar 28 2023 21:06:30 GMT-0800 (Alaska Daylight Time)","120151","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","41098","0.0-5.0-2.0","62dc4a5fef307ee53c61afcc","bdp_td","Tue Mar 28 2023 21:06:30 GMT-0800 (Alaska Daylight Time)","120151","","2089","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$28<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$28<br><br>now","$30<br>in<br>12 weeks","1","28","30","12","NOW"
"html-keyboard-response","6","41354","0.0-5.0-3.0","62dc4a5fef307ee53c61afcc","bdp_td","Tue Mar 28 2023 21:06:30 GMT-0800 (Alaska Daylight Time)","120151","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$28<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$28<br><br>now","$30<br>in<br>12 weeks","1","28","30","12",""
"html-keyboard-response","7","41861","0.0-5.0-1.1","62dc4a5fef307ee53c61afcc","bdp_td","Tue Mar 28 2023 21:06:30 GMT-0800 (Alaska Daylight Time)","120151","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","43885","0.0-5.0-2.1","62dc4a5fef307ee53c61afcc","bdp_td","Tue Mar 28 2023 21:06:30 GMT-0800 (Alaska Daylight Time)","120151","","2019","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br><br>now</div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$40<br><br>now","$55<br>in<br>6 weeks","0","40","55","6","NOW"
