"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","9","0.0-0.0","62fd76d3f0824c29d4b1e6bd","bdp_td","Mon Mar 27 2023 16:20:41 GMT-0400 (Eastern Daylight Time)","88366","","","","","","","","","","","","","","","",""
"instructions","1","1459","0.0-1.0","62fd76d3f0824c29d4b1e6bd","bdp_td","Mon Mar 27 2023 16:20:41 GMT-0400 (Eastern Daylight Time)","88366","[{""page_index"":0,""viewing_time"":1449}]","1449","","","","","","","","","","","","","",""
"","","","","62fd76d3f0824c29d4b1e6bd","bdp_td","Mon Mar 27 2023 16:20:41 GMT-0400 (Eastern Daylight Time)","88366","","","fullscreenenter","2","4640","fullscreenenter","","","","","","","","","",""
"fullscreen","2","5606","0.0-2.0","62fd76d3f0824c29d4b1e6bd","bdp_td","Mon Mar 27 2023 16:20:41 GMT-0400 (Eastern Daylight Time)","88366","","","","","","","true","","","","","","","","",""
"instructions","3","18375","0.0-4.0","62fd76d3f0824c29d4b1e6bd","bdp_td","Mon Mar 27 2023 16:20:41 GMT-0400 (Eastern Daylight Time)","88366","[{""page_index"":0,""viewing_time"":7505},{""page_index"":1,""viewing_time"":1912},{""page_index"":2,""viewing_time"":3349}]","12767","","","","","","","","","","","","","",""
"html-keyboard-response","4","18888","0.0-5.0-1.0","62fd76d3f0824c29d4b1e6bd","bdp_td","Mon Mar 27 2023 16:20:41 GMT-0400 (Eastern Daylight Time)","88366","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","21504","0.0-5.0-2.0","62fd76d3f0824c29d4b1e6bd","bdp_td","Mon Mar 27 2023 16:20:41 GMT-0400 (Eastern Daylight Time)","88366","","2614","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$69<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$69<br><br>now","$85<br>in<br>6 weeks","1","69","85","6","THEN"
"html-keyboard-response","6","21767","0.0-5.0-3.0","62fd76d3f0824c29d4b1e6bd","bdp_td","Mon Mar 27 2023 16:20:41 GMT-0400 (Eastern Daylight Time)","88366","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$85<br>in<br>6 weeks</font></div></div><div class='cr'><div class='vertical-center'>$69<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$69<br><br>now","$85<br>in<br>6 weeks","1","69","85","6",""
"html-keyboard-response","7","22278","0.0-5.0-1.1","62fd76d3f0824c29d4b1e6bd","bdp_td","Mon Mar 27 2023 16:20:41 GMT-0400 (Eastern Daylight Time)","88366","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","23895","0.0-5.0-2.1","62fd76d3f0824c29d4b1e6bd","bdp_td","Mon Mar 27 2023 16:20:41 GMT-0400 (Eastern Daylight Time)","88366","","1615","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br><br>now</div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>1 week</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$20<br><br>now","$55<br>in<br>1 week","0","20","55","1","THEN"
