"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"focus","0","0","focusevent","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","","","","","","","","","","","","","","","",""
"","","","","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","pavlovia","0","6","0.0-0.0","","","","","","","","","","","",""
"","","","","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","instructions","1","5500","0.0-1.0","[{""page_index"":0,""viewing_time"":5491}]","5491","","","","","","","","","",""
"fullscreenexit","2","8741","fullscreenexit","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","","","","","","","","","","","","","","","",""
"","","","","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","fullscreen","2","9728","0.0-2.0","","","true","","","","","","","","",""
"","","","fullscreenfail","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","image-keyboard-response","3","12284","0.0-3.0-0.0","","2551","","","32","","","","","","",""
"","","","","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","instructions","4","47048","0.0-4.0","[{""page_index"":0,""viewing_time"":15704},{""page_index"":1,""viewing_time"":14856},{""page_index"":2,""viewing_time"":3949}]","34509","","","","","","","","","",""
"","","","FIX","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","html-keyboard-response","5","47564","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","html-keyboard-response","6","51905","0.0-5.0-2.0","","4337","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br><br>now</div></div><div class='cr'><div class='vertical-center'>$80<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$54<br><br>now","$80<br>in<br>3 weeks","0","54","80","3","THEN"
"","","","offerFB","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","html-keyboard-response","7","52159","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br>in<br>3 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$54<br><br>now","$80<br>in<br>3 weeks","0","54","80","3",""
"","","","FIX","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","html-keyboard-response","8","52684","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","html-keyboard-response","9","55518","0.0-5.0-2.1","","2832","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>1 week</div></div><div class='cr'><div class='vertical-center'>$20<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$20<br><br>now","$55<br>in<br>1 week","1","20","55","1","THEN"
"","","","offerFB","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","html-keyboard-response","10","55771","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$55<br>in<br>1 week</font></div></div><div class='cr'><div class='vertical-center'>$20<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$20<br><br>now","$55<br>in<br>1 week","1","20","55","1",""
"","","","FIX","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","html-keyboard-response","11","56295","0.0-5.0-1.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","html-keyboard-response","12","58652","0.0-5.0-2.2","","2354","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$47<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$47<br><br>now","$50<br>in<br>12 weeks","1","47","50","12","NOW"
"","","","offerFB","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","html-keyboard-response","13","58905","0.0-5.0-3.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$47<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$47<br><br>now","$50<br>in<br>12 weeks","1","47","50","12",""
"","","","FIX","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","html-keyboard-response","14","59406","0.0-5.0-1.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","html-keyboard-response","15","62703","0.0-5.0-2.3","","3293","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$55<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$55<br><br>now","$75<br>in<br>6 weeks","1","55","75","6","THEN"
"","","","offerFB","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","html-keyboard-response","16","62981","0.0-5.0-3.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$75<br>in<br>6 weeks</font></div></div><div class='cr'><div class='vertical-center'>$55<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$55<br><br>now","$75<br>in<br>6 weeks","1","55","75","6",""
"","","","FIX","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","html-keyboard-response","17","63484","0.0-5.0-1.4","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","html-keyboard-response","18","65727","0.0-5.0-2.4","","2241","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$25<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25<br><br>now","$60<br>in<br>3 weeks","1","25","60","3","THEN"
"","","","offerFB","631b428359f449b8159625f8","bdp_td","Mon Mar 27 2023 10:30:23 GMT-0400 (Eastern Daylight Time)","168293","html-keyboard-response","19","65989","0.0-5.0-3.4","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$60<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$25<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25<br><br>now","$60<br>in<br>3 weeks","1","25","60","3",""
