"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"focus","0","0","focusevent","636598a7a571403968d03bf2","bdp_td","Wed Mar 29 2023 18:41:38 GMT-0400 (Eastern Daylight Time)","129568","","","","","","","","","","","","","","","",""
"","","","","636598a7a571403968d03bf2","bdp_td","Wed Mar 29 2023 18:41:38 GMT-0400 (Eastern Daylight Time)","129568","pavlovia","0","1","0.0-0.0","","","","","","","","","","","",""
"","","","","636598a7a571403968d03bf2","bdp_td","Wed Mar 29 2023 18:41:38 GMT-0400 (Eastern Daylight Time)","129568","instructions","1","2101","0.0-1.0","[{""page_index"":0,""viewing_time"":2099}]","2099","","","","","","","","","",""
"fullscreenexit","2","7995","fullscreenexit","636598a7a571403968d03bf2","bdp_td","Wed Mar 29 2023 18:41:38 GMT-0400 (Eastern Daylight Time)","129568","","","","","","","","","","","","","","","",""
"","","","","636598a7a571403968d03bf2","bdp_td","Wed Mar 29 2023 18:41:38 GMT-0400 (Eastern Daylight Time)","129568","fullscreen","2","8786","0.0-2.0","","","true","","","","","","","","",""
"","","","fullscreenfail","636598a7a571403968d03bf2","bdp_td","Wed Mar 29 2023 18:41:38 GMT-0400 (Eastern Daylight Time)","129568","image-keyboard-response","3","10002","0.0-3.0-0.0","","1214","","","32","","","","","","",""
"","","","","636598a7a571403968d03bf2","bdp_td","Wed Mar 29 2023 18:41:38 GMT-0400 (Eastern Daylight Time)","129568","instructions","4","42517","0.0-4.0","[{""page_index"":0,""viewing_time"":11873},{""page_index"":1,""viewing_time"":7128},{""page_index"":2,""viewing_time"":13248}]","32249","","","","","","","","","",""
"","","","FIX","636598a7a571403968d03bf2","bdp_td","Wed Mar 29 2023 18:41:38 GMT-0400 (Eastern Daylight Time)","129568","html-keyboard-response","5","43032","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_td","Wed Mar 29 2023 18:41:38 GMT-0400 (Eastern Daylight Time)","129568","html-keyboard-response","6","45788","0.0-5.0-2.0","","2751","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$19<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$19<br><br>now","$25<br>in<br>6 weeks","1","19","25","6","NOW"
"","","","offerFB","636598a7a571403968d03bf2","bdp_td","Wed Mar 29 2023 18:41:38 GMT-0400 (Eastern Daylight Time)","129568","html-keyboard-response","7","46052","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$19<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$19<br><br>now","$25<br>in<br>6 weeks","1","19","25","6",""
"","","","FIX","636598a7a571403968d03bf2","bdp_td","Wed Mar 29 2023 18:41:38 GMT-0400 (Eastern Daylight Time)","129568","html-keyboard-response","8","46568","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_td","Wed Mar 29 2023 18:41:38 GMT-0400 (Eastern Daylight Time)","129568","html-keyboard-response","9","51027","0.0-5.0-2.1","","4457","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$75<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$41<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$41<br><br>now","$75<br>in<br>3 weeks","1","41","75","3","THEN"
"","","","offerFB","636598a7a571403968d03bf2","bdp_td","Wed Mar 29 2023 18:41:38 GMT-0400 (Eastern Daylight Time)","129568","html-keyboard-response","10","51290","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$75<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$41<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$41<br><br>now","$75<br>in<br>3 weeks","1","41","75","3",""
"","","","FIX","636598a7a571403968d03bf2","bdp_td","Wed Mar 29 2023 18:41:38 GMT-0400 (Eastern Daylight Time)","129568","html-keyboard-response","11","51801","0.0-5.0-1.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"","","","offer","636598a7a571403968d03bf2","bdp_td","Wed Mar 29 2023 18:41:38 GMT-0400 (Eastern Daylight Time)","129568","html-keyboard-response","12","54372","0.0-5.0-2.2","","2571","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$25<br><br>now</div></div><div class='cr'><div class='vertical-center'>$30<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25<br><br>now","$30<br>in<br>6 weeks","0","25","30","6","NOW"
