"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","3","0.0-0.0","63cedc8a97a0bb604736baea","bdp_td","Sun Mar 26 2023 10:42:19 GMT-0600 (Mountain Daylight Time)","86934","","","","","","","","","","","","","","","",""
"instructions","1","1614","0.0-1.0","63cedc8a97a0bb604736baea","bdp_td","Sun Mar 26 2023 10:42:19 GMT-0600 (Mountain Daylight Time)","86934","[{""page_index"":0,""viewing_time"":1610}]","1610","","","","","","","","","","","","","",""
"","","","","63cedc8a97a0bb604736baea","bdp_td","Sun Mar 26 2023 10:42:19 GMT-0600 (Mountain Daylight Time)","86934","","","fullscreenenter","2","3595","fullscreenenter","","","","","","","","","",""
"fullscreen","2","4586","0.0-2.0","63cedc8a97a0bb604736baea","bdp_td","Sun Mar 26 2023 10:42:19 GMT-0600 (Mountain Daylight Time)","86934","","","","","","","true","","","","","","","","",""
"instructions","3","18390","0.0-4.0","63cedc8a97a0bb604736baea","bdp_td","Sun Mar 26 2023 10:42:19 GMT-0600 (Mountain Daylight Time)","86934","[{""page_index"":0,""viewing_time"":10481},{""page_index"":1,""viewing_time"":210},{""page_index"":2,""viewing_time"":3112}]","13803","","","","","","","","","","","","","",""
"html-keyboard-response","4","18900","0.0-5.0-1.0","63cedc8a97a0bb604736baea","bdp_td","Sun Mar 26 2023 10:42:19 GMT-0600 (Mountain Daylight Time)","86934","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","21146","0.0-5.0-2.0","63cedc8a97a0bb604736baea","bdp_td","Sun Mar 26 2023 10:42:19 GMT-0600 (Mountain Daylight Time)","86934","","2245","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$25<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25<br><br>now","$60<br>in<br>3 weeks","1","25","60","3","THEN"
"html-keyboard-response","6","21402","0.0-5.0-3.0","63cedc8a97a0bb604736baea","bdp_td","Sun Mar 26 2023 10:42:19 GMT-0600 (Mountain Daylight Time)","86934","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$60<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$25<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25<br><br>now","$60<br>in<br>3 weeks","1","25","60","3",""
"html-keyboard-response","7","21907","0.0-5.0-1.1","63cedc8a97a0bb604736baea","bdp_td","Sun Mar 26 2023 10:42:19 GMT-0600 (Mountain Daylight Time)","86934","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","23537","0.0-5.0-2.1","63cedc8a97a0bb604736baea","bdp_td","Sun Mar 26 2023 10:42:19 GMT-0600 (Mountain Daylight Time)","86934","","1630","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$34<br><br>now","$35<br>in<br>12 weeks","0","34","35","12","NOW"
"html-keyboard-response","9","23796","0.0-5.0-3.1","63cedc8a97a0bb604736baea","bdp_td","Sun Mar 26 2023 10:42:19 GMT-0600 (Mountain Daylight Time)","86934","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$34<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$34<br><br>now","$35<br>in<br>12 weeks","0","34","35","12",""
"html-keyboard-response","10","24307","0.0-5.0-1.2","63cedc8a97a0bb604736baea","bdp_td","Sun Mar 26 2023 10:42:19 GMT-0600 (Mountain Daylight Time)","86934","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","11","25670","0.0-5.0-2.2","63cedc8a97a0bb604736baea","bdp_td","Sun Mar 26 2023 10:42:19 GMT-0600 (Mountain Daylight Time)","86934","","1362","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6","THEN"
"html-keyboard-response","12","25924","0.0-5.0-3.2","63cedc8a97a0bb604736baea","bdp_td","Sun Mar 26 2023 10:42:19 GMT-0600 (Mountain Daylight Time)","86934","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$34<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$50<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br><br>now","$50<br>in<br>6 weeks","0","34","50","6",""
