"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","2","0.0-0.0","63d13b44f511eff0aef876f2","bdp_td","Sat Mar 25 2023 15:58:28 GMT-0700 (Pacific Daylight Time)","65893","","","","","","","","","","","","","","","",""
"instructions","1","1734","0.0-1.0","63d13b44f511eff0aef876f2","bdp_td","Sat Mar 25 2023 15:58:28 GMT-0700 (Pacific Daylight Time)","65893","[{""page_index"":0,""viewing_time"":1732}]","1732","","","","","","","","","","","","","",""
"","","","","63d13b44f511eff0aef876f2","bdp_td","Sat Mar 25 2023 15:58:28 GMT-0700 (Pacific Daylight Time)","65893","","","fullscreenenter","2","3021","fullscreenenter","","","","","","","","","",""
"fullscreen","2","4009","0.0-2.0","63d13b44f511eff0aef876f2","bdp_td","Sat Mar 25 2023 15:58:28 GMT-0700 (Pacific Daylight Time)","65893","","","","","","","true","","","","","","","","",""
"instructions","3","10911","0.0-4.0","63d13b44f511eff0aef876f2","bdp_td","Sat Mar 25 2023 15:58:28 GMT-0700 (Pacific Daylight Time)","65893","[{""page_index"":0,""viewing_time"":3621},{""page_index"":1,""viewing_time"":2226},{""page_index"":2,""viewing_time"":1055}]","6902","","","","","","","","","","","","","",""
"html-keyboard-response","4","11414","0.0-5.0-1.0","63d13b44f511eff0aef876f2","bdp_td","Sat Mar 25 2023 15:58:28 GMT-0700 (Pacific Daylight Time)","65893","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","13023","0.0-5.0-2.0","63d13b44f511eff0aef876f2","bdp_td","Sat Mar 25 2023 15:58:28 GMT-0700 (Pacific Daylight Time)","65893","","1608","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>1 week</div></div><div class='cr'><div class='vertical-center'>$31<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$31<br><br>now","$85<br>in<br>1 week","1","31","85","1","THEN"
"html-keyboard-response","6","13277","0.0-5.0-3.0","63d13b44f511eff0aef876f2","bdp_td","Sat Mar 25 2023 15:58:28 GMT-0700 (Pacific Daylight Time)","65893","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$85<br>in<br>1 week</font></div></div><div class='cr'><div class='vertical-center'>$31<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$31<br><br>now","$85<br>in<br>1 week","1","31","85","1",""
"html-keyboard-response","7","13779","0.0-5.0-1.1","63d13b44f511eff0aef876f2","bdp_td","Sat Mar 25 2023 15:58:28 GMT-0700 (Pacific Daylight Time)","65893","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","15271","0.0-5.0-2.1","63d13b44f511eff0aef876f2","bdp_td","Sat Mar 25 2023 15:58:28 GMT-0700 (Pacific Daylight Time)","65893","","1492","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$28<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$28<br><br>now","$30<br>in<br>12 weeks","1","28","30","12","NOW"
"html-keyboard-response","9","15523","0.0-5.0-3.1","63d13b44f511eff0aef876f2","bdp_td","Sat Mar 25 2023 15:58:28 GMT-0700 (Pacific Daylight Time)","65893","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$28<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$28<br><br>now","$30<br>in<br>12 weeks","1","28","30","12",""
"html-keyboard-response","10","16025","0.0-5.0-1.2","63d13b44f511eff0aef876f2","bdp_td","Sat Mar 25 2023 15:58:28 GMT-0700 (Pacific Daylight Time)","65893","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","11","17367","0.0-5.0-2.2","63d13b44f511eff0aef876f2","bdp_td","Sat Mar 25 2023 15:58:28 GMT-0700 (Pacific Daylight Time)","65893","","1341","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br><br>now</div></div><div class='cr'><div class='vertical-center'>$80<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$54<br><br>now","$80<br>in<br>3 weeks","0","54","80","3","THEN"
"html-keyboard-response","12","17621","0.0-5.0-3.2","63d13b44f511eff0aef876f2","bdp_td","Sat Mar 25 2023 15:58:28 GMT-0700 (Pacific Daylight Time)","65893","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br>in<br>3 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$54<br><br>now","$80<br>in<br>3 weeks","0","54","80","3",""
"html-keyboard-response","13","18122","0.0-5.0-1.3","63d13b44f511eff0aef876f2","bdp_td","Sat Mar 25 2023 15:58:28 GMT-0700 (Pacific Daylight Time)","65893","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","14","19055","0.0-5.0-2.3","63d13b44f511eff0aef876f2","bdp_td","Sat Mar 25 2023 15:58:28 GMT-0700 (Pacific Daylight Time)","65893","","931","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$24<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$24<br><br>now","$35<br>in<br>3 weeks","1","24","35","3","THEN"
"html-keyboard-response","15","19307","0.0-5.0-3.3","63d13b44f511eff0aef876f2","bdp_td","Sat Mar 25 2023 15:58:28 GMT-0700 (Pacific Daylight Time)","65893","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$35<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$24<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$24<br><br>now","$35<br>in<br>3 weeks","1","24","35","3",""
"html-keyboard-response","16","19810","0.0-5.0-1.4","63d13b44f511eff0aef876f2","bdp_td","Sat Mar 25 2023 15:58:28 GMT-0700 (Pacific Daylight Time)","65893","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","17","21072","0.0-5.0-2.4","63d13b44f511eff0aef876f2","bdp_td","Sat Mar 25 2023 15:58:28 GMT-0700 (Pacific Daylight Time)","65893","","1262","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$78<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$78<br><br>now","$80<br>in<br>12 weeks","1","78","80","12","NOW"
