"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","9","0.0-0.0","63dcc00d97b599698e60a1a6","bdp_td","Sun Mar 26 2023 02:47:51 GMT-0400 (Eastern Daylight Time)","132138","","","","","","","","","","","","","","","",""
"instructions","1","18843","0.0-1.0","63dcc00d97b599698e60a1a6","bdp_td","Sun Mar 26 2023 02:47:51 GMT-0400 (Eastern Daylight Time)","132138","[{""page_index"":0,""viewing_time"":18832}]","18833","","","","","","","","","","","","","",""
"","","","","63dcc00d97b599698e60a1a6","bdp_td","Sun Mar 26 2023 02:47:51 GMT-0400 (Eastern Daylight Time)","132138","","","fullscreenenter","2","22516","fullscreenenter","","","","","","","","","",""
"fullscreen","2","23494","0.0-2.0","63dcc00d97b599698e60a1a6","bdp_td","Sun Mar 26 2023 02:47:51 GMT-0400 (Eastern Daylight Time)","132138","","","","","","","true","","","","","","","","",""
"instructions","3","53678","0.0-4.0","63dcc00d97b599698e60a1a6","bdp_td","Sun Mar 26 2023 02:47:51 GMT-0400 (Eastern Daylight Time)","132138","[{""page_index"":0,""viewing_time"":16677},{""page_index"":1,""viewing_time"":11283},{""page_index"":2,""viewing_time"":2221}]","30182","","","","","","","","","","","","","",""
"html-keyboard-response","4","54182","0.0-5.0-1.0","63dcc00d97b599698e60a1a6","bdp_td","Sun Mar 26 2023 02:47:51 GMT-0400 (Eastern Daylight Time)","132138","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","58380","0.0-5.0-2.0","63dcc00d97b599698e60a1a6","bdp_td","Sun Mar 26 2023 02:47:51 GMT-0400 (Eastern Daylight Time)","132138","","4195","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br><br>now</div></div><div class='cr'><div class='vertical-center'>$75<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$55<br><br>now","$75<br>in<br>6 weeks","0","55","75","6","THEN"
"html-keyboard-response","6","58635","0.0-5.0-3.0","63dcc00d97b599698e60a1a6","bdp_td","Sun Mar 26 2023 02:47:51 GMT-0400 (Eastern Daylight Time)","132138","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$75<br>in<br>6 weeks</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$55<br><br>now","$75<br>in<br>6 weeks","0","55","75","6",""
"html-keyboard-response","7","59138","0.0-5.0-1.1","63dcc00d97b599698e60a1a6","bdp_td","Sun Mar 26 2023 02:47:51 GMT-0400 (Eastern Daylight Time)","132138","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","61679","0.0-5.0-2.1","63dcc00d97b599698e60a1a6","bdp_td","Sun Mar 26 2023 02:47:51 GMT-0400 (Eastern Daylight Time)","132138","","2539","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$80<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$80<br><br>now","$85<br>in<br>12 weeks","1","80","85","12","THEN"
"html-keyboard-response","9","61931","0.0-5.0-3.1","63dcc00d97b599698e60a1a6","bdp_td","Sun Mar 26 2023 02:47:51 GMT-0400 (Eastern Daylight Time)","132138","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$85<br>in<br>12 weeks</font></div></div><div class='cr'><div class='vertical-center'>$80<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$80<br><br>now","$85<br>in<br>12 weeks","1","80","85","12",""
"html-keyboard-response","10","62434","0.0-5.0-1.2","63dcc00d97b599698e60a1a6","bdp_td","Sun Mar 26 2023 02:47:51 GMT-0400 (Eastern Daylight Time)","132138","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
