"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","1","0.0-0.0","63e1f5009f56fcb831963f19","bdp_td","Sat Mar 25 2023 14:36:34 GMT-0700 (Pacific Daylight Time)","130090","","","","","","","","","","","","","","","",""
"instructions","1","3534","0.0-1.0","63e1f5009f56fcb831963f19","bdp_td","Sat Mar 25 2023 14:36:34 GMT-0700 (Pacific Daylight Time)","130090","[{""page_index"":0,""viewing_time"":3533}]","3533","","","","","","","","","","","","","",""
"","","","","63e1f5009f56fcb831963f19","bdp_td","Sat Mar 25 2023 14:36:34 GMT-0700 (Pacific Daylight Time)","130090","","","fullscreenenter","2","5419","fullscreenenter","","","","","","","","","",""
"fullscreen","2","6411","0.0-2.0","63e1f5009f56fcb831963f19","bdp_td","Sat Mar 25 2023 14:36:34 GMT-0700 (Pacific Daylight Time)","130090","","","","","","","true","","","","","","","","",""
"instructions","3","35347","0.0-4.0","63e1f5009f56fcb831963f19","bdp_td","Sat Mar 25 2023 14:36:34 GMT-0700 (Pacific Daylight Time)","130090","[{""page_index"":0,""viewing_time"":10962},{""page_index"":1,""viewing_time"":12905},{""page_index"":2,""viewing_time"":5068}]","28936","","","","","","","","","","","","","",""
"html-keyboard-response","4","35849","0.0-5.0-1.0","63e1f5009f56fcb831963f19","bdp_td","Sat Mar 25 2023 14:36:34 GMT-0700 (Pacific Daylight Time)","130090","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","40178","0.0-5.0-2.0","63e1f5009f56fcb831963f19","bdp_td","Sat Mar 25 2023 14:36:34 GMT-0700 (Pacific Daylight Time)","130090","","4328","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$49<br><br>now</div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$49<br><br>now","$60<br>in<br>6 weeks","0","49","60","6","NOW"
"html-keyboard-response","6","40429","0.0-5.0-3.0","63e1f5009f56fcb831963f19","bdp_td","Sat Mar 25 2023 14:36:34 GMT-0700 (Pacific Daylight Time)","130090","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$49<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$60<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$49<br><br>now","$60<br>in<br>6 weeks","0","49","60","6",""
"html-keyboard-response","7","40930","0.0-5.0-1.1","63e1f5009f56fcb831963f19","bdp_td","Sat Mar 25 2023 14:36:34 GMT-0700 (Pacific Daylight Time)","130090","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","43547","0.0-5.0-2.1","63e1f5009f56fcb831963f19","bdp_td","Sat Mar 25 2023 14:36:34 GMT-0700 (Pacific Daylight Time)","130090","","2617","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br><br>now</div></div><div class='cr'><div class='vertical-center'>$75<br>in<br>6 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$55<br><br>now","$75<br>in<br>6 weeks","0","55","75","6","THEN"
