"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","nowOffer","thenOffer","thenLeft","nowAmt","thenAmt","thenWeeks","chosen"
"pavlovia","0","10","0.0-0.0","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","","","","","","","","","","","","","","",""
"instructions","1","2966","0.0-1.0","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","[{""page_index"":0,""viewing_time"":2955}]","2955","","","","","","","","","","","","","",""
"","","","","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","","fullscreenenter","2","6663","fullscreenenter","","","","","","","","","",""
"fullscreen","2","7648","0.0-2.0","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","","","","","","true","","","","","","","","",""
"instructions","3","28518","0.0-4.0","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","[{""page_index"":0,""viewing_time"":9990},{""page_index"":1,""viewing_time"":8270},{""page_index"":2,""viewing_time"":2609}]","20869","","","","","","","","","","","","","",""
"html-keyboard-response","4","29023","0.0-5.0-1.0","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","5","31270","0.0-5.0-2.0","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","2244","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$80<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$80<br><br>now","$85<br>in<br>12 weeks","1","80","85","12","NOW"
"html-keyboard-response","6","31523","0.0-5.0-3.0","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$85<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$80<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$80<br><br>now","$85<br>in<br>12 weeks","1","80","85","12",""
"html-keyboard-response","7","32026","0.0-5.0-1.1","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","8","34365","0.0-5.0-2.1","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","2338","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$40<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$40<br><br>now","$55<br>in<br>6 weeks","1","40","55","6","NOW"
"html-keyboard-response","9","34619","0.0-5.0-3.1","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$55<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$40<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$40<br><br>now","$55<br>in<br>6 weeks","1","40","55","6",""
"html-keyboard-response","10","35121","0.0-5.0-1.2","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","11","36637","0.0-5.0-2.2","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","1515","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'>$49<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$49<br><br>now","$60<br>in<br>6 weeks","1","49","60","6","NOW"
"html-keyboard-response","12","36891","0.0-5.0-3.2","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>in<br>6 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$49<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$49<br><br>now","$60<br>in<br>6 weeks","1","49","60","6",""
"html-keyboard-response","13","37394","0.0-5.0-1.3","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","14","39351","0.0-5.0-2.3","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","1955","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$34<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$34<br><br>now","$35<br>in<br>12 weeks","1","34","35","12","NOW"
"html-keyboard-response","15","39604","0.0-5.0-3.3","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$34<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$34<br><br>now","$35<br>in<br>12 weeks","1","34","35","12",""
"html-keyboard-response","16","40107","0.0-5.0-1.4","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","17","43804","0.0-5.0-2.4","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","3696","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br><br>now</div></div><div class='cr'><div class='vertical-center'>$55<br>in<br>1 week</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$20<br><br>now","$55<br>in<br>1 week","0","20","55","1","THEN"
"html-keyboard-response","18","44058","0.0-5.0-3.4","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$20<br><br>now</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$55<br>in<br>1 week</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$20<br><br>now","$55<br>in<br>1 week","0","20","55","1",""
"html-keyboard-response","19","44560","0.0-5.0-1.5","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","20","48550","0.0-5.0-2.5","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","3988","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br><br>now</div></div><div class='cr'><div class='vertical-center'>$80<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$54<br><br>now","$80<br>in<br>3 weeks","0","54","80","3","NOW"
"html-keyboard-response","21","48803","0.0-5.0-3.5","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$54<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$80<br>in<br>3 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$54<br><br>now","$80<br>in<br>3 weeks","0","54","80","3",""
"html-keyboard-response","22","49306","0.0-5.0-1.6","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","23","50886","0.0-5.0-2.6","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","1579","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'>$78<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$78<br><br>now","$80<br>in<br>12 weeks","1","78","80","12","NOW"
"html-keyboard-response","24","51139","0.0-5.0-3.6","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$80<br>in<br>12 weeks</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$78<br><br>now</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$78<br><br>now","$80<br>in<br>12 weeks","1","78","80","12",""
"html-keyboard-response","25","51641","0.0-5.0-1.7","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","26","54630","0.0-5.0-2.7","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","2987","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$60<br>in<br>3 weeks</div></div><div class='cr'><div class='vertical-center'>$25<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25<br><br>now","$60<br>in<br>3 weeks","1","25","60","3","THEN"
"html-keyboard-response","27","54884","0.0-5.0-3.7","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$60<br>in<br>3 weeks</font></div></div><div class='cr'><div class='vertical-center'>$25<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25<br><br>now","$60<br>in<br>3 weeks","1","25","60","3",""
"html-keyboard-response","28","55386","0.0-5.0-1.8","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","29","57502","0.0-5.0-2.8","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","2114","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$47<br><br>now</div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$47<br><br>now","$50<br>in<br>12 weeks","0","47","50","12","NOW"
"html-keyboard-response","30","57755","0.0-5.0-3.8","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$47<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$50<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$47<br><br>now","$50<br>in<br>12 weeks","0","47","50","12",""
"html-keyboard-response","31","58258","0.0-5.0-1.9","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","32","60854","0.0-5.0-2.9","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","2594","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$35<br>in<br>2 weeks</div></div><div class='cr'><div class='vertical-center'>$15<br><br>now</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$15<br><br>now","$35<br>in<br>2 weeks","1","15","35","2","THEN"
"html-keyboard-response","33","61107","0.0-5.0-3.9","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$35<br>in<br>2 weeks</font></div></div><div class='cr'><div class='vertical-center'>$15<br><br>now</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$15<br><br>now","$35<br>in<br>2 weeks","1","15","35","2",""
"html-keyboard-response","34","61609","0.0-5.0-1.10","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","","",""
"html-keyboard-response","35","62911","0.0-5.0-2.10","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","1300","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br><br>now</div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$22<br><br>now","$25<br>in<br>12 weeks","0","22","25","12","NOW"
"html-keyboard-response","36","63164","0.0-5.0-3.10","63e554b7631c8ec3ce069e32","bdp_td","Sat Mar 25 2023 16:44:06 GMT-0700 (Pacific Daylight Time)","106198","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$22<br><br>now</font></div></div><div class='cr'><div class='vertical-center'>$25<br>in<br>12 weeks</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$22<br><br>now","$25<br>in<br>12 weeks","0","22","25","12",""
